aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-1.1	2.2	5.9	-5.9	7.2	3.8			352.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899123.0223823	25.0	25.0	25.0	25.0	25.0	25.0	25.0	643	624	608	497	494	480			nan	887	783	680	908	801	696			nan
-1.0	2.1	6.1	-6.1	7.3	3.8			352.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899123.1356921	25.0	25.0	25.0	25.0	25.0	25.0	25.0	643	624	608	497	494	480			nan	887	783	680	908	801	696			nan
-1.0	2.1	6.1	-6.1	7.3	3.8			352.1	0	0	0	0	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899123.246387	25.0	25.0	25.0	25.0	25.0	25.0	25.0	643	624	608	497	494	480			nan	887	783	680	908	801	696			nan
-1.1	2.2	5.8	-5.8	7.4	3.6			352.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899123.3557947	25.0	25.0	25.0	25.0	25.0	25.0	25.0	643	624	608	497	494	480			nan	887	783	680	908	801	696			nan
-1.1	2.2	5.8	-5.8	7.4	3.6			352.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899123.465861	25.0	25.0	25.0	25.0	25.0	25.0	25.0	643	624	608	497	494	480			nan	887	783	680	908	801	696			nan
-1.1	2.2	5.8	-5.8	7.4	3.6			352.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899123.57577	25.0	25.0	25.0	25.0	25.0	25.0	25.0	643	624	608	497	494	480			nan	887	783	680	908	801	696			nan
-1.1	2.2	5.8	-5.8	7.4	3.6			352.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899123.684192	25.0	25.0	25.0	25.0	25.0	25.0	25.0	643	624	608	497	494	480			nan	887	783	680	908	801	696			nan
-1.2	2.3	5.8	-5.8	7.1	3.6			351.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899123.79344	25.0	25.0	25.0	25.0	25.0	25.0	25.0	644	624	608	497	494	480			nan	887	783	680	908	802	696			nan
-1.2	2.3	5.8	-5.8	7.1	3.6			351.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899123.904144	25.0	25.0	25.0	25.0	25.0	25.0	25.0	644	624	608	497	494	480			nan	887	783	680	908	802	696			nan
-0.9	2.3	5.8	-5.8	6.9	3.5			352.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899124.0133786	25.0	25.0	25.0	25.0	25.0	25.0	25.0	643	624	608	497	494	480			nan	887	783	680	908	801	696			nan
-0.9	2.3	5.8	-5.8	6.9	3.5			352.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899124.12617	25.0	25.0	25.0	25.0	25.0	25.0	25.0	643	624	608	497	494	480			nan	887	783	680	908	801	696			nan
-0.9	2.3	5.8	-5.8	6.9	3.5			352.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899124.2355673	25.0	25.0	25.0	25.0	25.0	25.0	25.0	643	624	608	497	494	480			nan	887	783	680	908	801	696			nan
