aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-5.1	3.6	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002659.2165713	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.1	3.6	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002659.3227043	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.1	3.6	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002659.4265497	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.8	3.6	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002659.5319142	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.8	3.6	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002659.6357107	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.3	3.4	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002659.7396924	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.3	3.4	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002659.8433254	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.5	3.6	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002659.947097	0.0	0.0	0.0	0.0	0.0	0.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.5	3.6	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002660.05099	0.0	0.0	0.0	0.0	0.0	0.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.5	3.6	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002660.1546934	0.0	0.0	0.0	0.0	0.0	0.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.5	3.6	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002660.2589965	0.0	0.0	0.0	0.0	0.0	0.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.3	3.4	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002660.36277	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.3	3.4	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002660.4663918	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.3	4.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002660.570076	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.3	4.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002660.6737447	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.3	4.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002660.777743	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.3	4.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002660.8818533	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.3	4.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002660.9859252	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.3	4.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002661.0896723	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.7	3.5	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002661.1931908	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.7	3.5	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002661.296888	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.8	3.4	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002661.400666	0.0	0.0	0.0	0.0	0.0	0.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.8	3.4	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002661.504454	0.0	0.0	0.0	0.0	0.0	0.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.8	3.4	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002661.6083605	0.0	0.0	0.0	0.0	0.0	0.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.8	3.4	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002661.711803	0.0	0.0	0.0	0.0	0.0	0.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.1	3.4	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002661.8167667	0.0	0.0	0.0	0.0	0.0	0.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.1	3.4	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576002661.9211378	0.0	0.0	0.0	0.0	0.0	0.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.6	3.8	nan	nan	nan	nan									nan	0	0	0	0	0.84	0.15	0.0	0.68	0.74	0.29	1576002662.025235	0.0	0.0	0.0	0.0	0.0	0.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.6	3.8	nan	nan	nan	nan									nan	0	0	0	0	0.84	0.15	0.0	0.68	0.74	0.29	1576002662.1344266	84.0	15.0	0.0	68.0	74.0	29.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.6	3.8	nan	nan	nan	nan									nan	0	0	0	0	0.84	0.15	0.0	0.68	0.74	0.29	1576002662.2383182	84.0	15.0	0.0	68.0	74.0	29.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.6	3.8	nan	nan	nan	nan									nan	0	0	0	0	0.84	0.15	0.0	0.68	0.74	0.29	1576002662.3458533	84.0	15.0	0.0	68.0	74.0	29.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.3	3.8	nan	nan	nan	nan									nan	0	0	0	0	0.84	0.15	0.0	0.68	0.74	0.29	1576002662.4496937	84.0	15.0	0.0	68.0	74.0	29.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.3	3.8	nan	nan	nan	nan									nan	0	0	0	0	0.84	0.15	0.0	0.68	0.74	0.29	1576002662.5536253	84.0	15.0	0.0	68.0	74.0	29.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.4	3.5	nan	nan	nan	nan									nan	0	0	0	0	0.84	0.15	0.0	0.68	0.74	0.29	1576002662.6575415	84.0	15.0	0.0	68.0	74.0	29.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.4	3.5	nan	nan	nan	nan									nan	0	0	0	0	0.84	0.15	0.0	0.68	0.74	0.29	1576002662.7613266	84.0	15.0	0.0	68.0	74.0	29.0	570	574	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.0	3.2	nan	nan	nan	nan									nan	0	0	0	0	0.84	0.15	0.0	0.68	0.74	0.29	1576002662.8651693	84.0	15.0	0.0	68.0	74.0	29.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
-5.0	3.2	nan	nan	nan	nan									nan	0	0	0	0	0.84	0.15	0.0	0.68	0.74	0.29	1576002662.9687326	84.0	15.0	0.0	68.0	74.0	29.0	570	575	568	471	nan	465			nan	641	566	488	642	nan	487			nan
