aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-2.5	5.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003117.626059	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	5.3	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003117.7293065	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	5.3	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003117.8333454	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-3.1	5.3	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003117.937413	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-3.1	5.3	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003118.040968	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-3.1	5.3	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003118.1447754	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-3.1	5.3	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003118.2484899	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.9	5.1	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003118.3523645	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
nan	5.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003118.4562948	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	487	636	nan	480			nan
nan	5.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003118.5599067	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	487	636	nan	480			nan
nan	5.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003118.6636677	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	487	636	nan	480			nan
nan	5.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003118.772022	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	487	636	nan	480			nan
-2.8	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003118.8760579	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003118.9798589	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-3.0	5.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003119.0834494	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-3.0	5.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003119.1870594	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-3.2	5.2	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003119.2907512	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-3.2	5.2	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003119.394442	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-3.2	5.2	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003119.4981046	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-3.2	5.2	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003119.6018693	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.7	5.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003119.7053726	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.7	5.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003119.8089647	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
nan	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003119.9132473	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	486	636	nan	480			nan
nan	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003120.0167768	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	486	636	nan	480			nan
nan	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003120.1210074	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	486	636	nan	480			nan
nan	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003120.2248726	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	486	636	nan	480			nan
nan	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003120.3291698	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	486	636	nan	480			nan
-2.8	5.0	2.6	-2.6	5.0	7.5									2.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003120.4328902	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	472	465			nan	639	564	486	636	560	480			nan
-2.8	5.0	2.6	-2.6	5.0	7.5									2.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003120.5371597	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	472	465			nan	639	564	486	636	560	480			nan
nan	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003120.6423087	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	486	636	nan	480			nan
nan	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003120.746269	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	486	636	nan	480			nan
nan	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003120.8501284	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	486	636	nan	480			nan
nan	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003120.954458	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	486	636	nan	480			nan
nan	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003121.0582147	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	486	636	nan	480			nan
nan	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003121.1620288	0.0	0.0	0.0	0.0	0.0	0.0	nan	572	573	466	nan	465			nan	nan	564	486	636	nan	480			nan
-2.7	5.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003121.265924	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.7	5.0	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003121.3699467	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003121.472963	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	4.9	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003121.581061	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	4.8	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003121.6847503	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	4.8	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003121.788956	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	4.8	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003121.8926578	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	4.8	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003121.9964285	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-3.0	5.1	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003122.1001914	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-3.0	5.1	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003122.2039664	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	5.1	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003122.3078775	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	5.1	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003122.4114873	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	5.1	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003122.5150275	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	5.1	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003122.6188834	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
-2.8	5.1	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1576003122.7224736	0.0	0.0	0.0	0.0	0.0	0.0	563	572	573	466	nan	465			nan	639	564	486	636	nan	480			nan
