aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-1.1	9.5	-2.3	2.3	3.5	6.1									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499266.6348097	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	452			nan	641	565	488	643	566	488			nan
-1.1	9.5	-2.3	2.3	3.5	6.1									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499266.739382	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	452			nan	641	565	488	643	566	488			nan
-1.1	9.5	-2.3	2.3	3.5	6.1									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499266.8457592	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	452			nan	641	565	488	643	566	488			nan
-1.2	9.3	-2.3	2.3	3.5	6.1									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499266.9503143	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	452			nan	641	565	489	643	566	488			nan
-1.2	9.3	-2.3	2.3	3.5	6.1									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499267.0549908	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	452			nan	641	565	489	643	566	488			nan
-1.2	9.5	-2.1	2.1	2.8	6.2									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499267.1592991	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	452			nan	641	565	488	643	566	488			nan
-1.2	9.5	-2.1	2.1	2.8	6.2									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499267.2645113	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	452			nan	641	565	488	643	566	488			nan
-1.2	9.5	-2.1	2.1	2.8	6.2									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499267.3697827	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	452			nan	641	565	488	643	566	488			nan
-1.2	9.5	-2.1	2.1	2.8	6.2									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499267.4746332	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	452			nan	641	565	488	643	566	488			nan
-1.3	9.6	-1.9	1.9	3.3	6.6									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499267.5789444	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	451			nan	641	565	489	643	566	488			nan
-1.4	9.6	-2.0	2.0	2.9	6.2									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499267.6867063	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	451			nan	641	565	489	643	566	488			nan
-1.4	9.6	-2.0	2.0	2.9	6.2									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499267.7910285	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	451			nan	641	565	489	643	566	488			nan
-1.4	9.6	-2.0	2.0	2.9	6.2									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499267.8957086	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	451			nan	641	565	489	643	566	488			nan
-1.4	9.6	-2.0	2.0	2.9	6.2									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499268.000853	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	451			nan	641	565	489	643	566	488			nan
-1.3	9.5	-2.1	2.1	3.6	6.2									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499268.1107366	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	452			nan	641	565	489	643	566	488			nan
-1.3	9.5	-2.1	2.1	3.6	6.2									359.39999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578499268.2158787	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	452			nan	641	565	489	643	566	488			nan
-1.1	9.5	-2.1	2.1	3.4	6.6									359.39999999999998	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499268.3221443	0.0	0.0	0.0	0.0	0.0	0.0	562	567	568	470	467	452			nan	641	565	488	643	566	488			nan
-1.1	9.5	-2.1	2.1	3.4	6.6									359.39999999999998	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499268.428521	86.0	14.0	0.0	83.0	84.0	18.0	562	567	568	470	467	452			nan	641	565	488	643	566	488			nan
-1.1	9.5	-2.1	2.1	3.4	6.6									359.39999999999998	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499268.5333102	86.0	14.0	0.0	83.0	84.0	18.0	562	567	568	470	467	452			nan	641	565	488	643	566	488			nan
-1.1	9.5	-2.1	2.1	3.4	6.6									359.39999999999998	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499268.6377854	86.0	14.0	0.0	83.0	84.0	18.0	562	567	568	470	467	452			nan	641	565	488	643	566	488			nan
-1.1	9.3	-2.4	2.4	3.6	6.2									359.39999999999998	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499268.7424502	86.0	14.0	0.0	83.0	84.0	18.0	562	567	568	470	467	451			nan	641	565	489	643	566	488			nan
-1.1	9.3	-2.4	2.4	3.6	6.2									359.39999999999998	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499268.8475096	86.0	14.0	0.0	83.0	84.0	18.0	562	567	568	470	467	451			nan	641	565	489	643	566	488			nan
-1.2	9.4	-2.3	2.3	3.6	6.3									359.39999999999998	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499268.9524138	86.0	14.0	0.0	83.0	84.0	18.0	562	567	568	470	467	451			nan	641	565	489	643	566	488			nan
-1.2	9.4	-2.3	2.3	3.6	6.3									359.39999999999998	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499269.0606341	86.0	14.0	0.0	83.0	84.0	18.0	562	567	568	470	467	451			nan	641	565	489	643	566	488			nan
-1.2	9.4	-2.3	2.3	3.6	6.3									359.39999999999998	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499269.1651313	86.0	14.0	0.0	83.0	84.0	18.0	562	567	568	470	467	451			nan	641	565	489	643	566	488			nan
-1.2	9.4	-2.3	2.3	3.6	6.3									359.39999999999998	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499269.2693572	86.0	14.0	0.0	83.0	84.0	18.0	562	567	568	470	467	451			nan	641	565	489	643	566	488			nan
-0.9	9.3	-2.6	2.6	3.5	5.9									359.39999999999998	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499269.3741095	86.0	14.0	0.0	83.0	84.0	18.0	562	567	568	470	467	452			nan	641	565	489	643	566	488			nan
-0.9	9.3	-2.6	2.6	3.5	5.9									359.39999999999998	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499269.4792616	86.0	14.0	0.0	83.0	84.0	18.0	562	567	568	470	467	452			nan	641	565	489	643	566	488			nan
nan	nan	-38.2	38.2	54.9	nan									2.3999999999999999	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499269.583498	86.0	14.0	0.0	83.0	84.0	18.0	nan	566	nan	462	470	nan			nan	nan	566	nan	639	562	nan			nan
nan	nan	-38.2	38.2	54.9	nan									2.3999999999999999	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499269.687983	86.0	14.0	0.0	83.0	84.0	18.0	nan	566	nan	462	470	nan			nan	nan	566	nan	639	562	nan			nan
nan	nan	-38.2	38.2	54.9	nan									2.3999999999999999	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499269.7928224	86.0	14.0	0.0	83.0	84.0	18.0	nan	566	nan	462	470	nan			nan	nan	566	nan	639	562	nan			nan
nan	nan	-38.2	38.2	54.9	nan									2.3999999999999999	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499269.8974485	86.0	14.0	0.0	83.0	84.0	18.0	nan	566	nan	462	470	nan			nan	nan	566	nan	639	562	nan			nan
87.2	25.0	-73.6	73.6	87.9	24.7									9.9000000000000004	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499270.0019069	86.0	14.0	0.0	83.0	84.0	18.0	554	559	620	462	473	408			nan	641	575	531	633	560	510			nan
87.2	25.0	-73.6	73.6	87.9	24.7									9.9000000000000004	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499270.1063445	86.0	14.0	0.0	83.0	84.0	18.0	554	559	620	462	473	408			nan	641	575	531	633	560	510			nan
102.0	19.3	-80.2	80.2	98.4	24.1									12.9	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499270.2107801	86.0	14.0	0.0	83.0	84.0	18.0	554	556	620	458	473	406			nan	641	578	537	630	559	512			nan
102.0	19.3	-80.2	80.2	98.4	24.1									12.9	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499270.3158813	86.0	14.0	0.0	83.0	84.0	18.0	554	556	620	458	473	406			nan	641	578	537	630	559	512			nan
102.5	20.7	-80.3	80.3	98.4	24.1									12.9	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499270.4204278	86.0	14.0	0.0	83.0	84.0	18.0	554	556	621	458	473	406			nan	641	578	539	630	559	511			nan
102.5	20.7	-80.3	80.3	98.4	24.1									12.9	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499270.5258656	86.0	14.0	0.0	83.0	84.0	18.0	554	556	621	458	473	406			nan	641	578	539	630	559	511			nan
102.5	20.7	-80.5	80.5	98.7	23.5									12.9	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499270.630637	86.0	14.0	0.0	83.0	84.0	18.0	554	556	620	458	473	406			nan	641	578	539	630	559	512			nan
102.5	20.7	-80.5	80.5	98.7	23.5									12.9	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499270.7381794	86.0	14.0	0.0	83.0	84.0	18.0	554	556	620	458	473	406			nan	641	578	539	630	559	512			nan
102.5	20.7	-80.5	80.5	98.7	23.5									12.9	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499270.842801	86.0	14.0	0.0	83.0	84.0	18.0	554	556	620	458	473	406			nan	641	578	539	630	559	512			nan
102.5	20.7	-80.5	80.5	98.7	23.5									12.9	0	0	0	0	0.86	0.14	0.0	0.83	0.84	0.18	1578499270.94715	86.0	14.0	0.0	83.0	84.0	18.0	554	556	620	458	473	406			nan	641	578	539	630	559	512			nan
