aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-0.6	9.5	0.7	-0.7	5.3	5.9									2.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583784.0201209	0.0	0.0	0.0	0.0	0.0	0.0	568	573	574	471	473	462			nan	632	557	479	631	553	475			nan
-0.6	9.5	0.7	-0.7	5.3	5.9									2.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583784.1244588	0.0	0.0	0.0	0.0	0.0	0.0	568	573	574	471	473	462			nan	632	557	479	631	553	475			nan
-0.6	9.5	0.7	-0.7	5.3	5.9									2.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583784.2297516	0.0	0.0	0.0	0.0	0.0	0.0	568	573	574	471	473	462			nan	632	557	479	631	553	475			nan
-0.6	9.5	0.7	-0.7	5.3	5.9									2.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583784.3371954	0.0	0.0	0.0	0.0	0.0	0.0	568	573	574	471	473	462			nan	632	557	479	631	553	475			nan
-0.7	9.6	0.7	-0.7	5.6	5.7									2.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583784.4413972	0.0	0.0	0.0	0.0	0.0	0.0	568	573	573	471	473	462			nan	632	557	479	630	553	475			nan
-0.7	9.6	0.7	-0.7	5.6	5.7									2.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583784.545582	0.0	0.0	0.0	0.0	0.0	0.0	568	573	573	471	473	462			nan	632	557	479	630	553	475			nan
-0.7	9.6	0.7	-0.7	5.6	5.7									2.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583784.6498258	0.0	0.0	0.0	0.0	0.0	0.0	568	573	573	471	473	462			nan	632	557	479	630	553	475			nan
-0.7	9.6	0.7	-0.7	5.6	5.7									2.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583784.7547126	0.0	0.0	0.0	0.0	0.0	0.0	568	573	573	471	473	462			nan	632	557	479	630	553	475			nan
-0.8	9.8	0.9	-0.9	5.5	5.8									2.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583784.8597689	0.0	0.0	0.0	0.0	0.0	0.0	568	573	573	471	473	462			nan	632	557	479	630	553	475			nan
-0.8	9.8	0.9	-0.9	5.5	5.8									2.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583784.9643657	0.0	0.0	0.0	0.0	0.0	0.0	568	573	573	471	473	462			nan	632	557	479	630	553	475			nan
