aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-0.1	6.5	7.6	-7.6	5.1	3.7									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583263.9482656	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	438	464	481			nan	634	561	485	607	535	458			nan
-0.1	6.5	7.6	-7.6	5.1	3.7									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583264.0526202	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	438	464	481			nan	634	561	485	607	535	458			nan
-0.2	6.7	8.0	-8.0	4.7	4.1									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583264.156984	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	439	464	481			nan	634	561	485	607	535	458			nan
-0.2	6.7	8.0	-8.0	4.7	4.1									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583264.2613492	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	439	464	481			nan	634	561	485	607	535	458			nan
0.2	6.4	7.4	-7.4	5.4	3.9									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583264.3658948	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	438	464	481			nan	634	561	485	607	535	458			nan
0.2	6.4	7.4	-7.4	5.4	3.9									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583264.470203	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	438	464	481			nan	634	561	485	607	535	458			nan
0.2	6.4	7.4	-7.4	5.4	3.9									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583264.5745876	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	438	464	481			nan	634	561	485	607	535	458			nan
0.2	6.4	7.4	-7.4	5.4	3.9									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583264.6790085	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	438	464	481			nan	634	561	485	607	535	458			nan
-0.2	6.9	7.9	-7.9	5.1	3.8									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583264.7831483	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	439	464	481			nan	634	561	485	607	535	458			nan
-0.2	6.9	7.9	-7.9	5.1	3.8									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583264.8879323	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	439	464	481			nan	634	561	485	607	535	458			nan
-0.4	6.4	7.7	-7.7	5.0	3.9									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583264.992564	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	438	464	481			nan	634	561	485	607	535	458			nan
-0.4	6.4	7.7	-7.7	5.0	3.9									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583265.0974858	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	438	464	481			nan	634	561	485	607	535	458			nan
-0.4	6.4	7.7	-7.7	5.0	3.9									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583265.201819	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	438	464	481			nan	634	561	485	607	535	458			nan
-0.4	6.4	7.7	-7.7	5.0	3.9									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583265.3066154	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	438	464	481			nan	634	561	485	607	535	458			nan
-0.1	6.4	7.2	-7.2	5.2	3.7									14.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578583265.4112651	0.0	0.0	0.0	0.0	0.0	0.0	542	562	575	439	464	481			nan	634	561	485	607	535	458			nan
-0.1	6.4	7.2	-7.2	5.2	3.7									14.9	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583265.5182958	43.0	8.0	0.0	41.0	36.0	11.0	542	562	575	439	464	481			nan	634	561	485	607	535	458			nan
-0.2	6.4	7.7	-7.7	5.1	4.1									14.9	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583265.6227093	43.0	8.0	0.0	41.0	36.0	11.0	542	562	575	439	464	481			nan	634	561	485	607	535	458			nan
-0.2	6.4	7.7	-7.7	5.1	4.1									14.9	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583265.7275333	43.0	8.0	0.0	41.0	36.0	11.0	542	562	575	439	464	481			nan	634	561	485	607	535	458			nan
-0.2	6.4	7.7	-7.7	5.1	4.1									14.9	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583265.831928	43.0	8.0	0.0	41.0	36.0	11.0	542	562	575	439	464	481			nan	634	561	485	607	535	458			nan
-0.2	6.4	7.7	-7.7	5.1	4.1									14.9	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583265.9364216	43.0	8.0	0.0	41.0	36.0	11.0	542	562	575	439	464	481			nan	634	561	485	607	535	458			nan
-0.2	6.4	7.7	-7.7	5.1	4.1									14.9	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583266.041358	43.0	8.0	0.0	41.0	36.0	11.0	542	562	575	439	464	481			nan	634	561	485	607	535	458			nan
0.2	6.4	7.6	-7.6	5.1	4.1									14.9	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583266.1468766	43.0	8.0	0.0	41.0	36.0	11.0	542	562	575	438	464	481			nan	634	561	485	607	535	458			nan
0.2	6.4	7.6	-7.6	5.1	4.1									14.9	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583266.2519107	43.0	8.0	0.0	41.0	36.0	11.0	542	562	575	438	464	481			nan	634	561	485	607	535	458			nan
	nan	7.6	-7.6	5.4	3.9									14.9	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583266.3563957	43.0	8.0	0.0	41.0	36.0	11.0	542	562	nan	439	464	481			nan	634	561	nan	607	535	458			nan
	nan	7.6	-7.6	5.4	3.9									14.9	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583266.4608316	43.0	8.0	0.0	41.0	36.0	11.0	542	562	nan	439	464	481			nan	634	561	nan	607	535	458			nan
11.3	nan	-1.2	1.2	15.3	5.6									15.6	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583266.5673294	43.0	8.0	0.0	41.0	36.0	11.0	543	562	nan	437	465	476			nan	635	562	nan	606	535	456			nan
11.3	nan	-1.2	1.2	15.3	5.6									15.6	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583266.6717715	43.0	8.0	0.0	41.0	36.0	11.0	543	562	nan	437	465	476			nan	635	562	nan	606	535	456			nan
46.8	14.7	-29.8	29.8	39.6	16.0									22.899999999999999	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583266.7762616	43.0	8.0	0.0	41.0	36.0	11.0	540	561	611	439	471	458			nan	633	563	505	596	525	446			nan
46.8	14.7	-29.8	29.8	39.6	16.0									22.899999999999999	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583266.8806853	43.0	8.0	0.0	41.0	36.0	11.0	540	561	611	439	471	458			nan	633	563	505	596	525	446			nan
46.8	14.7	-29.8	29.8	39.6	16.0									22.899999999999999	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583266.987825	43.0	8.0	0.0	41.0	36.0	11.0	540	561	611	439	471	458			nan	633	563	505	596	525	446			nan
46.8	14.7	-29.8	29.8	39.6	16.0									22.899999999999999	0	0	0	0	0.43	0.08	0.0	0.41	0.36	0.11	1578583267.0923865	43.0	8.0	0.0	41.0	36.0	11.0	540	561	611	439	471	458			nan	633	563	505	596	525	446			nan
