aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-0.6	4.8	5.2	-5.2	5.9	8.6									12.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578692897.5595334	0.0	0.0	0.0	0.0	0.0	0.0	544	561	568	442	462	469			nan	627	552	472	605	531	452			nan
-0.6	4.8	5.2	-5.2	5.9	8.6									12.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578692897.663853	0.0	0.0	0.0	0.0	0.0	0.0	544	561	568	442	462	469			nan	627	552	472	605	531	452			nan
-0.4	4.7	5.2	-5.2	5.7	8.8									12.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578692897.7682652	0.0	0.0	0.0	0.0	0.0	0.0	544	561	568	442	462	469			nan	626	552	472	605	531	452			nan
-0.4	4.7	5.2	-5.2	5.7	8.8									12.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578692897.8727834	0.0	0.0	0.0	0.0	0.0	0.0	544	561	568	442	462	469			nan	626	552	472	605	531	452			nan
-0.4	4.7	5.2	-5.2	5.7	8.8									12.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578692897.9774544	0.0	0.0	0.0	0.0	0.0	0.0	544	561	568	442	462	469			nan	626	552	472	605	531	452			nan
-0.4	4.7	5.2	-5.2	5.7	8.8									12.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578692898.082136	0.0	0.0	0.0	0.0	0.0	0.0	544	561	568	442	462	469			nan	626	552	472	605	531	452			nan
-0.6	4.7	5.0	-5.0	6.1	8.4									12.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578692898.1862223	0.0	0.0	0.0	0.0	0.0	0.0	544	561	568	442	462	469			nan	627	552	472	605	531	452			nan
-0.6	4.7	5.0	-5.0	6.1	8.4									12.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578692898.290578	0.0	0.0	0.0	0.0	0.0	0.0	544	561	568	442	462	469			nan	627	552	472	605	531	452			nan
-0.7	4.9	5.3	-5.3	5.8	8.7									12.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578692898.3946762	0.0	0.0	0.0	0.0	0.0	0.0	544	561	569	442	462	469			nan	627	552	472	605	530	452			nan
-0.7	4.9	5.3	-5.3	5.8	8.7									12.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578692898.4990366	0.0	0.0	0.0	0.0	0.0	0.0	544	561	569	442	462	469			nan	627	552	472	605	530	452			nan
-0.5	4.8	5.0	-5.0	6.0	8.6									12.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578692898.6037273	0.0	0.0	0.0	0.0	0.0	0.0	544	561	568	442	462	469			nan	627	552	472	605	531	452			nan
-0.5	4.8	5.0	-5.0	6.0	8.6									12.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578692898.708327	0.0	0.0	0.0	0.0	0.0	0.0	544	561	568	442	462	469			nan	627	552	472	605	531	452			nan
-0.5	4.8	5.0	-5.0	6.0	8.6									12.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578692898.8124845	0.0	0.0	0.0	0.0	0.0	0.0	544	561	568	442	462	469			nan	627	552	472	605	531	452			nan
-0.5	4.8	5.0	-5.0	6.0	8.6									12.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692898.917035	98.18	24.55	0.0	100.0	100.0	27.27	544	561	568	442	462	469			nan	627	552	472	605	531	452			nan
-0.6	5.1	5.4	-5.4	5.8	8.8									12.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692899.0217364	98.18	24.55	0.0	100.0	100.0	27.27	544	561	568	442	462	469			nan	626	552	472	605	531	452			nan
-0.6	5.1	5.4	-5.4	5.8	8.8									12.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692899.1265728	98.18	24.55	0.0	100.0	100.0	27.27	544	561	568	442	462	469			nan	626	552	472	605	531	452			nan
-0.5	4.7	5.1	-5.1	5.8	8.6									12.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692899.2311714	98.18	24.55	0.0	100.0	100.0	27.27	544	561	569	442	462	469			nan	626	552	472	605	531	452			nan
-0.5	4.7	5.1	-5.1	5.8	8.6									12.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692899.3353736	98.18	24.55	0.0	100.0	100.0	27.27	544	561	569	442	462	469			nan	626	552	472	605	531	452			nan
-0.5	4.7	5.1	-5.1	5.8	8.6									12.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692899.4397633	98.18	24.55	0.0	100.0	100.0	27.27	544	561	569	442	462	469			nan	626	552	472	605	531	452			nan
-0.5	4.7	5.1	-5.1	5.8	8.6									12.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692899.5478141	98.18	24.55	0.0	100.0	100.0	27.27	544	561	569	442	462	469			nan	626	552	472	605	531	452			nan
-0.7	4.9	5.2	-5.2	5.5	8.6									12.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692899.6520069	98.18	24.55	0.0	100.0	100.0	27.27	544	561	568	442	462	469			nan	627	552	472	605	531	452			nan
-0.7	4.9	5.2	-5.2	5.5	8.6									12.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692899.756401	98.18	24.55	0.0	100.0	100.0	27.27	544	561	568	442	462	469			nan	627	552	472	605	531	452			nan
-0.7	4.9	5.2	-5.2	5.5	8.6									12.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692899.860469	98.18	24.55	0.0	100.0	100.0	27.27	544	561	568	442	462	469			nan	627	552	472	605	531	452			nan
-0.7	4.9	5.2	-5.2	5.5	8.6									12.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692899.9646227	98.18	24.55	0.0	100.0	100.0	27.27	544	561	568	442	462	469			nan	627	552	472	605	531	452			nan
nan	nan	-2.3	2.3	nan	nan									12.5	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692900.0689924	98.18	24.55	0.0	100.0	100.0	27.27	nan	561	nan	nan	462	nan			nan	nan	552	nan	nan	530	nan			nan
nan	nan	-2.3	2.3	nan	nan									12.5	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692900.17338	98.18	24.55	0.0	100.0	100.0	27.27	nan	561	nan	nan	462	nan			nan	nan	552	nan	nan	530	nan			nan
nan	nan	nan	nan	73.5	30.9									nan	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692900.2788587	98.18	24.55	0.0	100.0	100.0	27.27	528	nan	nan	443	471	424			nan	620	nan	nan	589	518	452			nan
nan	nan	nan	nan	73.5	30.9									nan	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692900.3840086	98.18	24.55	0.0	100.0	100.0	27.27	528	nan	nan	443	471	424			nan	620	nan	nan	589	518	452			nan
nan	nan	nan	nan	73.5	30.9									nan	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692900.4877083	98.18	24.55	0.0	100.0	100.0	27.27	528	nan	nan	443	471	424			nan	620	nan	nan	589	518	452			nan
nan	nan	nan	nan	73.5	30.9									nan	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692900.5919447	98.18	24.55	0.0	100.0	100.0	27.27	528	nan	nan	443	471	424			nan	620	nan	nan	589	518	452			nan
88.2	42.2	-77.8	77.8	nan	45.4									29.800000000000001	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692900.6960907	98.18	24.55	0.0	100.0	100.0	27.27	521	549	626	nan	474	417			nan	619	558	550	nan	515	456			nan
88.2	42.2	-77.8	77.8	nan	45.4									29.800000000000001	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692900.8004045	98.18	24.55	0.0	100.0	100.0	27.27	521	549	626	nan	474	417			nan	619	558	550	nan	515	456			nan
103.4	46.8	-83.9	83.9	106.8	45.5									32.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692900.9047644	98.18	24.55	0.0	100.0	100.0	27.27	521	546	623	434	474	416			nan	618	559	562	572	514	457			nan
103.4	46.8	-83.9	83.9	106.8	45.5									32.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692901.009141	98.18	24.55	0.0	100.0	100.0	27.27	521	546	623	434	474	416			nan	618	559	562	572	514	457			nan
103.4	46.8	-83.9	83.9	106.8	45.5									32.0	0	0	0	0	1.08	0.27	0.0	1.1	1.1	0.3	1578692901.1141667	98.18	24.55	0.0	100.0	100.0	27.27	521	546	623	434	474	416			nan	618	559	562	572	514	457			nan
