aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-0.8	3.9	14.2	-14.2	8.1	5.4									20.399999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578693688.8569095	0.0	0.0	0.0	0.0	0.0	0.0	550	573	587	440	479	508			nan	631	557	479	588	522	448			nan
-0.8	3.9	14.2	-14.2	8.1	5.4									20.399999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578693688.961477	0.0	0.0	0.0	0.0	0.0	0.0	550	573	587	440	479	508			nan	631	557	479	588	522	448			nan
-0.6	3.8	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578693689.065618	0.0	0.0	0.0	0.0	0.0	0.0	550	573	587	440	nan	508			nan	631	557	479	588	nan	448			nan
-0.6	3.8	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578693689.16919	0.0	0.0	0.0	0.0	0.0	0.0	550	573	587	440	nan	508			nan	631	557	479	588	nan	448			nan
-0.6	3.8	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578693689.2728956	0.0	0.0	0.0	0.0	0.0	0.0	550	573	587	440	nan	508			nan	631	557	479	588	nan	448			nan
-0.6	3.8	nan	nan	nan	nan									nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578693689.3764687	0.0	0.0	0.0	0.0	0.0	0.0	550	573	587	440	nan	508			nan	631	557	479	588	nan	448			nan
-0.7	3.9	14.1	-14.1	8.2	5.5									20.399999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578693689.480817	0.0	0.0	0.0	0.0	0.0	0.0	550	573	587	440	479	508			nan	631	557	480	588	522	448			nan
-0.7	3.9	14.1	-14.1	8.2	5.5									20.399999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578693689.5852027	0.0	0.0	0.0	0.0	0.0	0.0	550	573	587	440	479	508			nan	631	557	480	588	522	448			nan
-0.6	4.1	14.2	-14.2	8.1	5.4									20.399999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578693689.6894326	0.0	0.0	0.0	0.0	0.0	0.0	550	573	587	440	479	508			nan	631	557	479	588	522	448			nan
-0.6	4.1	14.2	-14.2	8.1	5.4									20.399999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578693689.7935207	0.0	0.0	0.0	0.0	0.0	0.0	550	573	587	440	479	508			nan	631	557	479	588	522	448			nan
-0.6	4.1	14.2	-14.2	8.1	5.4									20.399999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578693689.8976617	0.0	0.0	0.0	0.0	0.0	0.0	550	573	587	440	479	508			nan	631	557	479	588	522	448			nan
