aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-0.1	8.1	4.7	-4.7	7.6	9.2									355.30000000000001	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685756.6217532	0.0	0.0	0.0	0.0	0.0	0.0	728	723	711	627	626	608			nan	617	540	461	624	548	471			nan
-0.1	8.1	4.7	-4.7	7.6	9.2									355.30000000000001	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685756.7265015	0.0	0.0	0.0	0.0	0.0	0.0	728	723	711	627	626	608			nan	617	540	461	624	548	471			nan
-0.1	8.1	4.7	-4.7	7.6	9.2									355.30000000000001	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685756.831111	0.0	0.0	0.0	0.0	0.0	0.0	728	723	711	627	626	608			nan	617	540	461	624	548	471			nan
-0.1	8.1	4.7	-4.7	7.6	9.2									355.30000000000001	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685756.9361913	0.0	0.0	0.0	0.0	0.0	0.0	728	723	711	627	626	608			nan	617	540	461	624	548	471			nan
0.2	8.4	4.9	-4.9	7.4	9.1									355.30000000000001	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685757.0405881	0.0	0.0	0.0	0.0	0.0	0.0	728	723	711	627	626	608			nan	616	540	461	624	548	471			nan
0.2	8.4	4.9	-4.9	7.4	9.1									355.30000000000001	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685757.14825	0.0	0.0	0.0	0.0	0.0	0.0	728	723	711	627	626	608			nan	616	540	461	624	548	471			nan
0.2	8.3	4.7	-4.7	7.6	8.9									355.30000000000001	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685757.2525923	0.0	0.0	0.0	0.0	0.0	0.0	728	723	711	627	626	609			nan	616	540	461	624	548	471			nan
0.2	8.3	4.7	-4.7	7.6	8.9									355.30000000000001	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685757.358579	0.0	0.0	0.0	0.0	0.0	0.0	728	723	711	627	626	609			nan	616	540	461	624	548	471			nan
0.1	8.1	4.7	-4.7	7.4	9.2									355.30000000000001	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685757.4629426	0.0	0.0	0.0	0.0	0.0	0.0	728	723	711	627	626	608			nan	616	540	461	624	548	471			nan
0.1	8.1	4.7	-4.7	7.4	9.2									355.30000000000001	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685757.5670557	0.0	0.0	0.0	0.0	0.0	0.0	728	723	711	627	626	608			nan	616	540	461	624	548	471			nan
