aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-1.6	nan	-6.4	6.4	6.8	7.8									348.69999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686407.951518	0.0	0.0	0.0	0.0	0.0	0.0	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-1.8	nan	-6.3	6.3	6.6	7.8									348.69999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686408.056003	0.0	0.0	0.0	0.0	0.0	0.0	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-1.8	nan	-6.3	6.3	6.6	7.8									348.69999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686408.160593	0.0	0.0	0.0	0.0	0.0	0.0	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-2.0	nan	-6.3	6.3	7.1	7.2									348.69999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686408.2649841	0.0	0.0	0.0	0.0	0.0	0.0	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-2.0	nan	-6.3	6.3	7.1	7.2									348.69999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686408.3700955	0.0	0.0	0.0	0.0	0.0	0.0	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-1.7	nan	-6.3	6.3	6.6	7.8									348.69999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686408.4743228	0.0	0.0	0.0	0.0	0.0	0.0	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-1.7	nan	-6.3	6.3	6.6	7.8									348.69999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686408.5800345	0.0	0.0	0.0	0.0	0.0	0.0	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-1.7	nan	-6.3	6.3	6.6	7.8									348.69999999999999	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686408.684718	33.64	88.18	99.09	0.0	26.36	99.09	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-1.7	nan	-6.3	6.3	6.6	7.8									348.69999999999999	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686408.790427	33.64	88.18	99.09	0.0	26.36	99.09	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-1.7	nan	-6.3	6.3	6.6	7.8									348.69999999999999	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686408.8949223	33.64	88.18	99.09	0.0	26.36	99.09	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-1.7	nan	-6.4	6.4	6.8	7.9									348.69999999999999	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686408.9992545	33.64	88.18	99.09	0.0	26.36	99.09	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-1.7	nan	-6.4	6.4	6.8	7.9									348.69999999999999	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686409.1035578	33.64	88.18	99.09	0.0	26.36	99.09	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-1.7	nan	-6.4	6.4	6.8	7.9									348.69999999999999	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686409.2090023	33.64	88.18	99.09	0.0	26.36	99.09	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-1.7	nan	-6.4	6.4	6.8	7.9									348.69999999999999	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686409.3134959	33.64	88.18	99.09	0.0	26.36	99.09	749	744	nan	666	649	617			nan	658	582	nan	675	601	530			nan
-1.5	12.8	-5.3	5.3	6.4	10.3									348.69999999999999	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686409.4203823	33.64	88.18	99.09	0.0	26.36	99.09	751	744	732	666	649	617			nan	658	582	504	675	601	530			nan
-1.5	12.8	-5.3	5.3	6.4	10.3									348.69999999999999	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686409.5247636	33.64	88.18	99.09	0.0	26.36	99.09	751	744	732	666	649	617			nan	658	582	504	675	601	530			nan
-1.5	12.8	-5.3	5.3	6.4	10.3									348.69999999999999	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686409.62995	33.64	88.18	99.09	0.0	26.36	99.09	751	744	732	666	649	617			nan	658	582	504	675	601	530			nan
-1.5	12.8	-5.3	5.3	6.4	10.3									348.69999999999999	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686409.7348244	33.64	88.18	99.09	0.0	26.36	99.09	751	744	732	666	649	617			nan	658	582	504	675	601	530			nan
-1.5	12.8	-5.3	5.3	6.4	10.3									348.69999999999999	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686409.8389754	33.64	88.18	99.09	0.0	26.36	99.09	751	744	732	666	649	617			nan	658	582	504	675	601	530			nan
-1.5	12.8	-5.3	5.3	6.4	10.3									348.69999999999999	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686409.9438958	33.64	88.18	99.09	0.0	26.36	99.09	751	744	732	666	649	617			nan	658	582	504	675	601	530			nan
nan	62.9	nan	nan	nan	nan									nan	0	0	0	0	0.37	0.97	1.09	0.0	0.29	1.09	1578686410.0495353	33.64	88.18	99.09	0.0	26.36	99.09	nan	744	716	632	nan	625			nan	nan	578	509	682	nan	543			nan
