aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-1.7	6.6	1.3	-1.3	7.0	9.8									5.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685214.998556	0.0	0.0	0.0	0.0	0.0	0.0	747	760	762	653	663	657			nan	601	525	446	592	516	438			nan
-1.9	6.8	1.8	-1.8	6.7	10.0									5.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685215.1038816	0.0	0.0	0.0	0.0	0.0	0.0	747	760	762	653	663	657			nan	601	525	446	592	516	438			nan
-1.9	6.8	1.8	-1.8	6.7	10.0									5.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685215.2081633	0.0	0.0	0.0	0.0	0.0	0.0	747	760	762	653	663	657			nan	601	525	446	592	516	438			nan
-1.9	6.8	1.8	-1.8	6.7	10.0									5.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685215.3129895	0.0	0.0	0.0	0.0	0.0	0.0	747	760	762	653	663	657			nan	601	525	446	592	516	438			nan
-1.9	6.8	1.8	-1.8	6.7	10.0									5.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685215.4181209	0.0	0.0	0.0	0.0	0.0	0.0	747	760	762	653	663	657			nan	601	525	446	592	516	438			nan
-1.8	6.6	1.5	-1.5	6.7	9.7									5.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685215.5227304	0.0	0.0	0.0	0.0	0.0	0.0	747	760	762	653	663	657			nan	601	525	446	592	516	438			nan
-1.8	6.6	1.5	-1.5	6.7	9.7									5.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685215.627287	0.0	0.0	0.0	0.0	0.0	0.0	747	760	762	653	663	657			nan	601	525	446	592	516	438			nan
-2.0	6.8	1.6	-1.6	6.9	10.0									5.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685215.7314236	0.0	0.0	0.0	0.0	0.0	0.0	747	760	762	653	663	657			nan	601	525	446	592	516	438			nan
-2.0	6.8	1.6	-1.6	6.9	10.0									5.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685215.8355439	0.0	0.0	0.0	0.0	0.0	0.0	747	760	762	653	663	657			nan	601	525	446	592	516	438			nan
-2.0	6.8	1.6	-1.6	6.9	10.0									5.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578685215.939852	0.0	0.0	0.0	0.0	0.0	0.0	747	760	762	653	663	657			nan	601	525	446	592	516	438			nan
