aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
2.0	7.7	11.5	-11.5	6.5	9.9										0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686561.580651	0.0	0.0	0.0	0.0	0.0	0.0	748	744	732	637	646	640			nan	653	577	499	653	577	500			nan
1.8	7.8	11.6	-11.6	6.3	10.0										0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686561.684498	0.0	0.0	0.0	0.0	0.0	0.0	748	744	732	637	646	640			nan	653	577	499	653	577	500			nan
1.8	7.8	11.6	-11.6	6.3	10.0										0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686561.7892103	0.0	0.0	0.0	0.0	0.0	0.0	748	744	732	637	646	640			nan	653	577	499	653	577	500			nan
2.0	7.8	11.5	-11.5	6.5	9.7										0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686561.8933132	0.0	0.0	0.0	0.0	0.0	0.0	748	744	732	637	646	640			nan	653	577	499	653	577	500			nan
2.0	7.8	11.5	-11.5	6.5	9.7										0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686561.9971726	0.0	0.0	0.0	0.0	0.0	0.0	748	744	732	637	646	640			nan	653	577	499	653	577	500			nan
2.0	7.8	11.5	-11.5	6.5	9.7										0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686562.1008382	0.0	0.0	0.0	0.0	0.0	0.0	748	744	732	637	646	640			nan	653	577	499	653	577	500			nan
2.0	7.8	11.5	-11.5	6.5	9.7										0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686562.20442	0.0	0.0	0.0	0.0	0.0	0.0	748	744	732	637	646	640			nan	653	577	499	653	577	500			nan
1.9	7.8	11.5	-11.5	6.2	9.6										0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686562.308566	0.0	0.0	0.0	0.0	0.0	0.0	748	744	732	637	646	640			nan	653	577	499	653	577	500			nan
1.9	7.8	11.5	-11.5	6.2	9.6										0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686562.4181402	0.0	0.0	0.0	0.0	0.0	0.0	748	744	732	637	646	640			nan	653	577	499	653	577	500			nan
2.4	7.9	11.5	-11.5	6.3	9.8										0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686562.5225966	0.0	0.0	0.0	0.0	0.0	0.0	748	744	732	637	646	640			nan	653	577	499	653	577	500			nan
2.4	7.9	11.5	-11.5	6.3	9.8										0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686562.6262302	0.0	0.0	0.0	0.0	0.0	0.0	748	744	732	637	646	640			nan	653	577	499	653	577	500			nan
2.4	7.9	11.5	-11.5	6.3	9.8										0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686562.7298968	0.0	0.0	0.0	0.0	0.0	0.0	748	744	732	637	646	640			nan	653	577	499	653	577	500			nan
2.4	7.9	11.5	-11.5	6.3	9.8										0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1578686562.8339787	0.0	0.0	0.0	0.0	0.0	0.0	748	744	732	637	646	640			nan	653	577	499	653	577	500			nan
