aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-0.3	0.4	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050252.0251896	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	939	nan	726			nan
-0.3	0.4	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050252.1300924	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	939	nan	726			nan
-0.3	0.4	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050252.236987	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	939	nan	726			nan
-0.4	0.6	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050252.3519719	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	939	nan	726			nan
-0.4	0.6	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050252.4566114	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	939	nan	726			nan
-1.0	0.9	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050252.5611784	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	938	nan	726			nan
-1.0	0.9	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050252.6657338	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	938	nan	726			nan
-0.5	nan	3.8	-3.8	7.4	9.6	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050252.7703245	0.0	0.0	0.0	0.0	0.0	0.0	356	361	nan	215	227	224			nan	949	843	nan	939	833	726			nan
-0.5	nan	3.8	-3.8	7.4	9.6	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050252.8750236	0.0	0.0	0.0	0.0	0.0	0.0	356	361	nan	215	227	224			nan	949	843	nan	939	833	726			nan
-0.5	0.7	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050252.979347	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	939	nan	726			nan
-0.5	0.7	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050253.083704	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	939	nan	726			nan
-0.5	0.7	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050253.1881497	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	939	nan	726			nan
-0.5	0.7	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050253.2930555	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	939	nan	726			nan
-0.4	0.5	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050253.3977044	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	nan			nan	949	843	739	939	nan	nan			nan
-0.4	0.5	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050253.5067332	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	nan			nan	949	843	739	939	nan	nan			nan
-0.8	0.3	3.9	-3.9	7.1	9.7	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050253.611585	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.8	0.3	3.9	-3.9	7.1	9.7	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050253.7193692	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.8	0.3	3.9	-3.9	7.1	9.7	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050253.8240914	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.8	0.3	3.9	-3.9	7.1	9.7	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050253.928589	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.8	0.3	3.9	-3.9	7.1	9.7	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050254.033198	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.8	0.3	3.9	-3.9	7.1	9.7	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050254.1394517	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.3	0.7	3.9	-3.9	7.3	9.7	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050254.2441964	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.3	0.7	3.9	-3.9	7.3	9.7	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050254.3612993	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.8	0.8	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050254.4660532	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	939	nan	726			nan
-0.8	0.8	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050254.5709555	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	939	nan	726			nan
-0.5	0.7	4.0	-4.0	7.0	9.9	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050254.6760755	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.5	0.7	4.0	-4.0	7.0	9.9	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050254.7810335	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.5	0.7	4.0	-4.0	7.0	9.9	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050254.888297	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.5	0.7	4.0	-4.0	7.0	9.9	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050254.9930859	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.6	0.8	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050255.0979578	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	939	nan	726			nan
-0.6	0.8	nan	nan	nan	nan	64.549999999999997	-0.42999999999999999							nan	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050255.2030532	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	nan	224			nan	949	843	739	939	nan	726			nan
-0.8	0.8	4.1	-4.1	7.2	9.8	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050255.309589	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.8	0.8	4.1	-4.1	7.2	9.8	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050255.414563	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.8	0.8	4.1	-4.1	7.2	9.8	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050255.5275383	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
-0.8	0.8	4.1	-4.1	7.2	9.8	64.549999999999997	-0.42999999999999999							4.2999999999999998	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587050255.633593	0.0	0.0	0.0	0.0	0.0	0.0	356	361	368	215	227	224			nan	949	843	739	939	833	726			nan
