aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-0.8	nan	1.0	-1.0	5.5	11.9	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049070.4873502	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.8	nan	1.0	-1.0	5.5	11.9	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049070.5929372	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.8	nan	1.0	-1.0	5.5	11.9	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049070.6991775	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.8	nan	1.0	-1.0	5.5	11.9	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049070.8042943	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.1	nan	0.3	-0.3	6.0	11.7	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049070.9091253	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.1	nan	0.3	-0.3	6.0	11.7	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049071.0140676	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.3	nan	0.6	-0.6	5.8	12.0	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049071.1279032	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.3	nan	0.6	-0.6	5.8	12.0	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049071.2354252	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.3	nan	0.6	-0.6	5.8	12.0	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049071.3426986	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.3	nan	0.6	-0.6	5.8	12.0	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049071.447709	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.3	nan	0.6	-0.6	5.8	12.0	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049071.5527859	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.3	nan	0.6	-0.6	5.8	12.0	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049071.6594074	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.1	nan	0.8	-0.8	5.9	11.9	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049071.764349	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.1	nan	0.8	-0.8	5.9	11.9	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049071.8696449	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.6	nan	0.8	-0.8	5.7	12.0	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049071.974415	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.6	nan	0.8	-0.8	5.7	12.0	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049072.081339	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.6	nan	0.8	-0.8	5.7	12.0	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049072.1861236	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.6	nan	0.8	-0.8	5.7	12.0	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049072.2911158	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-1.2	nan	0.9	-0.9	5.7	11.8	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049072.396229	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-1.2	nan	0.9	-0.9	5.7	11.8	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049072.5032372	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-1.0	nan	0.9	-0.9	5.7	12.0	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049072.609143	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.6	nan	0.8	-0.8	5.7	12.2	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049072.7140665	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.6	nan	0.8	-0.8	5.7	12.2	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049072.819112	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
-0.6	nan	0.8	-0.8	5.7	12.2	-50.0	-0.25							3.3999999999999999	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1587049072.93503	0.0	0.0	0.0	0.0	0.0	0.0	360	367	nan	228	232	219			nan	956	849	nan	947	841	734			nan
