aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
26.6	4.7	-40.1	40.1	33.8	-4.3									8.1	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766876.3443925	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	529	456	596	515	442			nan
26.6	4.7	-40.1	40.1	33.8	-4.3									8.1	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766876.4509263	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	529	456	596	515	442			nan
26.0	5.0	-39.4	39.4	33.7	-4.3									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766876.557009	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	596	515	442			nan
26.0	5.0	-39.4	39.4	33.7	-4.3									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766876.6634343	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	596	515	442			nan
26.0	5.0	-39.4	39.4	33.7	-4.3									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766876.769299	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	596	515	442			nan
26.0	5.0	-39.4	39.4	33.7	-4.3									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766876.87499	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	596	515	442			nan
25.7	5.1	-39.8	39.8	34.2	-4.6									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766876.9811168	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	595	515	442			nan
25.7	5.1	-39.8	39.8	34.2	-4.6									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766877.0868227	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	595	515	442			nan
26.0	4.8	-39.7	39.7	33.8	-4.2									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766877.192718	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	596	515	442			nan
26.0	4.8	-39.7	39.7	33.8	-4.2									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766877.2980158	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	596	515	442			nan
26.0	4.8	-39.7	39.7	33.8	-4.2									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766877.4035156	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	596	515	442			nan
26.0	4.8	-39.7	39.7	33.8	-4.2									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766877.5091774	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	596	515	442			nan
26.2	4.8	-39.9	39.9	34.0	-4.5									8.1	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766877.615544	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	529	456	595	515	442			nan
26.2	4.8	-39.9	39.9	34.0	-4.5									8.1	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766877.721202	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	529	456	595	515	442			nan
26.2	4.8	-39.8	39.8	33.8	-4.4									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766877.8271205	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	596	515	442			nan
26.2	4.8	-39.8	39.8	33.8	-4.4									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766877.934551	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	596	515	442			nan
26.2	4.8	-39.8	39.8	33.8	-4.4									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766878.0408525	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	596	515	442			nan
26.3	5.0	-40.2	40.2	34.2	-4.6									8.1	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766878.1489651	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	529	456	596	515	442			nan
26.3	5.0	-40.2	40.2	34.2	-4.6									8.1	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766878.2545137	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	529	456	596	515	442			nan
26.0	4.8	-39.9	39.9	34.0	-4.4									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766878.3611164	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			nan	603	528	456	595	515	442			nan
26.0	4.8	-39.9	39.9	34.0	-4.4									7.6	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588766878.4697087	37.27	0.0	0.0	40.0	30.0	0.0	436	454	486	359	356	331			783.0	603	528	456	595	515	442			288.0
26.0	4.8	-39.9	39.9	34.0	-4.4									7.6	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588766878.5804622	11.82	63.64	80.0	0.0	0.0	72.73	436	454	486	359	356	331			nan	603	528	456	595	515	442			nan
26.0	4.8	-39.9	39.9	34.0	-4.4									7.6	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588766878.6870625	11.82	63.64	80.0	0.0	0.0	72.73	436	454	486	359	356	331			nan	603	528	456	595	515	442			nan
