aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
27.1	10.5	-41.4	41.4	34.0	-2.4									9.9	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767703.3913767	37.27	0.0	0.0	40.0	30.0	0.0	439	462	503	365	365	340			nan	609	536	469	599	519	445			nan
26.8	10.3	-41.5	41.5	34.1	-2.7									9.9	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767703.496737	37.27	0.0	0.0	40.0	30.0	0.0	439	462	503	365	365	340			nan	609	536	469	599	519	445			nan
26.8	10.3	-41.5	41.5	34.1	-2.7									9.9	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767703.6021168	37.27	0.0	0.0	40.0	30.0	0.0	439	462	503	365	365	340			nan	609	536	469	599	519	445			nan
26.8	10.3	-41.5	41.5	34.1	-2.7									9.9	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767703.7075438	37.27	0.0	0.0	40.0	30.0	0.0	439	462	503	365	365	340			nan	609	536	469	599	519	445			nan
26.8	10.3	-41.5	41.5	34.1	-2.7									9.9	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767703.8133826	37.27	0.0	0.0	40.0	30.0	0.0	439	462	503	365	365	340			nan	609	536	469	599	519	445			nan
27.4	9.8	-41.4	41.4	33.5	-2.3									9.9	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767703.9187503	37.27	0.0	0.0	40.0	30.0	0.0	439	462	503	365	365	340			nan	609	536	469	599	519	445			nan
27.4	9.8	-41.4	41.4	33.5	-2.3									9.9	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767704.0248659	37.27	0.0	0.0	40.0	30.0	0.0	439	462	503	365	365	340			nan	609	536	469	599	519	445			nan
27.1	10.0	-41.8	41.8	34.0	-2.6									9.9	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767704.1312127	37.27	0.0	0.0	40.0	30.0	0.0	439	462	503	365	365	340			nan	609	536	469	599	519	445			nan
27.1	10.0	-41.8	41.8	34.0	-2.6									9.9	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767704.2379484	37.27	0.0	0.0	40.0	30.0	0.0	439	462	503	365	365	340			nan	609	536	469	599	519	445			nan
27.1	10.0	-41.8	41.8	34.0	-2.6									9.9	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767704.3443878	37.27	0.0	0.0	40.0	30.0	0.0	439	462	503	365	365	340			nan	609	536	469	599	519	445			nan
