aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
26.5	6.6	-36.7	36.7	33.2	-4.4									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767557.1865876	37.27	0.0	0.0	40.0	30.0	0.0	441	461	497	359	364	345			nan	604	530	459	592	512	437			nan
26.1	6.9	-36.5	36.5	33.4	-4.3									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767557.294805	37.27	0.0	0.0	40.0	30.0	0.0	440	461	497	359	364	345			nan	603	530	459	592	512	437			nan
26.1	6.8	-36.4	36.4	32.9	-4.3									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767557.4019203	37.27	0.0	0.0	40.0	30.0	0.0	441	461	497	359	364	345			nan	603	530	459	591	512	436			nan
26.1	6.8	-36.4	36.4	32.9	-4.3									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767557.5074456	37.27	0.0	0.0	40.0	30.0	0.0	441	461	497	359	364	345			nan	603	530	459	591	512	436			nan
26.1	6.8	-36.4	36.4	32.9	-4.3									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767557.613866	37.27	0.0	0.0	40.0	30.0	0.0	441	461	497	359	364	345			nan	603	530	459	591	512	436			nan
26.1	6.8	-36.4	36.4	32.9	-4.3									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767557.7207806	37.27	0.0	0.0	40.0	30.0	0.0	441	461	497	359	364	345			nan	603	530	459	591	512	436			nan
26.5	7.0	-36.5	36.5	33.0	-4.2									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767557.8279161	37.27	0.0	0.0	40.0	30.0	0.0	440	461	497	359	364	345			nan	604	530	459	592	512	437			nan
26.5	7.0	-36.5	36.5	33.0	-4.2									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767557.9360244	37.27	0.0	0.0	40.0	30.0	0.0	440	461	497	359	364	345			nan	604	530	459	592	512	437			nan
26.3	7.0	-36.4	36.4	33.5	-4.2									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767558.0415616	37.27	0.0	0.0	40.0	30.0	0.0	440	461	497	359	364	345			nan	603	530	459	592	512	437			nan
26.3	7.0	-36.4	36.4	33.5	-4.2									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767558.1473067	37.27	0.0	0.0	40.0	30.0	0.0	440	461	497	359	364	345			nan	603	530	459	592	512	437			nan
26.3	7.0	-36.4	36.4	33.5	-4.2									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767558.2542453	37.27	0.0	0.0	40.0	30.0	0.0	440	461	497	359	364	345			nan	603	530	459	592	512	437			nan
26.3	7.0	-36.4	36.4	33.5	-4.2									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767558.3607337	37.27	0.0	0.0	40.0	30.0	0.0	440	461	497	359	364	345			nan	603	530	459	592	512	437			nan
25.9	6.7	-36.4	36.4	33.2	-4.2									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767558.4679277	37.27	0.0	0.0	40.0	30.0	0.0	441	461	497	359	364	345			nan	603	530	459	592	512	437			nan
25.9	6.7	-36.4	36.4	33.2	-4.2									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767558.5733106	37.27	0.0	0.0	40.0	30.0	0.0	441	461	497	359	364	345			nan	603	530	459	592	512	437			nan
26.3	7.0	-36.4	36.4	33.1	-4.2									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767558.679164	37.27	0.0	0.0	40.0	30.0	0.0	440	461	497	359	364	345			nan	603	530	459	592	512	437			nan
26.3	7.0	-36.4	36.4	33.1	-4.2									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767558.7850876	37.27	0.0	0.0	40.0	30.0	0.0	440	461	497	359	364	345			nan	603	530	459	592	512	437			nan
26.3	7.0	-36.4	36.4	33.1	-4.2									10.5	1	0	0	1	0.41	0.0	0.0	0.44	0.33	0.0	1588767558.8914785	37.27	0.0	0.0	40.0	30.0	0.0	440	461	497	359	364	345			nan	603	530	459	592	512	437			nan
26.3	7.0	-36.4	36.4	33.1	-4.2									10.5	1	0	0	1	0.13	0.7	0.88	0.0	0.0	0.8	1588767558.9972408	11.82	63.64	80.0	0.0	0.0	72.73	440	461	497	359	364	345			783.0	603	530	459	592	512	437			288.0
26.4	6.7	-36.6	36.6	33.0	-4.0									10.5	1	0	0	1	0.13	0.7	0.88	0.0	0.0	0.8	1588767559.1032228	11.82	63.64	80.0	0.0	0.0	72.73	441	461	497	359	364	345			nan	604	530	459	592	512	437			nan
26.4	6.7	-36.6	36.6	33.0	-4.0									10.5	1	0	0	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767559.2103736	44.55	0.0	0.0	25.45	54.55	12.73	441	461	497	359	364	345			783.0	604	530	459	592	512	437			288.0
25.9	6.8	-36.5	36.5	33.4	-4.4									10.5	1	0	0	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767559.3170938	44.55	0.0	0.0	25.45	54.55	12.73	441	461	497	359	364	345			nan	603	530	459	592	512	437			nan
25.9	6.8	-36.5	36.5	33.4	-4.4									10.5	1	0	0	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767559.4236631	44.55	0.0	0.0	25.45	54.55	12.73	441	461	497	359	364	345			nan	603	530	459	592	512	437			nan
25.9	6.8	-36.5	36.5	33.4	-4.4									10.5	1	0	0	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767559.5301726	44.55	0.0	0.0	25.45	54.55	12.73	441	461	497	359	364	345			nan	603	530	459	592	512	437			nan
25.9	6.8	-36.5	36.5	33.4	-4.4									10.5	1	0	0	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767559.6367092	44.55	0.0	0.0	25.45	54.55	12.73	441	461	497	359	364	345			nan	603	530	459	592	512	437			nan
26.1	6.7	-36.7	36.7	32.9	-4.4									10.5	1	0	0	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767559.742904	44.55	0.0	0.0	25.45	54.55	12.73	441	461	497	359	364	345			nan	603	530	459	592	512	437			nan
26.1	6.7	-36.7	36.7	32.9	-4.4									10.5	1	0	0	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767559.8485801	44.55	0.0	0.0	25.45	54.55	12.73	441	461	497	359	364	345			nan	603	530	459	592	512	437			nan
18.2	22.3	-23.4	23.4	20.4	5.3									8.4	1	0	0	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767559.953858	44.55	0.0	0.0	25.45	54.55	12.73	440	462	499	356	361	345			nan	604	529	460	594	514	437			nan
18.2	22.3	-23.4	23.4	20.4	5.3									8.4	1	0	0	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767560.0595205	44.55	0.0	0.0	25.45	54.55	12.73	440	462	499	356	361	345			nan	604	529	460	594	514	437			nan
-6.3	34.8	23.9	-23.9	32.9	21.0									5.0	1	0	0	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767560.1649263	44.55	0.0	0.0	25.45	54.55	12.73	441	438	447	291	335	345			nan	603	525	446	581	516	437			nan
-6.3	34.8	23.9	-23.9	32.9	21.0									5.0	1	0	0	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767560.2723382	44.55	0.0	0.0	25.45	54.55	12.73	441	438	447	291	335	345			nan	603	525	446	581	516	437			nan
-6.3	34.8	23.9	-23.9	32.9	21.0									5.0	1	0	0	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767560.3815272	44.55	0.0	0.0	25.45	54.55	12.73	441	438	447	291	335	345			nan	603	525	446	581	516	437			nan
-6.3	34.8	23.9	-23.9	32.9	21.0									5.0	1	1	1	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767560.4887686	44.55	0.0	0.0	25.45	54.55	12.73	441	438	447	291	335	345			783.0	603	525	446	581	516	437			288.0
14.7	12.9	-15.8	15.8	55.4	2.6									6.2	1	1	1	1	0.49	0.0	0.0	0.28	0.6	0.14	1588767560.5971413	44.55	0.0	0.0	25.45	54.55	12.73	441	454	478	319	353	344			nan	603	526	451	585	515	437			nan
14.7	12.9	-15.8	15.8	55.4	2.6									6.2	0	1	1	0	0.49	0.0	0.0	0.28	0.6	0.14	1588767560.702838	44.55	0.0	0.0	25.45	54.55	12.73	441	454	478	319	353	344			783.0	603	526	451	585	515	437			288.0
21.5	4.9	-25.6	25.6	68.4	-0.3									7.4	0	1	1	0	0.49	0.0	0.0	0.28	0.6	0.14	1588767560.80859	44.55	0.0	0.0	25.45	54.55	12.73	441	457	483	323	357	345			nan	603	527	452	583	514	436			nan
21.5	4.9	-25.6	25.6	68.4	-0.3									7.4	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588767560.9144268	11.82	63.64	80.0	0.0	0.0	72.73	441	457	483	323	357	345			783.0	603	527	452	583	514	436			288.0
21.3	4.2	-28.3	28.3	71.5										8.0	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588767561.020608	11.82	63.64	80.0	0.0	0.0	72.73	441	458	484	324	358	345			nan	603	528	453	583	514	437			nan
21.3	4.2	-28.3	28.3	71.5										8.0	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588767561.1260917	11.82	63.64	80.0	0.0	0.0	72.73	441	458	484	324	358	345			nan	603	528	453	583	514	437			nan
21.3	4.2	-28.3	28.3	71.5										8.0	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588767561.2314255	11.82	63.64	80.0	0.0	0.0	72.73	441	458	484	324	358	345			nan	603	528	453	583	514	437			nan
21.3	4.2	-28.3	28.3	71.5										8.0	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588767561.3367684	11.82	63.64	80.0	0.0	0.0	72.73	441	458	484	324	358	345			nan	603	528	453	583	514	437			nan
20.5	6.0	-27.8	27.8	70.9	-0.7									8.0	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588767561.4451978	11.82	63.64	80.0	0.0	0.0	72.73	441	458	486	324	359	344			nan	603	528	453	583	514	437			nan
31.2	5.1	-28.9	28.9	71.1	3.3									8.0	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588767561.5506794	11.82	63.64	80.0	0.0	0.0	72.73	442	458	486	324	358	343			nan	603	528	453	583	514	436			nan
31.2	5.1	-28.9	28.9	71.1	3.3									8.0	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588767561.6562972	11.82	63.64	80.0	0.0	0.0	72.73	442	458	486	324	358	343			nan	603	528	453	583	514	436			nan
31.2	5.1	-28.9	28.9	71.1	3.3									8.0	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588767561.7614908	11.82	63.64	80.0	0.0	0.0	72.73	442	458	486	324	358	343			nan	603	528	453	583	514	436			nan
31.2	5.1	-28.9	28.9	71.1	3.3									8.0	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588767561.8669186	11.82	63.64	80.0	0.0	0.0	72.73	442	458	486	324	358	343			nan	603	528	453	583	514	436			nan
31.2	5.1	-28.9	28.9	71.1	3.3									8.0	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588767561.9727566	11.82	63.64	80.0	0.0	0.0	72.73	442	458	486	324	358	343			nan	603	528	453	583	514	436			nan
31.2	5.1	-28.9	28.9	71.1	3.3									8.0	0	1	1	0	0.13	0.7	0.88	0.0	0.0	0.8	1588767562.0786824	11.82	63.64	80.0	0.0	0.0	72.73	442	458	486	324	358	343			nan	603	528	453	583	514	436			nan
nan	36.3	23.7	-23.7	42.5	66.1									6.2	0	1	1	0	0.56	0.79	1.1	0.0	0.31	0.99	1588767562.1938064	50.91	71.82	100.0	0.0	28.18	90.0	nan	471	486	324	369	340			nan	nan	530	453	583	519	446			nan
nan	36.3	23.7	-23.7	42.5	66.1									6.2	0	1	1	0	0.56	0.79	1.1	0.0	0.31	0.99	1588767562.300665	50.91	71.82	100.0	0.0	28.18	90.0	nan	471	486	324	369	340			nan	nan	530	453	583	519	446			nan
6.7	68.1	66.4	-66.4	30.9	84.9									355.8	0	1	1	0	0.56	0.79	1.1	0.0	0.31	0.99	1588767562.4073951	50.91	71.82	100.0	0.0	28.18	90.0	525	480	486	324	385	370			nan	592	528	454	583	535	460			nan
6.7	68.1	66.4	-66.4	30.9	84.9									355.8	0	1	1	0	0.56	0.79	1.1	0.0	0.31	0.99	1588767562.51277	50.91	71.82	100.0	0.0	28.18	90.0	525	480	486	324	385	370			nan	592	528	454	583	535	460			nan
10.5	84.5	78.0	-78.0	28.7	96.4									353.7	0	1	1	0	0.56	0.79	1.1	0.0	0.31	0.99	1588767562.6186364	50.91	71.82	100.0	0.0	28.18	90.0	535	478	486	324	387	368			nan	581	527	455	583	537	465			nan
10.5	84.5	78.0	-78.0	28.7	96.4									353.7	0	1	1	0	0.56	0.79	1.1	0.0	0.31	0.99	1588767562.7276888	50.91	71.82	100.0	0.0	28.18	90.0	535	478	486	324	387	368			nan	581	527	455	583	537	465			nan
10.5	84.5	78.0	-78.0	28.7	96.4									353.7	0	1	1	0	0.56	0.79	1.1	0.0	0.31	0.99	1588767562.8339438	50.91	71.82	100.0	0.0	28.18	90.0	535	478	486	324	387	368			nan	581	527	455	583	537	465			nan
10.5	84.5	78.0	-78.0	28.7	96.4									353.7	0	1	1	0	0.56	0.79	1.1	0.0	0.31	0.99	1588767562.9394598	50.91	71.82	100.0	0.0	28.18	90.0	535	478	486	324	387	368			nan	581	527	455	583	537	465			nan
14.2	89.3	82.1	-82.1	27.8	98.5									352.4	0	1	1	0	0.56	0.79	1.1	0.0	0.31	0.99	1588767563.0453758	50.91	71.82	100.0	0.0	28.18	90.0	539	478	486	324	388	369			nan	575	526	455	583	538	466			nan
14.2	89.3	82.1	-82.1	27.8	98.5									352.4	0	1	1	0	0.56	0.79	1.1	0.0	0.31	0.99	1588767563.150937	50.91	71.82	100.0	0.0	28.18	90.0	539	478	486	324	388	369			nan	575	526	455	583	538	466			nan
25.3	95.3	87.7	-87.7	27.2	105.8									351.0	0	1	1	0	0.56	0.79	1.1	0.0	0.31	0.99	1588767563.25696	50.91	71.82	100.0	0.0	28.18	90.0	544	477	486	324	389	368			nan	564	525	456	583	539	469			nan
25.3	95.3	87.7	-87.7	27.2	105.8									351.0	0	1	1	0	0.56	0.79	1.1	0.0	0.31	0.99	1588767563.3657758	50.91	71.82	100.0	0.0	28.18	90.0	544	477	486	324	389	368			783.0	564	525	456	583	539	469			288.0
25.3	95.3	87.7	-87.7	27.2	105.8									351.0	1	1	1	1	0.56	0.79	1.1	0.0	0.31	0.99	1588767563.4759564	50.91	71.82	100.0	0.0	28.18	90.0	544	477	486	324	389	368			nan	564	525	456	583	539	469			nan
25.3	95.3	87.7	-87.7	27.2	105.8									351.0	1	1	1	1	0.56	0.79	1.1	0.0	0.31	0.99	1588767563.5813496	50.91	71.82	100.0	0.0	28.18	90.0	544	477	486	324	389	368			nan	564	525	456	583	539	469			nan
57.8	98.2	88.9	-88.9	30.8	111.9									350.2	1	0	0	1	0.56	0.79	1.1	0.0	0.31	0.99	1588767563.686931	50.91	71.82	100.0	0.0	28.18	90.0	550	477	486	324	390	366			nan	541	525	456	582	540	472			nan
57.8	98.2	88.9	-88.9	30.8	111.9									350.2	1	0	0	1	0.56	0.79	1.1	0.0	0.31	0.99	1588767563.792726	50.91	71.82	100.0	0.0	28.18	90.0	550	477	486	324	390	366			nan	541	525	456	582	540	472			nan
64.0	101.3	90.7	-90.7	32.7	118.1									348.9	1	0	0	1	0.14	0.58	0.0	0.28	0.0	0.53	1588767563.899152	12.73	52.73	0.0	25.45	0.0	48.18	551	478	486	324	391	363			nan	534	524	456	582	541	476			nan
64.0	101.3	90.7	-90.7	32.7	118.1									348.9	1	0	0	1	0.14	0.58	0.0	0.28	0.0	0.53	1588767564.0044522	12.73	52.73	0.0	25.45	0.0	48.18	551	478	486	324	391	363			nan	534	524	456	582	541	476			nan
64.0	101.3	90.7	-90.7	32.7	118.1									348.9	1	0	0	1	0.14	0.58	0.0	0.28	0.0	0.53	1588767564.110097	12.73	52.73	0.0	25.45	0.0	48.18	551	478	486	324	391	363			nan	534	524	456	582	541	476			nan
64.0	101.3	90.7	-90.7	32.7	118.1									348.9	1	0	0	1	0.14	0.58	0.0	0.28	0.0	0.53	1588767564.2157044	12.73	52.73	0.0	25.45	0.0	48.18	551	478	486	324	391	363			nan	534	524	456	582	541	476			nan
62.3	104.4	92.3	-92.3	31.9	123.4									348.9	1	0	0	1	0.14	0.58	0.0	0.28	0.0	0.53	1588767564.3216274	12.73	52.73	0.0	25.45	0.0	48.18	551	478	485	324	391	362			nan	534	524	456	582	541	478			nan
62.3	104.4	92.3	-92.3	31.9	123.4									348.9	1	0	0	1	0.14	0.58	0.0	0.28	0.0	0.53	1588767564.4271092	12.73	52.73	0.0	25.45	0.0	48.18	551	478	485	324	391	362			nan	534	524	456	582	541	478			nan
