aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
-4.03	-0.12	-0.08	-0.74	-0.81	0.66	0.66	0.0	-0.05	-2.17	0.6	0.09	-3.21	0.47	0.0	1593530369.487845	8.7
-3.82	-0.12	-0.08	-0.74	-0.81	0.66	0.66	0.0	0.05	-2.21	0.55	0.2	-3.22	0.6	0.0	1593530369.5177944	8.6
-3.69	-0.12	-0.07	-0.75	-0.81	0.66	0.66	0.0	0.02	-2.17	0.55	-0.08	-3.31	0.6	0.0	1593530369.549793	9.3
-3.77	-0.12	-0.07	-0.74	-0.81	0.65	0.66	0.0	-0.2	-2.09	0.64	0.08	-3.27	0.61	0.0	1593530369.5791128	10.97
-3.95	-0.12	-0.07	-0.75	-0.81	0.65	0.66	0.0	0.02	-2.26	0.44	0.11	-3.22	0.58	0.0	1593530369.6118617	9.72
-3.95	-0.12	-0.07	-0.75	-0.8	0.65	0.66	0.0	0.26	-2.24	0.4	0.17	-3.28	0.26	0.0	1593530369.6481488	10.4
-3.94	-0.13	-0.07	-0.75	-0.81	0.65	0.66	0.0	-0.05	-2.08	0.56	0.03	-3.37	0.46	0.0	1593530369.6784697	10.7
-3.97	-0.12	-0.07	-0.75	-0.81	0.66	0.66	0.0	-0.09	-2.03	0.41	0.02	-3.24	0.41	0.0	1593530369.708876	9.86
-4.04	-0.12	-0.07	-0.75	-0.8	0.66	0.66	0.0	-0.17	-2.02	0.66	0.09	-3.28	0.37	0.0	1593530369.739589	11.85
-3.96	-0.12	-0.07	-0.75	-0.81	0.66	0.67	0.0	-0.23	-2.14	0.61	-0.02	-3.19	0.43	0.0	1593530369.7717857	12.13
-4.04	-0.12	-0.08	-0.75	-0.81	0.66	0.66	0.0	0.09	-2.26	0.35	0.06	-3.25	0.63	0.0	1593530369.8013594	11.75
-4.0	-0.12	-0.07	-0.75	-0.81	0.66	0.66	0.0	-0.02	-2.15	0.27	0.27	-3.16	0.34	0.0	1593530369.8397183	13.08
-4.0	-0.12	-0.07	-0.75	-0.81	0.66	0.66	0.0	-0.09	-2.18	0.7	0.09	-3.16	0.49	0.0	1593530369.8698518	11.36
-4.04	-0.12	-0.07	-0.74	-0.81	0.66	0.66	0.0	-0.24	-2.23	0.32	0.12	-3.3	0.69	0.0	1593530369.900464	11.79
-4.01	-0.12	-0.07	-0.75	-0.8	0.65	0.66	0.0	-0.12	-2.08	0.44	0.03	-3.33	0.55	0.0	1593530369.9323778	10.92
-4.02	-0.12	-0.07	-0.74	-0.81	0.66	0.66	0.0	0.15	-2.15	0.64	-0.02	-3.19	0.63	0.0	1593530369.9619079	11.71
-3.95	-0.12	-0.07	-0.75	-0.81	0.65	0.66	0.0	-0.18	-2.03	0.5	-0.2	-3.1	0.63	0.0	1593530369.995797	10.79
-3.91	-0.12	-0.07	-0.75	-0.8	0.65	0.66	0.0	-0.21	-2.12	0.44	0.17	-3.51	0.44	0.0	1593530370.026729	11.73
