aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
-0.37	-0.12	-0.13	-0.75	-0.81	0.65	0.64	0.0	-0.03	-2.32	0.58	0.32	-3.4	-0.05	0.0	1593525334.6021092	20.84
-0.32	-0.12	-0.13	-0.75	-0.81	0.66	0.64	0.0	-0.17	-2.24	0.63	0.23	-3.24	0.14	0.0	1593525334.6324458	20.57
-0.26	-0.12	-0.13	-0.75	-0.82	0.65	0.63	0.0	-0.15	-2.06	0.38	0.21	-3.21	0.31	0.0	1593525334.663878	20.45
-0.25	-0.12	-0.13	-0.74	-0.81	0.65	0.65	0.0	-0.06	-1.92	0.4	0.02	-3.21	0.61	0.0	1593525334.695992	20.62
-0.31	-0.12	-0.13	-0.75	-0.81	0.67	0.64	0.0	-0.03	-1.82	0.44	-0.18	-3.34	0.67	0.0	1593525334.7260325	21.16
-0.38	-0.12	-0.12	-0.75	-0.81	0.66	0.64	0.0	-0.05	-1.83	0.49	-0.15	-3.36	0.64	0.0	1593525334.7611363	21.69
-0.43	-0.12	-0.12	-0.74	-0.81	0.65	0.65	0.0	-0.27	-1.98	0.43	-0.08	-3.39	0.47	0.0	1593525334.7920704	21.56
-0.39	-0.12	-0.13	-0.75	-0.81	0.66	0.64	0.0	-0.12	-1.98	0.4	0.29	-2.99	0.38	0.0	1593525334.8223276	20.63
-0.31	-0.12	-0.13	-0.75	-0.81	0.65	0.65	0.0	-0.11	-2.15	0.17	0.23	-3.18	0.43	0.0	1593525334.853306	20.39
-0.5	-0.11	-0.13	-0.74	-0.81	0.66	0.64	0.0	0.05	-2.29	0.61	0.12	-3.24	0.38	0.0	1593525334.8841162	22.01
-0.09	-0.11	-0.13	-0.75	-0.81	0.66	0.65	0.0	-0.35	-1.88	0.84	-0.02	-3.36	0.66	0.0	1593525334.9180174	19.73
-0.35	-0.12	-0.12	-0.75	-0.81	0.65	0.64	0.0	-0.08	-1.95	0.53	-0.02	-3.37	0.99	0.0	1593525334.9541953	21.44
-0.34	-0.13	-0.13	-0.75	-0.81	0.65	0.64	0.0	-0.14	-1.86	0.46	-0.05	-3.3	0.64	0.0	1593525334.9838784	21.2
-0.63	-0.13	-0.12	-0.75	-0.81	0.66	0.63	0.0	-0.08	-1.74	0.56	-0.06	-3.25	0.7	0.0	1593525335.0157328	22.18
-0.63	-0.12	-0.12	-0.75	-0.81	0.65	0.64	0.0	-0.14	-1.82	0.49	-0.03	-3.33	0.63	0.0	1593525335.0453033	21.72
-0.64	-0.13	-0.13	-0.75	-0.82	0.66	0.63	0.0	-0.17	-1.88	0.52	0.02	-3.22	0.81	0.0	1593525335.0763516	21.94
-0.65	-0.12	-0.13	-0.74	-0.81	0.66	0.65	0.0	-0.06	-1.71	0.52	-0.03	-3.11	0.79	0.0	1593525335.1073148	21.76
-0.42	-0.12	-0.13	-0.74	-0.81	0.65	0.65	0.0	0.06	-1.57	0.53	0.03	-3.39	0.76	0.0	1593525335.1444595	20.9
-0.48	-0.12	-0.12	-0.75	-0.81	0.65	0.65	0.0	-0.12	-2.03	0.53	0.05	-3.42	0.7	0.0	1593525335.175193	21.5
-0.53	-0.12	-0.13	-0.75	-0.81	0.66	0.65	0.0	-0.15	-1.83	0.44	0.09	-3.51	0.75	0.0	1593525335.205597	21.85
-0.39	-0.12	-0.13	-0.74	-0.81	0.65	0.64	0.0	-0.14	-1.91	0.5	-0.08	-3.33	0.73	0.0	1593525335.2366686	21.4
-0.48	-0.12	-0.13	-0.75	-0.81	0.65	0.65	0.0	-0.27	-1.5	0.52	-0.29	-3.18	0.79	0.0	1593525335.266522	22.05
-0.48	-0.13	-0.12	-0.75	-0.81	0.66	0.65	0.0	0.02	-1.54	0.64	-0.29	-3.25	0.66	0.0	1593525335.2973163	22.44
-0.38	-0.12	-0.13	-0.75	-0.81	0.66	0.65	0.0	-0.09	-1.8	0.61	-0.12	-3.28	0.73	0.0	1593525335.3312147	21.31
-0.38	-0.12	-0.13	-0.75	-0.81	0.66	0.64	0.0	-0.06	-1.98	0.58	0.34	-3.18	0.2	0.0	1593525335.36039	21.52
-0.22	-0.12	-0.13	-0.75	-0.8	0.66	0.64	0.0	-0.03	-2.44	0.5	0.24	-3.28	-0.17	0.0	1593525335.390603	20.62
-0.31	-0.12	-0.13	-0.75	-0.81	0.65	0.64	0.0	-0.08	-2.44	0.44	0.24	-3.27	0.17	0.0	1593525335.4230971	21.7
-0.29	-0.12	-0.13	-0.74	-0.81	0.66	0.64	0.0	0.03	-2.24	0.66	0.12	-3.19	0.32	0.0	1593525335.4527256	21.53
-0.28	-0.12	-0.13	-0.74	-0.81	0.65	0.65	0.0	-0.11	-1.98	0.53	0.05	-3.21	0.82	0.0	1593525335.4837205	21.91
-0.43	-0.12	-0.12	-0.75	-0.81	0.65	0.65	0.0	-0.4	-1.77	0.2	-0.15	-3.22	0.41	0.0	1593525335.516688	22.11
-0.56	-0.12	-0.13	-0.75	-0.81	0.65	0.65	0.0	-0.41	-2.14	0.34	0.02	-3.28	0.35	0.0	1593525335.551868	22.71
-0.59	-0.12	-0.12	-0.75	-0.81	0.66	0.64	0.0	-0.17	-2.15	0.64	0.24	-3.18	0.37	0.0	1593525335.5833983	22.51
-0.4	-0.12	-0.13	-0.75	-0.81	0.66	0.65	0.0	-0.17	-2.09	0.49	0.21	-3.25	0.31	0.0	1593525335.615204	21.9
-0.37	-0.12	-0.13	-0.74	-0.82	0.65	0.64	0.0	-0.15	-1.88	0.38	-0.09	-3.16	0.49	0.0	1593525335.643849	21.71
-0.46	-0.13	-0.12	-0.75	-0.81	0.65	0.64	0.0	-0.23	-1.83	0.55	-0.2	-3.19	0.61	0.0	1593525335.674214	22.38
-0.58	-0.12	-0.12	-0.75	-0.81	0.64	0.64	0.0	-0.12	-1.92	0.58	-0.2	-3.28	0.69	0.0	1593525335.705077	22.01
-0.12	-0.12	-0.13	-0.75	-0.81	0.66	0.64	0.0	-0.09	-1.85	0.69	0.06	-3.31	0.61	0.0	1593525335.7434082	20.15
-0.33	-0.12	-0.12	-0.75	-0.82	0.66	0.65	0.0	-0.24	-2.0	0.53	-0.17	-3.24	0.84	0.0	1593525335.7753255	22.61
-0.42	-0.13	-0.12	-0.75	-0.81	0.65	0.65	0.0	-0.06	-1.82	0.6	-0.06	-3.27	0.64	0.0	1593525335.804255	22.74
-0.58	-0.13	-0.13	-0.75	-0.81	0.65	0.64	0.0	-0.14	-2.03	0.34	-0.06	-3.36	0.32	0.0	1593525335.835187	22.24
-0.48	-0.13	-0.13	-0.75	-0.8	0.66	0.65	0.0	-0.34	-1.98	0.66	0.03	-3.21	0.18	0.0	1593525335.8652008	21.64
-0.47	-0.12	-0.13	-0.75	-0.81	0.65	0.65	0.0	-0.11	-2.23	0.53	0.29	-3.13	0.24	0.0	1593525335.8968897	21.57
-0.42	-0.12	-0.12	-0.75	-0.81	0.65	0.64	0.0	-0.17	-2.09	0.44	0.09	-3.24	0.61	0.0	1593525335.9273915	21.71
-0.42	-0.12	-0.13	-0.75	-0.8	0.66	0.66	0.0	-0.17	-2.03	0.41	0.02	-3.28	0.55	0.0	1593525335.962402	22.01
-0.34	-0.13	-0.12	-0.75	-0.8	0.66	0.65	0.0	-0.32	-1.94	0.73	-0.03	-3.31	0.69	0.0	1593525335.9921744	21.68
-0.49	-0.12	-0.13	-0.75	-0.81	0.65	0.65	0.0	0.05	-1.91	0.53	-0.27	-3.25	0.53	0.0	1593525336.0238369	22.11
-0.34	-0.13	-0.13	-0.75	-0.81	0.66	0.65	0.0	-0.12	-1.83	0.58	-0.09	-3.28	0.35	0.0	1593525336.0556397	22.43
-0.41	-0.12	-0.12	-0.75	-0.81	0.65	0.64	0.0	-0.08	-1.8	0.52	0.12	-3.31	0.7	0.0	1593525336.0846996	22.77
-0.41	-0.13	-0.13	-0.75	-0.81	0.65	0.64	0.0	-0.26	-1.94	0.55	-0.06	-3.39	0.61	0.0	1593525336.1155515	22.43
-0.4	-0.12	-0.13	-0.75	-0.81	0.66	0.64	0.0	-0.02	-1.86	0.37	0.03	-3.08	0.41	0.0	1593525336.1459937	22.35
-0.4	-0.12	-0.13	-0.75	-0.81	0.65	0.65	0.0	-0.08	-1.44	0.49	-0.23	-3.36	0.6	0.0	1593525336.178143	22.35
-0.3	-0.12	-0.13	-0.74	-0.81	0.65	0.64	0.0	-0.18	-2.15	0.63	0.0	-3.31	0.24	0.0	1593525336.207746	21.81
-0.16	-0.12	-0.13	-0.75	-0.81	0.65	0.64	0.0	0.09	-2.09	0.44	0.2	-3.37	0.44	0.0	1593525336.2390025	21.57
-0.3	-0.12	-0.12	-0.76	-0.81	0.65	0.65	0.0	-0.05	-2.0	0.52	-0.02	-3.22	0.52	0.0	1593525336.269799	22.91
-0.4	-0.12	-0.12	-0.75	-0.8	0.66	0.65	0.0	-0.08	-2.09	0.46	0.15	-3.4	0.44	0.0	1593525336.305187	23.24
-0.39	-0.12	-0.13	-0.75	-0.81	0.65	0.64	0.0	-0.08	-2.03	0.4	0.11	-3.47	0.55	0.0	1593525336.3381934	22.78
-0.2	-0.12	-0.13	-0.75	-0.81	0.65	0.65	0.0	-0.05	-2.17	0.47	0.06	-3.11	0.4	0.0	1593525336.3694565	21.46
-0.2	-0.12	-0.13	-0.74	-0.81	0.66	0.65	0.0	-0.18	-1.85	0.5	-0.12	-3.15	0.55	0.0	1593525336.4002109	22.76
-0.29	-0.13	-0.13	-0.75	-0.81	0.65	0.64	0.0	0.03	-2.03	0.66	0.06	-3.19	0.26	0.0	1593525336.4310672	23.09
-0.32	-0.13	-0.13	-0.75	-0.81	0.65	0.65	0.0	-0.2	-1.91	0.4	-0.14	-3.44	0.32	0.0	1593525336.4631748	22.63
-0.39	-0.12	-0.13	-0.75	-0.81	0.65	0.65	0.0	-0.18	-2.05	0.63	0.02	-3.3	0.37	0.0	1593525336.4924047	23.02
-0.24	-0.12	-0.13	-0.74	-0.81	0.66	0.64	0.0	-0.09	-2.2	0.41	0.2	-3.11	0.12	0.0	1593525336.5237145	22.65
-0.25	-0.12	-0.13	-0.75	-0.81	0.66	0.66	0.0	-0.12	-2.14	0.35	0.08	-3.51	0.35	0.0	1593525336.5538292	22.64
-0.14	-0.12	-0.12	-0.75	-0.81	0.65	0.65	0.0	-0.15	-2.09	0.55	0.27	-3.19	0.23	0.0	1593525336.5861316	22.35
-0.01	-0.12	-0.13	-0.75	-0.81	0.65	0.64	0.0	-0.05	-1.97	0.34	-0.02	-3.16	0.49	0.0	1593525336.6175132	21.91
0.11	-0.12	-0.14	-0.75	-0.81	0.66	0.65	0.0	-0.21	-2.14	0.53	0.21	-3.33	0.52	0.0	1593525336.647313	21.47
0.08	-0.11	-0.12	-0.74	-0.81	0.66	0.65	0.0	-0.12	-1.92	0.61	0.05	-3.28	0.56	0.0	1593525336.6764185	22.18
-0.13	-0.12	-0.12	-0.74	-0.81	0.65	0.65	0.0	-0.06	-2.02	0.43	0.02	-3.36	0.41	0.0	1593525336.707674	23.49
-0.3	-0.12	-0.12	-0.75	-0.8	0.65	0.65	0.0	-0.05	-1.79	0.73	-0.02	-3.28	0.52	0.0	1593525336.7409081	23.21
-0.31	-0.12	-0.13	-0.75	-0.81	0.66	0.65	0.0	-0.09	-1.95	0.76	-0.08	-3.37	0.46	0.0	1593525336.7746108	22.89
-0.33	-0.12	-0.13	-0.75	-0.81	0.65	0.65	0.0	0.03	-2.06	0.31	0.03	-3.39	0.34	0.0	1593525336.8053932	23.1
-0.18	-0.13	-0.13	-0.75	-0.8	0.65	0.65	0.0	-0.18	-2.06	0.26	0.09	-3.36	0.53	0.0	1593525336.836939	22.53
