aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
-3.39	-0.13	-0.09	-0.75	-0.81	0.66	0.64	0.0	-0.03	-2.12	0.55	0.31	-3.19	0.38	0.0	1593509386.9240406	0.0
-3.16	-0.13	-0.1	-0.75	-0.82	0.66	0.66	0.0	-0.24	-1.98	0.56	0.26	-3.31	0.27	0.0	1593509386.9550734	0.0
-3.39	-0.13	-0.09	-0.75	-0.81	0.66	0.65	0.0	0.06	-1.97	0.6	0.11	-3.31	0.24	0.0	1593509386.9874473	0.0
-3.52	-0.13	-0.09	-0.75	-0.82	0.65	0.64	0.0	0.02	-1.86	0.53	0.08	-3.24	0.34	0.0	1593509387.0192254	0.0
-3.5	-0.13	-0.09	-0.75	-0.82	0.65	0.65	0.0	-0.14	-1.16	0.5	-0.31	-2.98	0.05	0.0	1593509387.050721	0.0
-3.53	-0.13	-0.08	-0.75	-0.81	0.66	0.64	0.0	0.06	-1.86	0.35	-0.15	-3.13	0.35	0.0	1593509387.0803978	0.0
-3.61	-0.12	-0.09	-0.75	-0.82	0.65	0.64	0.0	-0.05	-1.91	0.72	-0.05	-3.28	0.34	0.0	1593509387.1124203	0.0
-3.42	-0.13	-0.09	-0.74	-0.82	0.65	0.65	0.0	-0.18	-1.77	0.38	-0.17	-3.24	0.4	0.0	1593509387.14332	0.0
-3.45	-0.12	-0.09	-0.75	-0.82	0.65	0.65	0.0	-0.11	-1.95	0.47	0.12	-3.13	0.37	0.0	1593509387.1724818	0.0
-3.42	-0.13	-0.09	-0.75	-0.82	0.66	0.64	0.0	-0.29	-1.79	0.63	0.09	-2.99	0.24	0.0	1593509387.2041101	0.0
-3.38	-0.13	-0.09	-0.75	-0.81	0.65	0.64	0.0	0.15	-2.05	0.37	0.14	-3.25	0.18	0.0	1593509387.2354634	0.0
-3.42	-0.12	-0.09	-0.74	-0.81	0.65	0.64	0.0	-0.03	-2.05	0.56	-0.03	-3.18	0.37	0.0	1593509387.2712023	0.0
