aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
-3.87	-0.13	-0.08	-0.75	-0.81	0.66	0.64	0.0	-0.17	-2.11	0.46	-0.03	-3.16	0.38	0.0	1593510614.2998211	0.0
-3.89	-0.13	-0.08	-0.75	-0.81	0.65	0.65	0.0	0.0	-2.14	0.61	-0.12	-3.15	0.52	0.0	1593510614.329608	0.0
-3.97	-0.13	-0.08	-0.75	-0.81	0.66	0.66	0.0	0.05	-2.03	0.38	0.0	-3.36	0.34	0.0	1593510614.3603308	0.0
-3.87	-0.13	-0.08	-0.74	-0.8	0.65	0.66	0.0	0.0	-2.05	0.61	0.15	-3.37	0.32	0.0	1593510614.3924596	0.0
-3.9	-0.13	-0.09	-0.75	-0.82	0.66	0.65	0.0	0.09	-2.03	0.43	-0.08	-3.24	0.34	0.0	1593510614.4224548	0.0
-3.8	-0.13	-0.08	-0.75	-0.81	0.65	0.65	0.0	0.05	-2.2	0.49	-0.05	-3.24	0.37	0.0	1593510614.4554143	0.0
-4.0	-0.13	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.14	-2.03	0.4	0.05	-3.22	0.31	0.0	1593510614.4865878	0.0
-3.98	-0.13	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.02	-2.14	0.7	-0.02	-3.08	0.38	0.0	1593510614.5169575	0.0
-3.88	-0.13	-0.08	-0.75	-0.81	0.65	0.64	0.0	0.17	-2.0	0.64	0.09	-3.16	0.5	0.0	1593510614.548455	0.0
-3.83	-0.13	-0.09	-0.75	-0.81	0.66	0.65	0.0	-0.09	-2.12	0.5	0.05	-3.4	0.46	0.0	1593510614.578464	0.0
-3.65	-0.13	-0.09	-0.75	-0.81	0.66	0.65	0.0	-0.03	-1.79	0.49	0.2	-3.18	0.37	0.0	1593510614.6088994	0.0
-3.81	-0.13	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.05	-1.94	0.47	0.06	-3.34	0.12	0.0	1593510614.6412709	0.0
