aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
-3.35	-0.12	-0.08	-0.75	-0.81	0.65	0.64	0.0	-0.09	-2.23	0.72	-0.02	-3.28	0.66	0.0	1593530657.5066803	12.98
-3.27	-0.11	-0.07	-0.75	-0.82	0.65	0.67	0.0	-0.2	-2.96	0.23	-0.7	-3.42	1.05	0.0	1593530657.5375853	12.46
-3.29	-0.12	-0.08	-0.75	-0.81	0.65	0.66	0.0	-0.03	-1.57	0.75	-0.03	-2.93	0.7	0.0	1593530657.5686378	12.41
-3.11	-0.11	-0.09	-0.75	-0.81	0.66	0.65	0.0	-0.12	-1.8	0.63	-0.09	-3.48	0.09	0.0	1593530657.6009145	10.69
-3.2	-0.11	-0.08	-0.74	-0.81	0.65	0.65	0.0	0.0	-1.95	0.53	0.09	-3.37	1.04	0.0	1593530657.6312108	14.32
-3.18	-0.12	-0.08	-0.75	-0.81	0.66	0.65	0.0	-0.03	-1.62	0.67	-0.06	-3.3	0.24	0.0	1593530657.66122	13.39
-3.4	-0.12	-0.07	-0.75	-0.81	0.66	0.65	0.0	-0.31	-2.41	0.37	0.23	-2.99	0.73	0.0	1593530657.6918437	15.62
-3.44	-0.12	-0.08	-0.75	-0.81	0.66	0.66	0.0	-0.09	-2.32	0.35	0.2	-3.25	0.56	0.0	1593530657.723558	14.1
-3.11	-0.12	-0.09	-0.75	-0.81	0.65	0.65	0.0	-0.06	-2.35	0.64	0.03	-3.53	0.4	0.0	1593530657.75336	10.39
-3.08	-0.11	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.14	-2.29	0.56	0.08	-3.5	0.5	0.0	1593530657.7870054	12.38
-2.95	-0.12	-0.08	-0.74	-0.81	0.65	0.65	0.0	-0.02	-2.37	0.32	-0.11	-3.37	0.72	0.0	1593530657.8153174	12.09
-3.15	-0.12	-0.08	-0.75	-0.82	0.65	0.65	0.0	-0.11	-2.31	0.52	-0.03	-3.16	0.47	0.0	1593530657.8518274	14.19
-3.3	-0.11	-0.08	-0.75	-0.81	0.65	0.66	0.0	-0.11	-2.12	0.58	-0.09	-3.18	0.55	0.0	1593530657.8832653	12.79
-3.41	-0.12	-0.08	-0.75	-0.81	0.66	0.65	0.0	0.02	-2.0	0.61	0.27	-3.39	0.43	0.0	1593530657.9126866	15.37
-3.17	-0.12	-0.08	-0.75	-0.81	0.66	0.65	0.0	-0.11	-2.06	0.5	-0.02	-3.33	0.35	0.0	1593530657.9431448	13.57
-3.18	-0.12	-0.08	-0.74	-0.81	0.66	0.65	0.0	0.02	-2.03	0.37	0.08	-3.24	0.32	0.0	1593530657.97353	14.03
-3.21	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.06	-2.06	0.29	0.12	-3.16	0.27	0.0	1593530658.0078123	14.51
-3.33	-0.12	-0.08	-0.74	-0.81	0.66	0.66	0.0	-0.14	-2.08	0.27	0.02	-3.27	0.21	0.0	1593530658.0421283	13.14
-3.22	-0.12	-0.08	-0.75	-0.81	0.67	0.66	0.0	-0.21	-2.06	0.47	0.14	-3.19	0.4	0.0	1593530658.073047	13.44
-2.92	-0.11	-0.09	-0.75	-0.81	0.65	0.65	0.0	-0.03	-2.26	0.44	0.08	-3.48	0.41	0.0	1593530658.1060703	12.75
-2.89	-0.13	-0.08	-0.75	-0.81	0.65	0.65	0.0	0.03	-2.26	0.47	0.18	-3.33	0.4	0.0	1593530658.1340997	13.53
-3.21	-0.12	-0.08	-0.75	-0.81	0.65	0.66	0.0	-0.2	-2.14	0.49	-0.14	-3.27	0.43	0.0	1593530658.1670525	14.67
-3.25	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.26	-2.24	0.41	0.03	-3.31	0.4	0.0	1593530658.1957855	14.82
-3.33	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.15	-1.98	0.61	0.08	-3.24	0.6	0.0	1593530658.227477	15.57
-3.23	-0.12	-0.08	-0.75	-0.81	0.64	0.65	0.0	-0.2	-2.12	0.7	0.12	-3.22	0.69	0.0	1593530658.2609346	14.4
-3.28	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.15	-2.26	0.49	0.06	-3.27	0.6	0.0	1593530658.290366	15.27
-3.13	-0.11	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.05	-2.49	0.6	-0.11	-3.08	0.67	0.0	1593530658.322202	13.09
-3.12	-0.12	-0.08	-0.75	-0.8	0.64	0.65	0.0	-0.08	-2.79	0.43	-0.15	-3.3	0.69	0.0	1593530658.3521535	14.74
-3.12	-0.12	-0.09	-0.74	-0.81	0.65	0.65	0.0	0.12	0.85	0.78	-0.75	-3.33	1.28	0.0	1593530658.3828697	13.99
-3.12	-0.12	-0.08	-0.75	-0.8	0.65	0.64	0.0	-0.09	-2.6	0.44	0.24	-3.24	0.56	0.0	1593530658.4157276	14.84
-3.29	-0.12	-0.08	-0.74	-0.81	0.66	0.66	0.0	-0.2	-1.85	0.47	-0.08	-3.39	0.34	0.0	1593530658.4526844	14.85
-3.35	-0.12	-0.08	-0.75	-0.81	0.66	0.65	0.0	-0.02	-1.19	0.66	-0.27	-3.15	0.43	0.0	1593530658.48315	15.6
-3.38	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.02	-2.53	0.31	0.49	-3.18	0.32	0.0	1593530658.51366	15.72
-3.14	-0.12	-0.09	-0.75	-0.81	0.65	0.65	0.0	-0.35	-2.41	0.64	0.4	-3.31	0.4	0.0	1593530658.5460649	13.71
-3.07	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.03	-2.09	0.52	-0.08	-3.16	0.32	0.0	1593530658.575171	14.58
-3.13	-0.12	-0.09	-0.75	-0.81	0.65	0.65	0.0	0.14	-2.17	0.49	0.24	-3.31	0.38	0.0	1593530658.6084306	14.21
-3.29	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.24	-2.34	0.4	-0.05	-3.42	0.29	0.0	1593530658.6436176	16.08
-3.37	-0.12	-0.08	-0.74	-0.81	0.65	0.65	0.0	0.05	-2.03	0.58	-0.03	-3.13	0.58	0.0	1593530658.674092	16.44
-3.32	-0.12	-0.08	-0.75	-0.81	0.66	0.65	0.0	0.03	-2.35	0.49	0.03	-3.37	0.61	0.0	1593530658.7072966	16.68
-3.24	-0.12	-0.08	-0.75	-0.8	0.65	0.66	0.0	-0.18	-2.6	0.56	-0.73	-3.36	1.68	0.0	1593530658.7357504	14.86
-3.11	-0.12	-0.08	-0.75	-0.81	0.66	0.65	0.0	-0.05	-1.76	0.7	-0.11	-3.53	0.26	0.0	1593530658.7677972	14.76
