aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
-3.0	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.26	-1.83	0.44	0.12	-3.24	0.29	0.0	1593525674.7308788	0.0
-2.8	-0.12	-0.09	-0.75	-0.8	0.65	0.66	0.0	-0.15	-1.97	0.64	0.05	-3.62	0.47	0.0	1593525674.760717	0.0
-2.99	-0.12	-0.09	-0.75	-0.81	0.66	0.66	0.0	-0.18	-2.18	0.47	0.15	-3.3	0.18	0.0	1593525674.792281	0.0
-2.94	-0.12	-0.09	-0.75	-0.81	0.65	0.67	0.0	-0.15	-1.94	0.38	0.09	-3.15	0.47	0.0	1593525674.8219965	0.0
-3.26	-0.13	-0.08	-0.75	-0.81	0.65	0.66	0.0	-0.06	-2.05	0.43	0.12	-3.18	0.18	0.0	1593525674.8554218	0.15
-3.24	-0.12	-0.09	-0.75	-0.8	0.66	0.66	0.0	-0.18	-1.92	0.47	0.06	-3.21	0.23	0.0	1593525674.8835948	0.0
-3.21	-0.13	-0.09	-0.75	-0.81	0.66	0.66	0.0	-0.15	-1.94	0.66	0.09	-3.15	0.2	0.0	1593525674.9144435	0.16
-3.25	-0.12	-0.09	-0.75	-0.81	0.66	0.66	0.0	-0.05	-2.14	0.49	0.15	-3.37	0.29	0.0	1593525674.9455495	0.65
-3.18	-0.12	-0.09	-0.75	-0.81	0.66	0.65	0.0	-0.06	-1.95	0.53	0.2	-3.24	0.21	0.0	1593525674.976176	0.85
-3.23	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.09	-1.97	0.49	-0.06	-3.4	0.24	0.0	1593525675.0083122	1.15
-3.09	-0.12	-0.09	-0.75	-0.8	0.65	0.65	0.0	-0.24	-1.94	0.58	0.18	-3.3	0.34	0.0	1593525675.0376472	0.84
-3.21	-0.12	-0.09	-0.74	-0.8	0.66	0.66	0.0	-0.26	-2.03	0.52	0.06	-3.19	0.37	0.0	1593525675.0683925	1.19
-3.13	-0.12	-0.09	-0.75	-0.8	0.65	0.66	0.0	-0.29	-1.91	0.41	0.18	-3.25	0.31	0.0	1593525675.098551	1.56
-3.09	-0.13	-0.09	-0.75	-0.81	0.66	0.65	0.0	-0.15	-1.89	0.47	-0.02	-2.99	0.05	0.0	1593525675.129786	1.77
-3.04	-0.13	-0.08	-0.75	-0.8	0.65	0.66	0.0	-0.2	-2.0	0.46	-0.05	-3.28	0.4	0.0	1593525675.1656117	1.54
