aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
0.19	-0.12	-0.14	-0.75	-0.82	0.66	0.63	0.0	-0.23	-2.23	0.4	0.31	-3.42	0.32	0.0	1593521309.9414148	18.91
0.43	-0.12	-0.14	-0.76	-0.82	0.65	0.63	0.0	-0.15	-2.6	0.49	0.4	-3.3	-0.14	0.0	1593521309.9715967	18.63
0.21	-0.12	-0.13	-0.75	-0.82	0.65	0.63	0.0	-0.03	-2.44	0.49	0.23	-3.31	0.03	0.0	1593521310.002293	18.87
0.06	-0.12	-0.14	-0.75	-0.82	0.66	0.63	0.0	-0.05	-2.26	0.47	0.29	-3.05	0.03	0.0	1593521310.0333283	19.02
0.13	-0.12	-0.13	-0.75	-0.82	0.66	0.63	0.0	-0.24	-2.17	0.46	0.41	-3.19	0.0	0.0	1593521310.0649374	18.94
0.02	-0.12	-0.13	-0.75	-0.81	0.65	0.63	0.0	-0.03	-2.31	0.44	0.38	-3.11	-0.21	0.0	1593521310.1077118	19.06
-0.1	-0.11	-0.13	-0.75	-0.82	0.66	0.63	0.0	-0.24	-1.89	0.44	0.24	-3.16	0.11	0.0	1593521310.1378102	19.2
0.04	-0.12	-0.13	-0.74	-0.82	0.65	0.63	0.0	-0.26	-2.23	0.43	0.12	-3.28	-0.05	0.0	1593521310.1680298	19.04
0.14	-0.12	-0.14	-0.75	-0.82	0.65	0.63	0.0	-0.06	-2.43	0.46	0.15	-3.34	0.21	0.0	1593521310.1989915	18.93
0.04	-0.12	-0.13	-0.75	-0.82	0.65	0.62	0.0	-0.26	-1.98	0.52	-0.24	-3.02	0.81	0.0	1593521310.2312822	19.03
0.14	-0.12	-0.14	-0.75	-0.82	0.66	0.63	0.0	-0.24	-1.57	0.55	-0.2	-3.11	0.87	0.0	1593521310.2598066	18.92
0.06	-0.12	-0.14	-0.75	-0.82	0.66	0.63	0.0	-0.31	-1.74	0.63	-0.23	-3.21	0.93	0.0	1593521310.2998347	19.0
0.01	-0.13	-0.13	-0.75	-0.82	0.65	0.63	0.0	-0.11	-1.48	0.58	-0.34	-3.27	0.79	0.0	1593521310.3314598	19.05
0.09	-0.12	-0.13	-0.74	-0.81	0.66	0.63	0.0	-0.15	-1.69	0.29	-0.21	-3.34	0.75	0.0	1593521310.3613696	18.96
0.08	-0.12	-0.13	-0.75	-0.82	0.65	0.64	0.0	-0.23	-1.89	0.52	0.15	-3.42	0.12	0.0	1593521310.3941255	18.97
-0.04	-0.12	-0.13	-0.75	-0.82	0.66	0.63	0.0	-0.12	-2.2	0.41	0.11	-3.05	0.11	0.0	1593521310.4234066	19.1
0.05	-0.12	-0.14	-0.75	-0.82	0.66	0.62	0.0	-0.31	-2.03	0.43	0.18	-3.44	0.37	0.0	1593521310.4559264	19.0
