aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
0.68	-0.12	-0.14	-0.75	-0.82	0.66	0.63	0.0	-0.11	-1.89	0.43	-0.02	-3.16	0.43	0.0	1593518222.0156927	18.8
0.79	-0.12	-0.14	-0.75	-0.81	0.65	0.64	0.0	-0.12	-2.18	0.58	0.23	-3.22	0.15	0.0	1593518222.0457525	18.63
0.67	-0.12	-0.14	-0.75	-0.81	0.66	0.63	0.0	-0.21	-2.4	0.38	0.43	-3.4	0.11	0.0	1593518222.0765376	18.75
0.76	-0.12	-0.14	-0.75	-0.81	0.66	0.63	0.0	0.03	-2.14	0.47	0.49	-3.39	0.09	0.0	1593518222.1086755	18.61
0.68	-0.12	-0.15	-0.75	-0.82	0.66	0.63	0.0	-0.09	-2.18	0.35	0.37	-3.39	-0.05	0.0	1593518222.1379666	18.68
0.64	-0.12	-0.14	-0.75	-0.82	0.65	0.62	0.0	-0.18	-2.06	0.47	0.12	-3.15	0.15	0.0	1593518222.1685884	18.69
0.69	-0.12	-0.14	-0.75	-0.81	0.66	0.63	0.0	-0.11	-2.24	0.46	0.23	-3.36	0.31	0.0	1593518222.20184	18.6
0.75	-0.12	-0.14	-0.75	-0.82	0.65	0.64	0.0	-0.12	-1.91	0.55	0.23	-3.44	0.12	0.0	1593518222.241316	18.49
0.7	-0.12	-0.14	-0.74	-0.81	0.66	0.64	0.0	-0.08	-2.24	0.47	0.2	-3.3	-0.03	0.0	1593518222.2712264	18.53
1.0	-0.12	-0.14	-0.75	-0.81	0.65	0.63	0.0	0.0	-2.08	0.44	0.37	-3.28	0.08	0.0	1593518222.3022478	18.15
1.03	-0.13	-0.14	-0.75	-0.82	0.65	0.64	0.0	0.08	-2.26	0.64	0.15	-3.21	0.26	0.0	1593518222.3326263	18.09
0.84	-0.12	-0.14	-0.75	-0.82	0.65	0.63	0.0	-0.21	-2.08	0.41	0.31	-3.3	0.12	0.0	1593518222.364994	18.25
0.79	-0.12	-0.14	-0.75	-0.82	0.65	0.63	0.0	-0.06	-1.62	0.37	-0.63	-3.3	0.17	0.0	1593518222.3940127	18.29
0.73	-0.12	-0.14	-0.75	-0.81	0.65	0.63	0.0	-0.11	-1.33	0.63	-0.23	-3.33	0.37	0.0	1593518222.4366825	18.3
0.8	-0.13	-0.15	-0.75	-0.82	0.66	0.63	0.0	-0.03	-2.72	0.52	0.34	-3.34	0.11	0.0	1593518222.4671438	18.2
0.5	-0.12	-0.14	-0.75	-0.81	0.65	0.63	0.0	-0.09	-1.63	0.61	0.03	-3.33	-0.11	0.0	1593518222.498737	18.5
0.43	-0.12	-0.14	-0.75	-0.81	0.65	0.64	0.0	0.08	-2.58	0.67	0.26	-3.27	0.0	0.0	1593518222.5283787	18.57
0.52	-0.12	-0.14	-0.75	-0.81	0.66	0.63	0.0	-0.11	-1.76	0.5	-0.11	-3.05	-0.21	0.0	1593518222.561262	18.44
0.49	-0.13	-0.14	-0.75	-0.81	0.66	0.64	0.0	-0.06	-2.26	0.55	0.43	-3.22	-0.05	0.0	1593518222.591417	18.46
0.63	-0.12	-0.15	-0.75	-0.82	0.66	0.64	0.0	-0.05	-2.26	0.44	-0.05	-3.15	-0.03	0.0	1593518222.623488	18.28
0.68	-0.12	-0.14	-0.75	-0.82	0.65	0.63	0.0	-0.17	-2.43	0.38	0.21	-3.3	0.05	0.0	1593518222.6591008	18.19
0.44	-0.12	-0.13	-0.75	-0.81	0.66	0.63	0.0	-0.03	-2.18	0.58	0.43	-3.22	0.11	0.0	1593518222.6892602	18.45
0.52	-0.12	-0.14	-0.75	-0.81	0.66	0.63	0.0	-0.15	-2.0	0.44	0.02	-3.19	0.23	0.0	1593518222.7197478	18.33
0.6	-0.12	-0.14	-0.74	-0.81	0.66	0.63	0.0	-0.2	-2.11	0.31	-0.02	-3.36	0.67	0.0	1593518222.7498114	18.22
0.5	-0.12	-0.14	-0.75	-0.82	0.66	0.63	0.0	0.02	-1.54	0.38	-0.03	-3.11	0.7	0.0	1593518222.7818453	18.31
0.41	-0.12	-0.14	-0.75	-0.82	0.65	0.64	0.0	-0.06	-2.0	0.5	0.0	-3.19	0.63	0.0	1593518222.8120332	18.4
0.55	-0.12	-0.14	-0.75	-0.82	0.65	0.64	0.0	-0.23	-1.68	0.5	-0.09	-3.16	0.61	0.0	1593518222.8492746	18.22
0.79	-0.12	-0.15	-0.75	-0.81	0.66	0.64	0.0	-0.11	-2.14	0.55	0.15	-3.19	0.26	0.0	1593518222.8799052	17.92
