aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
-3.35	-0.12	-0.08	-0.74	-0.81	0.66	0.65	0.0	-0.11	-2.27	0.41	0.23	-3.24	0.24	0.0	1593530905.3960278	10.96
-3.37	-0.12	-0.08	-0.75	-0.81	0.66	0.66	0.0	-0.02	-2.15	0.43	0.18	-3.37	0.7	0.0	1593530905.4283144	11.38
-3.43	-0.11	-0.08	-0.74	-0.81	0.66	0.66	0.0	0.17	-2.14	0.41	-0.12	-3.45	0.12	0.0	1593530905.4573526	12.82
-3.32	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.15	-2.14	0.4	0.11	-3.22	0.32	0.0	1593530905.493165	12.84
-3.23	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	0.02	-1.95	0.55	0.15	-3.22	0.37	0.0	1593530905.5260613	11.54
-3.36	-0.12	-0.08	-0.75	-0.81	0.65	0.66	0.0	-0.09	-1.97	0.47	-0.09	-3.34	0.66	0.0	1593530905.5560682	13.52
-3.33	-0.12	-0.08	-0.74	-0.81	0.66	0.66	0.0	-0.09	-2.12	0.55	-0.11	-3.15	0.5	0.0	1593530905.5869246	12.03
-3.37	-0.12	-0.08	-0.74	-0.8	0.65	0.65	0.0	-0.03	-2.55	0.32	0.08	-3.22	0.52	0.0	1593530905.6173203	12.89
-3.39	-0.12	-0.08	-0.75	-0.81	0.66	0.65	0.0	-0.11	-2.26	0.56	0.05	-3.34	0.27	0.0	1593530905.6482463	12.83
-3.38	-0.13	-0.08	-0.75	-0.81	0.66	0.66	0.0	-0.05	-2.14	0.52	0.09	-3.33	0.26	0.0	1593530905.6796126	12.56
-3.39	-0.12	-0.08	-0.74	-0.81	0.65	0.65	0.0	0.31	-2.2	0.7	0.15	-3.16	0.35	0.0	1593530905.7111754	12.49
-3.37	-0.12	-0.08	-0.75	-0.81	0.65	0.66	0.0	-0.05	-1.92	0.73	0.03	-3.22	0.49	0.0	1593530905.7462373	12.99
-3.21	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.17	-2.12	0.53	0.2	-3.22	0.32	0.0	1593530905.7772915	11.19
-3.17	-0.12	-0.08	-0.75	-0.81	0.65	0.66	0.0	-0.08	-2.29	0.31	0.17	-3.25	0.46	0.0	1593530905.8078	12.43
-3.2	-0.12	-0.08	-0.75	-0.81	0.66	0.66	0.0	-0.18	-2.08	0.52	0.09	-3.31	0.31	0.0	1593530905.8382463	13.01
-3.28	-0.12	-0.09	-0.75	-0.81	0.65	0.65	0.0	-0.14	-2.08	0.37	0.06	-3.24	0.43	0.0	1593530905.8711534	12.29
-3.24	-0.12	-0.09	-0.75	-0.81	0.66	0.65	0.0	-0.11	-2.14	0.38	-0.03	-3.37	0.53	0.0	1593530905.9007127	12.72
-3.32	-0.12	-0.08	-0.75	-0.81	0.66	0.66	0.0	-0.08	-2.06	0.5	0.15	-3.24	0.43	0.0	1593530905.938227	15.51
-3.24	-0.12	-0.08	-0.75	-0.81	0.66	0.66	0.0	-0.29	-2.49	0.43	0.06	-3.21	0.47	0.0	1593530905.9711487	14.21
-3.29	-0.12	-0.08	-0.74	-0.81	0.65	0.66	0.0	-0.15	-2.31	0.63	0.05	-3.34	0.63	0.0	1593530905.999371	13.59
-3.32	-0.12	-0.08	-0.75	-0.81	0.66	0.66	0.0	0.05	-2.08	0.56	0.11	-3.19	0.5	0.0	1593530906.0322824	14.44
-3.43	-0.12	-0.07	-0.75	-0.81	0.65	0.66	0.0	-0.09	-2.02	0.6	-0.12	-3.3	0.34	0.0	1593530906.060748	14.57
-3.32	-0.12	-0.08	-0.75	-0.81	0.65	0.66	0.0	-0.32	-2.14	0.53	0.09	-3.25	0.41	0.0	1593530906.0941358	13.5
-3.44	-0.12	-0.07	-0.74	-0.81	0.66	0.65	0.0	0.0	-2.27	0.32	0.08	-3.22	0.61	0.0	1593530906.1288831	14.83
-3.37	-0.12	-0.09	-0.75	-0.81	0.66	0.66	0.0	0.0	-2.67	0.24	-0.02	-3.53	1.22	0.0	1593530906.1597161	13.16
-3.55	-0.12	-0.08	-0.75	-0.81	0.65	0.66	0.0	-0.24	-1.8	0.56	0.12	-3.3	1.53	0.0	1593530906.190129	13.73
-3.36	-0.12	-0.09	-0.75	-0.81	0.65	0.65	0.0	-0.05	-2.5	0.5	0.15	-3.19	0.46	0.0	1593530906.2207193	12.49
-3.34	-0.12	-0.08	-0.75	-0.82	0.65	0.65	0.0	-0.23	-3.73	0.4	-0.31	-3.28	2.03	0.0	1593530906.2531934	15.49
-3.43	-0.11	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.26	-1.27	0.73	0.79	-3.18	1.18	0.0	1593530906.282989	14.91
-3.26	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	0.14	-2.29	0.56	0.5	-3.36	0.55	0.0	1593530906.3141923	13.73
-3.29	-0.12	-0.08	-0.75	-0.81	0.66	0.66	0.0	-0.14	-2.17	0.47	0.27	-3.33	0.2	0.0	1593530906.3476472	14.61
-3.27	-0.12	-0.09	-0.75	-0.81	0.65	0.65	0.0	-0.11	-2.02	0.5	-0.02	-2.98	0.47	0.0	1593530906.3798103	14.05
-3.52	-0.13	-0.08	-0.74	-0.81	0.66	0.65	0.0	-0.4	-2.0	0.41	0.14	-3.21	0.31	0.0	1593530906.4082417	16.16
-3.34	-0.12	-0.08	-0.75	-0.81	0.66	0.66	0.0	-0.11	-2.06	0.49	-0.02	-3.27	0.37	0.0	1593530906.4399157	12.82
-3.16	-0.12	-0.08	-0.75	-0.81	0.66	0.66	0.0	-0.23	-2.03	0.4	-0.06	-3.39	0.38	0.0	1593530906.4696937	13.8
-3.27	-0.12	-0.08	-0.75	-0.81	0.64	0.65	0.0	-0.14	-2.06	0.55	-0.03	-3.33	0.37	0.0	1593530906.5004375	15.61
-3.23	-0.12	-0.08	-0.75	-0.81	0.66	0.66	0.0	-0.2	-2.02	0.6	0.06	-3.3	0.37	0.0	1593530906.5376832	13.28
-3.06	-0.11	-0.08	-0.75	-0.81	0.66	0.66	0.0	-0.18	-2.26	0.58	0.11	-3.24	0.67	0.0	1593530906.5711513	12.85
-3.14	-0.12	-0.08	-0.75	-0.81	0.66	0.66	0.0	-0.27	-2.34	0.35	0.11	-3.4	0.44	0.0	1593530906.599293	15.49
-3.36	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.11	-1.89	0.44	-0.09	-3.28	0.44	0.0	1593530906.631315	15.16
-3.41	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.18	-1.97	0.34	0.03	-3.39	0.41	0.0	1593530906.6610656	15.71
-3.36	-0.12	-0.08	-0.74	-0.81	0.65	0.65	0.0	-0.18	-2.05	0.75	0.06	-3.44	0.43	0.0	1593530906.6958265	14.96
-3.44	-0.12	-0.08	-0.74	-0.81	0.66	0.65	0.0	-0.08	-2.17	0.53	0.06	-3.24	0.34	0.0	1593530906.728853	16.34
-3.35	-0.12	-0.08	-0.75	-0.81	0.66	0.65	0.0	-0.14	-2.26	0.46	0.17	-3.3	0.44	0.0	1593530906.7586648	14.52
-3.13	-0.12	-0.08	-0.74	-0.81	0.66	0.65	0.0	0.0	-2.18	0.5	0.09	-3.48	0.55	0.0	1593530906.789695	15.64
-3.1	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.09	-2.0	0.43	-0.18	-3.22	0.55	0.0	1593530906.8196218	14.71
-3.21	-0.12	-0.09	-0.74	-0.8	0.66	0.66	0.0	-0.06	-2.38	0.64	-0.38	-3.22	1.05	0.0	1593530906.8506353	15.23
-3.46	-0.12	-0.07	-0.75	-0.82	0.65	0.66	0.0	-0.11	-2.02	0.69	0.63	-3.16	0.82	0.0	1593530906.8807237	18.14
-3.49	-0.12	-0.08	-0.74	-0.81	0.65	0.66	0.0	-0.14	-2.35	0.34	0.38	-3.22	0.15	0.0	1593530906.9133909	17.82
-3.31	-0.12	-0.08	-0.75	-0.81	0.66	0.66	0.0	-0.34	-1.85	0.38	0.2	-3.18	0.78	0.0	1593530906.9476068	14.43
-3.3	-0.11	-0.08	-0.75	-0.8	0.66	0.65	0.0	0.05	-2.34	0.66	0.05	-3.56	0.27	0.0	1593530906.9781063	16.01
-3.01	-0.12	-0.08	-0.74	-0.81	0.65	0.66	0.0	-0.02	-2.35	0.64	0.17	-3.42	0.7	0.0	1593530907.0082219	15.77
-3.03	-0.12	-0.08	-0.75	-0.8	0.66	0.66	0.0	-0.18	-2.08	0.35	-0.03	-3.33	0.6	0.0	1593530907.0392199	15.59
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.18	-0.75	0.49	0.81	-3.1	1.21	0.0	1593530907.0698678	14.13
-2.98	-0.12	-0.08	-0.75	-0.82	0.64	0.67	0.0	-0.12	-2.49	0.31	0.15	-3.15	2.15	0.0	1593530907.100974	15.89
-2.88	-0.11	-0.09	-0.74	-0.81	0.65	0.66	0.0	-0.05	-1.92	0.58	-0.69	-3.15	0.17	0.0	1593530907.1324444	12.06
-2.82	-0.12	-0.09	-0.75	-0.81	0.66	0.66	0.0	-0.05	-2.14	0.61	0.72	-3.36	0.63	0.0	1593530907.1619606	15.31
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.09	-2.31	0.52	0.43	-3.39	0.47	0.0	1593530907.1928806	15.63
-2.96	-0.12	-0.09	-0.75	-0.81	0.66	0.65	0.0	-0.02	-1.89	0.56	-0.15	-3.37	0.55	0.0	1593530907.2234316	15.77
-2.98	-0.11	-0.08	-0.75	-0.81	0.64	0.66	0.0	-0.06	-2.09	0.4	0.21	-3.22	0.26	0.0	1593530907.254077	14.97
-3.27	-0.12	-0.08	-0.75	-0.81	0.65	0.66	0.0	0.0	-1.94	0.46	0.08	-3.3	0.43	0.0	1593530907.2846355	19.19
-3.12	-0.11	-0.08	-0.75	-0.81	0.66	0.65	0.0	0.12	-2.08	0.49	-0.21	-3.19	0.37	0.0	1593530907.3156633	15.29
-3.22	-0.12	-0.08	-0.75	-0.81	0.65	0.66	0.0	-0.15	-2.15	0.56	0.27	-3.33	0.4	0.0	1593530907.3465393	17.61
-3.24	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	0.05	-2.32	0.47	-0.02	-3.3	0.63	0.0	1593530907.3766067	16.72
-3.27	-0.12	-0.09	-0.75	-0.81	0.66	0.65	0.0	-0.09	-2.29	0.43	0.06	-3.3	0.52	0.0	1593530907.4072702	17.1
-3.13	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.12	-2.49	0.5	-0.05	-3.11	0.69	0.0	1593530907.4377985	16.44
-3.19	-0.12	-0.08	-0.75	-0.81	0.66	0.65	0.0	-0.18	-0.46	0.5	0.98	-3.36	1.56	0.0	1593530907.4692905	18.19
-3.19	-0.12	-0.08	-0.75	-0.81	0.66	0.67	0.0	-0.08	-2.47	0.38	-0.85	-3.42	0.46	0.0	1593530907.5012424	16.73
-3.13	-0.11	-0.09	-0.75	-0.81	0.66	0.65	0.0	-0.06	-1.65	0.7	-0.82	-3.31	0.41	0.0	1593530907.537931	16.37
-2.97	-0.12	-0.09	-0.74	-0.81	0.65	0.65	0.0	-0.08	-1.82	0.52	-0.31	-3.24	0.35	0.0	1593530907.5689147	17.36
-3.02	-0.12	-0.08	-0.75	-0.8	0.65	0.65	0.0	-0.18	-2.38	0.58	0.09	-3.47	0.7	0.0	1593530907.5991576	17.14
-2.94	-0.12	-0.09	-0.75	-0.81	0.65	0.65	0.0	-0.26	-1.97	0.47	0.15	-3.22	0.29	0.0	1593530907.6297262	15.36
-2.91	-0.12	-0.09	-0.75	-0.81	0.66	0.66	0.0	-0.06	-2.47	0.53	0.12	-3.25	0.52	0.0	1593530907.6606467	16.68
-2.94	-0.12	-0.09	-0.75	-0.81	0.66	0.65	0.0	-0.2	-2.09	0.46	-0.14	-3.53	0.79	0.0	1593530907.6909008	17.64
-3.0	-0.12	-0.09	-0.75	-0.81	0.65	0.65	0.0	-0.11	-2.23	0.4	-0.89	-3.54	1.18	0.0	1593530907.7217314	17.46
-2.93	-0.12	-0.09	-0.76	-0.8	0.64	0.65	0.0	0.02	-2.24	0.52	-0.03	-3.3	0.38	0.0	1593530907.752485	16.3
-3.03	-0.11	-0.09	-0.75	-0.82	0.67	0.65	0.0	-0.08	-1.89	0.44	-0.08	-3.34	0.29	0.0	1593530907.7825515	18.23
-2.89	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.24	-2.17	0.49	0.12	-3.34	0.38	0.0	1593530907.8134515	18.76
-2.98	-0.11	-0.08	-0.75	-0.81	0.65	0.66	0.0	-0.17	-2.08	0.49	-0.11	-3.13	0.4	0.0	1593530907.843643	17.81
-2.99	-0.12	-0.08	-0.75	-0.8	0.65	0.65	0.0	-0.06	-2.03	0.55	0.05	-3.16	0.38	0.0	1593530907.8759408	18.1
-3.0	-0.12	-0.09	-0.75	-0.81	0.66	0.66	0.0	-0.26	-2.05	0.5	-0.06	-3.44	0.34	0.0	1593530907.9057755	17.45
-2.83	-0.12	-0.09	-0.75	-0.81	0.66	0.66	0.0	-0.09	-2.08	0.44	0.17	-3.21	0.63	0.0	1593530907.945506	16.14
-2.97	-0.12	-0.08	-0.75	-0.81	0.65	0.66	0.0	-0.26	-2.05	0.61	0.02	-3.39	0.35	0.0	1593530907.97583	18.48
-3.09	-0.12	-0.08	-0.75	-0.81	0.65	0.66	0.0	-0.18	-2.35	0.66	-0.08	-3.08	0.38	0.0	1593530908.0066717	18.79
-3.15	-0.12	-0.09	-0.74	-0.81	0.65	0.66	0.0	0.06	-2.09	0.56	-0.11	-3.24	0.52	0.0	1593530908.0371356	19.34
-3.14	-0.12	-0.09	-0.75	-0.8	0.65	0.65	0.0	-0.14	-2.21	0.52	-0.09	-3.28	0.53	0.0	1593530908.0677567	17.86
-3.04	-0.12	-0.09	-0.75	-0.81	0.66	0.65	0.0	-0.18	-2.29	0.58	-0.15	-3.36	0.87	0.0	1593530908.0985832	17.65
-2.95	-0.12	-0.09	-0.75	-0.81	0.64	0.65	0.0	-0.24	-2.29	0.52	-0.93	-3.01	1.63	0.0	1593530908.130016	16.84
-3.02	-0.12	-0.09	-0.75	-0.82	0.65	0.66	0.0	-0.05	-1.25	0.81	0.35	-3.19	1.54	0.0	1593530908.1611283	18.89
-3.0	-0.12	-0.09	-0.75	-0.81	0.65	0.65	0.0	-0.21	-1.66	0.34	-0.26	-3.39	2.14	0.0	1593530908.1915476	17.92
-2.91	-0.12	-0.09	-0.74	-0.81	0.66	0.65	0.0	-0.05	-1.5	0.6	-0.14	-3.42	0.78	0.0	1593530908.2220929	17.3
-2.97	-0.12	-0.09	-0.75	-0.82	0.66	0.65	0.0	-0.02	-2.18	0.67	-0.26	-3.3	0.87	0.0	1593530908.2555466	16.87
-2.84	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.15	-2.34	0.34	-0.06	-3.5	0.6	0.0	1593530908.2841487	17.12
-2.91	-0.12	-0.08	-0.75	-0.81	0.65	0.65	0.0	-0.2	-2.11	0.49	-0.02	-3.25	0.73	0.0	1593530908.3167107	18.96
-2.72	-0.11	-0.09	-0.74	-0.81	0.65	0.64	0.0	-0.09	-1.97	0.61	-0.03	-3.3	0.52	0.0	1593530908.3519988	17.63
-2.71	-0.12	-0.09	-0.75	-0.81	0.66	0.65	0.0	-0.05	-2.09	0.35	-0.09	-3.36	0.64	0.0	1593530908.3812757	17.95
-2.91	-0.12	-0.08	-0.75	-0.81	0.65	0.66	0.0	0.06	-1.94	0.49	-0.03	-3.28	0.24	0.0	1593530908.411948	20.82
-2.82	-0.12	-0.09	-0.74	-0.81	0.65	0.65	0.0	-0.08	-2.02	0.38	0.14	-3.22	0.23	0.0	1593530908.4426775	17.22
