aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
-5.55	-0.13	-0.05	-0.75	-0.78	0.65	0.7	0.0	-0.08	-1.76	0.38	-0.06	-3.16	0.55	0.0	1593532702.6295984	35.92
-5.48	-0.13	-0.06	-0.74	-0.78	0.65	0.7	0.0	-0.14	-2.06	0.67	-0.21	-3.16	0.31	0.0	1593532702.6578813	34.74
-5.66	-0.13	-0.06	-0.75	-0.77	0.66	0.71	0.0	0.06	-1.94	0.7	-0.06	-3.11	0.24	0.0	1593532702.6891193	35.61
-5.47	-0.13	-0.07	-0.75	-0.78	0.67	0.71	0.0	-0.06	-1.54	0.47	-0.14	-3.19	0.92	0.0	1593532702.719819	34.06
-5.22	-0.13	-0.06	-0.75	-0.77	0.66	0.71	0.0	0.18	-1.88	0.6	0.2	-3.34	0.44	0.0	1593532702.7519464	34.3
-5.09	-0.13	-0.07	-0.74	-0.77	0.66	0.7	0.0	0.09	-1.85	0.49	0.0	-2.96	0.58	0.0	1593532702.7957108	35.55
-5.11	-0.13	-0.06	-0.75	-0.78	0.66	0.69	0.0	-0.23	-1.71	0.61	-0.23	-3.18	0.69	0.0	1593532702.826367	35.45
-5.17	-0.13	-0.06	-0.74	-0.77	0.65	0.7	0.0	-0.23	-2.08	0.46	0.09	-3.27	0.5	0.0	1593532702.8576167	35.14
-5.23	-0.13	-0.06	-0.75	-0.78	0.65	0.7	0.0	-0.02	-1.86	0.4	-0.06	-3.19	0.53	0.0	1593532702.8889043	34.62
-5.31	-0.13	-0.06	-0.75	-0.77	0.65	0.7	0.0	-0.08	-1.79	0.49	-0.32	-3.36	0.47	0.0	1593532702.9184766	37.03
-5.39	-0.13	-0.06	-0.75	-0.77	0.65	0.7	60.0	-0.05	-2.14	0.52	-0.12	-3.22	0.26	0.0	1593532702.9500043	100
-5.35	-0.13	-0.06	-0.74	-0.77	0.66	0.7	60.0	-0.27	-2.06	0.7	-0.12	-3.24	0.34	0.0	1593532702.986252	100
-5.41	-0.13	-0.06	-0.75	-0.76	0.65	0.71	60.0	-0.17	-1.83	0.75	-0.5	-3.36	1.37	0.0	1593532703.0178192	100
-5.54	-0.13	-0.05	-0.74	-0.77	0.65	0.74	60.0	-0.12	-1.59	0.08	0.05	-3.47	3.95	0.0	1593532703.0483878	100
-5.06	-0.12	-0.08	-0.74	-0.77	0.66	0.71	60.0	-0.08	-1.82	1.36	-1.19	-3.31	2.06	0.0	1593532703.078471	100
-4.72	-0.13	-0.07	-0.75	-0.75	0.65	0.71	60.0	-0.03	-1.07	2.35	0.06	-3.34	15.34	0.0	1593532703.1094818	100
-4.61	-0.14	-0.08	-0.75	-0.74	0.67	0.7	60.0	0.03	-0.79	4.21	-1.3	-3.57	19.11	0.0	1593532703.1475666	100
-5.86	-0.11	-0.03	-0.76	-0.76	0.66	0.67	60.0	0.06	3.07	1.76	-8.49	-3.88	38.23	0.0	1593532703.1826313	100
-4.3	-0.13	-0.11	-0.74	-0.82	0.63	0.66	60.0	0.15	-1.98	2.64	-1.44	-3.62	63.42	0.0	1593532703.2138362	100
-2.65	-0.13	-0.16	-0.74	-0.77	0.65	0.69	60.0	0.23	-13.37	1.86	2.56	-3.44	76.29	0.0	1593532703.2440417	100
0.04	-0.13	-0.2	-0.74	-0.88	0.62	0.76	60.0	0.18	-3.91	1.54	-2.69	-3.59	102.4	0.0	1593532703.2751245	100
0.25	-0.1	-0.19	-0.76	-0.81	0.64	0.86	60.0	-0.06	-3.31	0.5	-6.63	-4.32	108.17	0.0	1593532703.3053648	100
9.37	-0.13	-0.34	-0.76	-0.75	0.66	0.74	60.0	0.11	2.12	-0.72	-2.84	-3.95	92.89	0.0	1593532703.3369036	100
9.64	-0.12	-0.22	-0.77	-0.58	0.63	0.7	60.0	0.08	-10.76	1.02	0.41	-3.53	91.83	0.0	1593532703.3665168	100
10.83	-0.12	-0.2	-0.74	-0.88	0.63	0.57	60.0	0.11	-4.64	-0.61	4.85	-4.31	99.92	0.0	1593532703.3974452	100
12.4	-0.11	-0.38	-0.75	-0.6	0.64	0.68	60.0	-0.02	-1.3	-2.72	-1.97	-2.99	86.78	0.0	1593532703.4274113	100
19.01	-0.13	-0.24	-0.76	-0.68	0.66	0.76	60.0	0.31	-7.39	1.92	-5.68	-4.2	67.36	0.0	1593532703.4578393	100
16.91	-0.13	-0.4	-0.75	-0.7	0.66	0.77	60.0	-0.23	-4.02	3.73	-0.14	-3.56	60.05	0.0	1593532703.4883206	100
18.1	-0.16	-0.39	-0.74	-0.61	0.68	0.75	60.0	0.15	1.01	0.23	-5.74	-3.47	60.27	0.0	1593532703.5212445	100
20.68	-0.14	-0.48	-0.78	-0.64	0.64	0.79	60.0	-0.06	-0.34	1.88	-0.98	-3.59	66.24	0.0	1593532703.5511863	100
25.11	-0.13	-0.42	-0.75	-0.56	0.63	0.76	60.0	0.08	-4.41	0.52	-4.67	-3.91	80.15	0.0	1593532703.588948	100
22.77	-0.16	-0.35	-0.74	-0.7	0.7	0.72	60.0	-0.02	-3.98	-2.95	-0.15	-3.68	89.11	0.0	1593532703.6176236	100
23.23	-0.14	-0.34	-0.74	-0.67	0.66	0.76	60.0	0.05	-2.15	2.43	0.47	-4.26	88.5	0.0	1593532703.647661	100
25.22	-0.14	-0.45	-0.76	-0.53	0.68	0.76	60.0	-0.15	3.04	1.5	-8.08	-4.27	81.13	0.0	1593532703.6784585	100
32.08	-0.13	-0.58	-0.73	-0.55	0.64	0.63	60.0	0.35	0.31	2.11	-0.09	-4.18	74.14	0.0	1593532703.7096345	100
30.91	-0.1	-0.45	-0.72	-0.55	0.63	0.65	60.0	0.02	4.11	1.25	-3.86	-3.6	69.37	0.0	1593532703.7399414	100
37.33	-0.13	-0.48	-0.75	-0.4	0.65	0.75	60.0	-0.06	-1.56	0.43	-1.94	-3.59	54.75	0.0	1593532703.7714107	100
39.01	-0.16	-0.57	-0.75	-0.46	0.66	0.74	60.0	-0.18	-7.39	0.6	-0.26	-2.98	45.88	0.0	1593532703.8020856	100
42.89	-0.13	-0.64	-0.75	-0.36	0.66	0.71	60.0	-0.12	0.29	0.23	-2.52	-3.4	49.04	0.0	1593532703.83415	100
43.67	-0.12	-0.64	-0.74	-0.43	0.64	0.78	60.0	-0.09	-6.53	1.56	-2.4	-3.21	53.11	0.0	1593532703.8638127	100
44.32	-0.13	-0.64	-0.73	-0.45	0.63	0.76	60.0	0.08	-3.57	1.07	-2.4	-3.05	54.12	0.0	1593532703.8931766	100
45.54	-0.08	-0.68	-0.74	-0.4	0.65	0.82	60.0	-0.03	0.2	0.27	-1.19	-3.44	64.17	0.0	1593532703.9236524	100
45.73	-0.17	-0.47	-0.75	-0.43	0.64	0.77	60.0	-0.06	-9.97	3.21	-5.11	-3.24	60.87	0.0	1593532703.956796	85.25
49.19	-0.15	-0.54	-0.76	-0.35	0.65	0.68	60.0	0.09	2.31	1.01	2.55	-3.15	62.4	0.0	1593532703.9927251	91.82
51.09	-0.13	-0.71	-0.74	-0.29	0.63	0.77	60.0	-0.11	-10.34	-0.2	-0.64	-2.87	54.05	0.0	1593532704.0243988	97.54
56.15	-0.11	-0.77	-0.75	-0.19	0.64	0.78	60.0	-0.35	-0.24	1.66	-2.38	-3.1	61.16	0.0	1593532704.0535624	75.08
54.82	-0.15	-0.62	-0.76	-0.42	0.66	0.93	60.0	0.11	0.0	0.12	2.44	-3.63	56.6	0.0	1593532704.0841107	100
55.97	-0.14	-0.62	-0.77	-0.24	0.67	0.72	60.0	-0.37	-3.34	-0.4	-1.44	-2.78	49.62	0.0	1593532704.1157534	99.19
61.06	-0.15	-0.61	-0.75	-0.12	0.67	0.73	60.0	-0.14	-2.03	0.56	-2.38	-3.07	36.66	0.0	1593532704.146134	81.83
64.42	-0.15	-0.66	-0.75	-0.14	0.65	0.72	60.0	-0.11	-0.75	0.7	-0.78	-3.54	11.28	0.0	1593532704.184344	80.96
65.18	-0.14	-0.67	-0.74	-0.15	0.66	0.73	60.0	0.09	-7.59	-0.17	2.18	-3.33	1.6	0.0	1593532704.2145214	90.16
64.39	-0.13	-0.71	-0.75	-0.21	0.66	0.72	60.0	-0.11	-4.27	1.91	4.05	-3.33	1.15	0.0	1593532704.2439842	100
63.76	-0.13	-0.7	-0.75	-0.21	0.65	0.72	60.0	-0.32	-1.92	0.46	-0.55	-3.24	0.82	0.0	1593532704.2745342	100
63.7	-0.13	-0.71	-0.74	-0.21	0.65	0.72	60.0	-0.11	-1.88	1.05	-0.41	-3.33	0.6	0.0	1593532704.3055947	98.88
63.18	-0.13	-0.7	-0.74	-0.21	0.66	0.73	60.0	0.06	-2.55	0.72	0.81	-3.36	2.34	0.0	1593532704.336453	100
63.07	-0.13	-0.71	-0.75	-0.21	0.66	0.72	60.0	-0.09	-1.77	0.99	-0.02	-3.25	2.9	0.0	1593532704.368267	100
63.39	-0.13	-0.7	-0.75	-0.21	0.65	0.73	60.0	-0.06	-1.57	0.84	-1.31	-3.28	4.93	0.0	1593532704.4037573	97.97
63.48	-0.14	-0.7	-0.75	-0.19	0.65	0.73	60.0	-0.26	-1.59	0.73	-0.53	-3.45	7.4	0.0	1593532704.4342244	96.94
64.25	-0.14	-0.71	-0.75	-0.17	0.66	0.73	60.0	-0.21	-5.69	0.76	1.65	-3.47	12.81	0.0	1593532704.4653635	90.93
63.56	-0.14	-0.73	-0.75	-0.22	0.65	0.73	60.0	0.12	-3.6	1.56	-1.39	-3.37	16.37	0.0	1593532704.4954848	100
62.55	-0.14	-0.72	-0.75	-0.25	0.66	0.72	60.0	0.0	0.75	1.56	-2.26	-3.27	22.84	0.0	1593532704.5262291	100
