aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
-4.34	-0.12	-0.07	-0.75	-0.79	0.66	0.69	0.0	-0.2	-2.23	0.63	-0.09	-3.3	0.34	0.0	1593532949.1726086	21.05
-4.39	-0.12	-0.07	-0.75	-0.78	0.66	0.69	0.0	-0.08	-2.06	0.58	-0.24	-3.19	0.24	0.0	1593532949.2033377	21.62
-4.35	-0.13	-0.07	-0.75	-0.78	0.65	0.7	0.0	-0.26	-2.18	0.58	-0.24	-3.15	0.43	0.0	1593532949.2341325	21.45
-4.18	-0.12	-0.07	-0.75	-0.78	0.66	0.69	0.0	-0.06	-2.14	0.56	0.0	-3.19	0.49	0.0	1593532949.265693	21.3
-4.32	-0.13	-0.07	-0.74	-0.78	0.65	0.69	0.0	0.0	-1.85	0.72	-0.43	-3.27	0.67	0.0	1593532949.2963462	22.74
-4.44	-0.13	-0.07	-0.75	-0.78	0.66	0.7	0.0	-0.15	-2.11	0.53	0.06	-3.45	0.61	0.0	1593532949.3323965	23.17
-4.44	-0.13	-0.07	-0.75	-0.78	0.66	0.7	0.0	-0.12	-1.88	0.69	-0.2	-3.21	0.46	0.0	1593532949.3613956	23.0
-4.4	-0.13	-0.07	-0.75	-0.78	0.65	0.69	0.0	-0.18	-1.74	0.7	-0.08	-3.3	0.37	0.0	1593532949.393378	23.06
-4.5	-0.13	-0.07	-0.75	-0.78	0.66	0.69	0.0	-0.11	-2.05	0.61	0.11	-3.4	0.78	0.0	1593532949.422179	23.91
-4.48	-0.12	-0.07	-0.75	-0.78	0.65	0.69	0.0	-0.27	-2.06	0.78	0.12	-3.31	0.75	0.0	1593532949.4538589	23.66
-4.51	-0.12	-0.06	-0.74	-0.78	0.66	0.69	0.0	-0.21	-1.88	0.7	-0.15	-3.25	0.53	0.0	1593532949.4840913	24.08
-4.49	-0.12	-0.07	-0.75	-0.78	0.65	0.69	0.0	-0.21	-1.48	0.81	-0.12	-3.33	0.66	0.0	1593532949.5150254	24.03
-4.27	-0.13	-0.07	-0.74	-0.78	0.65	0.69	0.0	-0.21	-2.09	0.55	-0.05	-3.25	0.98	0.0	1593532949.545253	23.03
-4.39	-0.12	-0.07	-0.74	-0.78	0.65	0.7	0.0	-0.08	-2.02	0.75	-0.08	-3.33	0.44	0.0	1593532949.5762732	25.02
-4.38	-0.12	-0.07	-0.75	-0.78	0.65	0.69	0.0	-0.23	-2.03	0.56	-0.23	-3.1	0.78	0.0	1593532949.6082363	25.2
-4.47	-0.13	-0.07	-0.75	-0.78	0.65	0.69	0.0	-0.18	-2.09	0.61	-0.15	-3.07	0.7	0.0	1593532949.6376562	25.85
-4.51	-0.13	-0.07	-0.75	-0.78	0.66	0.69	0.0	-0.18	-1.95	0.69	-0.2	-3.37	0.82	0.0	1593532949.6699443	25.89
-4.59	-0.12	-0.07	-0.75	-0.78	0.66	0.7	0.0	-0.02	-1.86	0.63	-0.03	-3.16	0.41	0.0	1593532949.6994772	26.45
-4.29	-0.12	-0.07	-0.75	-0.78	0.65	0.7	0.0	-0.08	-1.82	0.52	-0.35	-3.27	0.34	0.0	1593532949.735261	25.35
-4.46	-0.13	-0.07	-0.75	-0.78	0.65	0.69	0.0	-0.29	-1.94	0.55	-0.49	-3.34	0.67	0.0	1593532949.764036	27.05
