aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
-4.66	-0.12	-0.06	-0.75	-0.78	0.66	0.7	0.0	-0.15	-1.98	0.55	-0.2	-3.28	0.18	0.0	1593533606.6203434	0.0
-4.67	-0.12	-0.06	-0.75	-0.78	0.65	0.7	0.0	0.02	-2.18	0.61	0.08	-3.08	0.43	0.0	1593533606.6545827	0.0
-4.64	-0.12	-0.06	-0.74	-0.78	0.66	0.69	0.0	-0.11	-1.94	0.32	0.03	-3.16	0.46	0.0	1593533606.6886964	0.0
-4.61	-0.12	-0.06	-0.75	-0.78	0.65	0.69	0.0	-0.05	-2.2	0.5	0.15	-3.24	0.29	0.0	1593533606.717428	0.0
-4.56	-0.12	-0.06	-0.75	-0.78	0.65	0.7	0.0	-0.27	-2.14	0.56	0.09	-3.19	0.49	0.0	1593533606.7476468	0.0
-4.62	-0.12	-0.06	-0.75	-0.78	0.65	0.69	0.0	-0.06	-1.94	0.53	0.05	-3.18	0.32	0.0	1593533606.7784626	0.0
-4.65	-0.12	-0.06	-0.74	-0.78	0.65	0.69	0.0	-0.18	-2.14	0.41	0.09	-3.1	0.4	0.0	1593533606.8101864	0.0
-4.63	-0.12	-0.06	-0.75	-0.78	0.66	0.7	0.0	-0.06	-2.0	0.32	0.24	-3.27	-0.02	0.0	1593533606.840383	0.0
-4.55	-0.12	-0.07	-0.74	-0.78	0.65	0.69	0.0	-0.2	-2.02	0.66	0.14	-3.42	0.4	0.0	1593533606.8706949	0.0
-4.74	-0.12	-0.06	-0.75	-0.78	0.65	0.69	0.0	-0.21	-2.15	0.43	0.32	-3.27	0.18	0.0	1593533606.9015956	0.0
-4.54	-0.12	-0.07	-0.74	-0.78	0.65	0.7	0.0	-0.09	-2.2	0.69	0.11	-3.21	0.15	0.0	1593533606.9325361	0.0
-4.73	-0.13	-0.06	-0.75	-0.78	0.65	0.69	0.0	-0.14	-1.98	0.49	0.06	-3.3	0.27	0.0	1593533606.965456	0.0
-4.6	-0.12	-0.07	-0.74	-0.78	0.65	0.7	0.0	-0.24	-2.06	0.63	-0.08	-3.3	0.29	0.0	1593533606.9939806	0.0
-4.58	-0.12	-0.06	-0.75	-0.79	0.66	0.69	0.0	-0.17	-2.0	0.53	-0.11	-3.28	0.38	0.0	1593533607.0244823	0.0
-4.69	-0.12	-0.06	-0.75	-0.78	0.64	0.7	0.0	-0.4	-2.11	0.46	0.09	-3.28	0.26	0.0	1593533607.0566862	0.0
-4.78	-0.12	-0.07	-0.75	-0.78	0.65	0.7	0.0	-0.2	-2.09	0.38	-0.14	-3.19	0.17	0.0	1593533607.0918207	0.0
-4.85	-0.12	-0.06	-0.75	-0.78	0.66	0.69	0.0	-0.03	-2.14	0.44	0.14	-3.07	0.23	0.0	1593533607.1225567	0.0
-4.53	-0.12	-0.07	-0.75	-0.78	0.65	0.69	0.0	-0.27	-2.03	0.24	0.05	-3.3	0.17	0.0	1593533607.1531792	0.0
-4.7	-0.12	-0.06	-0.74	-0.78	0.65	0.69	0.0	-0.11	-2.15	0.58	0.11	-3.3	0.31	0.0	1593533607.1832538	0.0
-4.52	-0.12	-0.07	-0.75	-0.79	0.65	0.68	0.0	-0.14	-2.03	0.46	0.11	-3.27	0.24	0.0	1593533607.214067	0.0
-4.73	-0.12	-0.06	-0.75	-0.78	0.66	0.69	0.0	-0.38	-2.17	0.49	-0.12	-3.44	0.14	0.0	1593533607.2441995	0.0
-4.68	-0.12	-0.06	-0.75	-0.78	0.66	0.69	0.0	-0.24	-2.08	0.43	-0.06	-3.22	0.46	0.0	1593533607.2748916	0.0
-4.49	-0.12	-0.06	-0.75	-0.79	0.65	0.69	0.0	-0.21	-2.09	0.4	0.18	-3.21	0.05	0.0	1593533607.305632	0.0
-4.63	-0.12	-0.06	-0.75	-0.78	0.65	0.7	0.0	-0.18	-2.06	0.43	0.0	-3.25	0.53	0.0	1593533607.3365586	0.0
-4.71	-0.12	-0.06	-0.74	-0.78	0.65	0.7	0.0	0.06	-2.17	0.37	-0.05	-3.08	0.29	0.0	1593533607.367782	0.0
-4.7	-0.12	-0.07	-0.75	-0.78	0.66	0.69	0.0	-0.23	-2.02	0.52	0.2	-3.11	0.34	0.0	1593533607.3970203	0.0
-4.91	-0.13	-0.06	-0.75	-0.79	0.65	0.69	0.0	-0.17	-2.0	0.4	0.32	-3.31	0.37	0.0	1593533607.4291658	0.0
-5.01	-0.12	-0.06	-0.75	-0.79	0.65	0.7	0.0	-0.26	-1.94	0.78	0.06	-3.24	0.17	0.0	1593533607.4590104	0.0
-5.05	-0.12	-0.06	-0.75	-0.78	0.65	0.7	0.0	-0.23	-1.98	0.47	-0.02	-3.37	-0.06	0.0	1593533607.499212	0.0
-5.03	-0.12	-0.06	-0.75	-0.78	0.65	0.69	0.0	-0.21	-1.94	0.47	0.24	-3.25	0.27	0.0	1593533607.5297365	0.0
-4.68	-0.12	-0.07	-0.74	-0.78	0.65	0.7	0.0	-0.05	-1.92	0.21	0.0	-3.08	0.06	0.0	1593533607.560706	0.0
-4.64	-0.12	-0.06	-0.75	-0.78	0.66	0.69	0.0	-0.26	-2.05	0.66	0.02	-3.08	0.24	0.0	1593533607.5916066	0.0
-4.68	-0.12	-0.06	-0.75	-0.78	0.65	0.69	0.0	-0.23	-2.11	0.52	0.05	-3.27	0.32	0.0	1593533607.6224742	0.0
-4.89	-0.12	-0.06	-0.75	-0.78	0.66	0.7	0.0	-0.27	-2.06	0.58	0.15	-3.25	0.32	0.0	1593533607.6539807	0.0
-4.93	-0.12	-0.06	-0.74	-0.78	0.66	0.7	0.0	-0.27	-2.09	0.58	0.15	-3.02	0.26	0.0	1593533607.6873987	0.0
-4.82	-0.12	-0.06	-0.74	-0.78	0.65	0.69	0.0	-0.03	-2.06	0.72	0.17	-3.27	0.44	0.0	1593533607.7183735	0.0
-4.75	-0.12	-0.06	-0.76	-0.78	0.66	0.69	0.0	-0.11	-2.08	0.41	0.15	-3.42	0.37	0.0	1593533607.7492511	0.0
-4.86	-0.12	-0.05	-0.74	-0.78	0.66	0.7	0.0	-0.09	-2.05	0.32	0.08	-3.34	0.2	0.0	1593533607.780105	0.0
-4.85	-0.13	-0.06	-0.75	-0.78	0.66	0.69	0.0	0.0	-2.06	0.6	0.15	-3.31	0.32	0.0	1593533607.8098574	0.0
-4.73	-0.12	-0.07	-0.75	-0.78	0.65	0.7	0.0	-0.27	-2.0	0.37	0.03	-3.28	0.23	0.0	1593533607.8413432	0.0
-4.58	-0.12	-0.07	-0.75	-0.78	0.65	0.7	0.0	-0.32	-2.12	0.6	0.05	-3.4	0.08	0.0	1593533607.8715289	0.0
-4.61	-0.12	-0.07	-0.75	-0.78	0.66	0.69	0.0	-0.09	-2.06	0.38	-0.14	-3.34	0.32	0.0	1593533607.9098117	0.0
-4.56	-0.12	-0.06	-0.75	-0.78	0.65	0.69	0.0	-0.26	-1.94	0.34	-0.06	-3.05	0.27	0.0	1593533607.938535	0.0
-4.71	-0.12	-0.05	-0.75	-0.78	0.65	0.69	0.0	-0.05	-2.14	0.41	0.08	-3.11	0.11	0.0	1593533607.969111	0.0
-4.63	-0.12	-0.07	-0.75	-0.78	0.66	0.7	0.0	-0.12	-2.06	0.46	0.09	-3.25	0.34	0.0	1593533607.9997473	0.0
