aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
-4.51	-0.12	-0.06	-0.75	-0.78	0.66	0.69	0.0	-0.4	-2.06	0.56	-0.14	-3.11	0.05	0.0	1593533221.0376441	0.0
-4.56	-0.12	-0.07	-0.75	-0.78	0.65	0.69	0.0	-0.21	-1.94	0.38	-0.21	-3.15	0.15	0.0	1593533221.0684724	0.0
-4.73	-0.13	-0.06	-0.75	-0.79	0.65	0.7	0.0	-0.12	-2.03	0.61	-0.02	-3.28	0.12	0.0	1593533221.1002731	0.0
-4.61	-0.12	-0.06	-0.75	-0.78	0.66	0.69	0.0	0.06	-2.0	0.41	-0.06	-3.27	0.29	0.0	1593533221.1295888	0.0
-4.73	-0.13	-0.06	-0.75	-0.79	0.66	0.69	0.0	-0.03	-1.88	0.37	-0.05	-3.27	0.37	0.0	1593533221.161173	0.0
-4.51	-0.12	-0.07	-0.75	-0.79	0.66	0.68	0.0	-0.18	-2.27	0.49	0.08	-3.13	0.24	0.0	1593533221.191565	0.0
-4.57	-0.12	-0.06	-0.75	-0.78	0.66	0.69	0.0	-0.09	-1.94	0.35	0.18	-3.27	0.18	0.0	1593533221.2212787	0.0
-4.52	-0.12	-0.07	-0.75	-0.78	0.65	0.69	0.0	-0.15	-1.98	0.55	0.23	-3.13	0.49	0.0	1593533221.2523317	0.0
-4.46	-0.13	-0.06	-0.75	-0.78	0.65	0.69	0.0	-0.14	-2.15	0.41	0.06	-3.24	0.38	0.0	1593533221.286527	0.0
-4.71	-0.13	-0.06	-0.74	-0.78	0.66	0.69	0.0	-0.14	-1.92	0.52	0.0	-3.36	0.26	0.0	1593533221.3175232	0.0
-4.92	-0.13	-0.06	-0.75	-0.78	0.65	0.7	0.0	-0.06	-1.97	0.47	0.05	-3.04	0.24	0.0	1593533221.348646	0.0
-4.78	-0.12	-0.07	-0.75	-0.78	0.65	0.7	0.0	-0.21	-1.97	0.61	0.31	-3.1	0.21	0.0	1593533221.3792627	0.0
-4.43	-0.12	-0.07	-0.75	-0.78	0.66	0.7	0.0	-0.26	-2.14	0.47	0.15	-3.1	0.23	0.0	1593533221.4098094	0.0
-4.44	-0.12	-0.07	-0.74	-0.79	0.65	0.69	0.0	-0.26	-2.11	0.49	-0.06	-3.24	0.23	0.0	1593533221.4412446	0.0
-4.47	-0.12	-0.06	-0.75	-0.78	0.66	0.69	0.0	-0.12	-2.11	0.34	-0.09	-3.28	0.29	0.0	1593533221.4789994	0.0
-4.36	-0.11	-0.07	-0.74	-0.78	0.65	0.69	0.0	-0.29	-2.11	0.61	-0.08	-3.39	0.27	0.0	1593533221.510504	0.0
-4.1	-0.12	-0.07	-0.74	-0.79	0.65	0.69	0.0	-0.26	-2.08	0.41	0.0	-3.18	0.44	0.0	1593533221.5411706	0.0
-4.34	-0.12	-0.07	-0.75	-0.78	0.65	0.69	0.0	-0.11	-2.05	0.67	0.23	-3.31	0.26	0.0	1593533221.5701306	0.0
-4.52	-0.13	-0.07	-0.75	-0.78	0.65	0.69	0.0	-0.21	-2.05	0.41	0.09	-3.37	0.43	0.0	1593533221.6011915	0.0
-4.68	-0.13	-0.06	-0.75	-0.78	0.66	0.7	0.0	-0.11	-2.24	0.41	0.18	-3.31	0.49	0.0	1593533221.6335037	0.0
-4.88	-0.12	-0.07	-0.75	-0.78	0.66	0.69	0.0	-0.11	-2.12	0.5	0.09	-3.39	0.03	0.0	1593533221.6680944	0.0
-4.79	-0.12	-0.06	-0.75	-0.78	0.65	0.69	0.0	-0.24	-1.89	0.53	0.05	-3.18	0.23	0.0	1593533221.698651	0.0
-4.86	-0.12	-0.06	-0.74	-0.78	0.66	0.69	0.0	-0.09	-1.8	0.55	0.03	-3.3	0.26	0.0	1593533221.7294202	0.0
-4.84	-0.13	-0.06	-0.75	-0.78	0.65	0.69	0.0	0.05	-2.06	0.49	0.24	-3.22	0.34	0.0	1593533221.760014	0.0
-4.92	-0.13	-0.06	-0.75	-0.79	0.66	0.7	0.0	-0.23	-2.09	0.29	-0.06	-3.21	0.24	0.0	1593533221.7924268	0.0
-4.69	-0.12	-0.06	-0.75	-0.78	0.65	0.69	0.0	-0.31	-2.23	0.44	0.03	-3.19	0.29	0.0	1593533221.8212657	0.0
-4.68	-0.12	-0.06	-0.75	-0.78	0.66	0.69	0.0	0.15	-2.12	0.4	0.09	-3.18	0.17	0.0	1593533221.8520858	0.0
-4.62	-0.12	-0.06	-0.75	-0.78	0.65	0.7	0.0	-0.26	-2.11	0.52	0.15	-3.18	0.41	0.0	1593533221.885078	0.0
-4.55	-0.12	-0.07	-0.75	-0.79	0.65	0.7	0.0	-0.23	-2.14	0.52	0.27	-3.24	0.31	0.0	1593533221.9155655	0.0
