aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-4.5	-0.6	5.6	-5.6	-7.8	12.7									294.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452137.696707	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	599	583			nan
-4.5	-0.4	5.7	-5.7	-8.0	12.9									294.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452137.8015144	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	599	582			nan
-4.5	-0.4	5.7	-5.7	-8.0	12.9									294.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452137.9060209	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	599	582			nan
-4.5	-0.4	5.7	-5.7	-8.0	12.9									294.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452138.0102253	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	599	582			nan
-4.5	-0.4	5.7	-5.7	-8.0	12.9									294.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452138.1148822	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	599	582			nan
-4.5	-0.4	5.6	-5.6	-7.7	12.7									294.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452138.21983	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	599	583			nan
-4.5	-0.4	5.6	-5.6	-7.7	12.7									294.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452138.3241715	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	599	583			nan
-4.5	-0.6	5.6	-5.6	-7.7	12.6									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452138.42858	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	582			nan
-4.5	-0.6	5.6	-5.6	-7.7	12.6									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452138.5328221	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	582			nan
-4.5	-0.6	5.6	-5.6	-7.7	12.6									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452138.636979	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	582			nan
-4.5	-0.6	5.6	-5.6	-7.7	12.6									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452138.741598	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	582			nan
-4.5	-0.5	5.5	-5.5	-7.7	12.7									294.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452138.8465173	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	599	582			nan
-4.5	-0.5	5.5	-5.5	-7.7	12.7									294.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452138.9513407	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	599	582			nan
-4.6	-0.5	5.7	-5.7	-8.0	12.8									294.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452139.0560484	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	599	583			nan
-4.6	-0.5	5.7	-5.7	-8.0	12.8									294.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452139.16056	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	599	583			nan
-4.5	-0.4	5.4	-5.4	-7.5	12.4									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452139.2652934	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	582			nan
-4.5	-0.4	5.4	-5.4	-7.5	12.4									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452139.3694863	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	582			nan
-4.5	-0.4	5.4	-5.4	-7.5	12.4									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452139.4737523	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	582			nan
-4.5	-0.4	5.4	-5.4	-7.5	12.4									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452139.5780687	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	582			nan
-4.5	-0.6	5.4	-5.4	-7.5	12.9									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452139.6835172	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	582			nan
-4.5	-0.6	5.4	-5.4	-7.5	12.9									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452139.7880661	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	582			nan
-4.4	-0.6	5.4	-5.4	-7.7	12.5									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452139.8943024	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	583			nan
-4.4	-0.6	5.4	-5.4	-7.7	12.5									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452139.998872	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	583			nan
-4.4	-0.5	5.6	-5.6	-7.7	12.9									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452140.1033688	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	582			nan
-4.4	-0.5	5.6	-5.6	-7.7	12.9									295.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452140.208048	0.0	0.0	0.0	0.0	0.0	0.0	728	663	594	694	622	552			nan	551	510	477	632	598	582			nan
