aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-2.1	-1.4	11.0	-11.0	-14.5	12.4									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451549.959277	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	455			nan
-2.2	-1.5	11.1	-11.1	-14.7	12.8									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451550.0640328	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	456			nan
-2.2	-1.5	11.1	-11.1	-14.7	12.8									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451550.1690319	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	456			nan
-2.2	-1.5	11.1	-11.1	-14.7	12.8									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451550.2733262	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	456			nan
-2.2	-1.5	11.1	-11.1	-14.7	12.8									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451550.377641	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	456			nan
-2.2	-1.5	11.1	-11.1	-14.7	12.8									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451550.4819784	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	456			nan
-2.1	-1.7	10.7	-10.7	-14.5	12.5									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451550.5865917	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	456			nan
-2.1	-1.7	10.7	-10.7	-14.5	12.5									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451550.691543	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	456			nan
-1.9	-1.6	10.9	-10.9	-14.8	12.7									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451550.7957764	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	455			nan
-1.9	-1.6	10.9	-10.9	-14.8	12.7									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451550.8999782	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	455			nan
-1.9	-1.6	10.9	-10.9	-14.8	12.7									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451551.004444	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	455			nan
-1.9	-1.6	10.9	-10.9	-14.8	12.7									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451551.108877	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	455			nan
-2.0	-2.1	10.8	-10.8	-14.8	12.7									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451551.2133262	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	455			nan
-2.0	-2.1	10.8	-10.8	-14.8	12.7									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451551.3176157	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	455			nan
-2.3	-1.4	11.1	-11.1	-14.5	12.5									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451551.4220462	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	455			nan
-2.3	-1.4	11.1	-11.1	-14.5	12.5									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451551.526552	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	455			nan
-2.0	-1.7	10.6	-10.6	-14.5	12.5									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451551.6309712	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	456			nan
-2.0	-1.7	10.6	-10.6	-14.5	12.5									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451551.7355945	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	456			nan
-2.0	-1.7	10.6	-10.6	-14.5	12.5									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451551.8398447	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	456			nan
-2.0	-1.7	10.6	-10.6	-14.5	12.5									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451551.944653	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	456			nan
-1.7	-2.4	10.5	-10.5	-14.6	12.5									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451552.0489604	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	456			nan
-1.7	-2.4	10.5	-10.5	-14.6	12.5									2.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451552.153328	0.0	0.0	0.0	0.0	0.0	0.0	686	698	700	595	599	594			nan	609	532	457	605	527	456			nan
