aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-1.1	-2.6	12.3	-12.3	-13.3	14.4									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451963.487338	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	522	445	594	516	444			nan
-1.1	-2.5	12.3	-12.3	-13.1	14.3									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451963.592084	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	522	445	594	516	444			nan
-1.1	-2.5	12.3	-12.3	-13.1	14.3									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451963.6968412	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	522	445	594	516	444			nan
-1.1	-2.4	12.2	-12.2	-13.1	14.2									2.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451963.8012671	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	521	445	594	516	444			nan
-1.1	-2.4	12.2	-12.2	-13.1	14.2									2.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451963.905904	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	521	445	594	516	444			nan
-1.1	-2.4	12.2	-12.2	-13.1	14.2									2.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451964.0102432	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	521	445	594	516	444			nan
-1.1	-2.4	12.2	-12.2	-13.1	14.2									2.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451964.1149282	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	521	445	594	516	444			nan
-1.2	-2.6	12.2	-12.2	-13.2	14.3									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451964.2194865	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	522	445	594	516	444			nan
-1.2	-2.6	12.2	-12.2	-13.2	14.3									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451964.3238633	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	522	445	594	516	444			nan
-1.1	-2.5	12.4	-12.4	-13.4	14.5									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451964.428266	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	522	445	594	516	444			nan
-1.1	-2.5	12.4	-12.4	-13.4	14.5									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451964.5325716	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	522	445	594	516	444			nan
-1.1	-2.5	12.4	-12.4	-13.4	14.5									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451964.63681	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	522	445	594	516	444			nan
-1.1	-2.5	12.4	-12.4	-13.4	14.5									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451964.741176	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	522	445	594	516	444			nan
-0.9	-2.5	12.2	-12.2	-13.3	14.3									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451964.8456693	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	522	445	594	516	444			nan
-0.9	-2.5	12.2	-12.2	-13.3	14.3									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451964.9502726	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	522	445	594	516	444			nan
-0.9	-2.5	12.2	-12.2	-13.3	14.3									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451965.055706	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	522	445	594	516	444			nan
-0.9	-2.5	12.2	-12.2	-13.3	14.3									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451965.1601105	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	598	522	445	594	516	444			nan
-1.1	-2.6	12.1	-12.1	-13.1	14.1									3.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596451965.264508	0.0	0.0	0.0	0.0	0.0	0.0	630	640	639	533	539	534			nan	597	522	445	594	516	444			nan
