aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
2.1	1.0	20.6	-20.6	-16.6	21.3									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452881.949452	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.0	20.6	-20.6	-16.6	21.3									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452882.0538116	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.0	20.6	-20.6	-16.6	21.3									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452882.159243	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.0	20.6	-20.6	-16.6	21.3									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452882.2638319	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.2	21.2	-21.2	-17.0	21.8									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452882.367959	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.2	21.2	-21.2	-17.0	21.8									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452882.4726765	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.3	1.0	20.9	-20.9	-17.1	21.5									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452882.5775583	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.3	1.0	20.9	-20.9	-17.1	21.5									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452882.6820574	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.3	1.0	20.9	-20.9	-17.1	21.5									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452882.7864628	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.3	1.0	20.9	-20.9	-17.1	21.5									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452882.890623	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.0	21.1	-21.1	-17.0	21.9									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452882.994844	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.0	21.1	-21.1	-17.0	21.9									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452883.099551	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.0	21.1	-21.1	-17.0	21.9									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452883.2039413	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.0	21.1	-21.1	-17.0	21.9									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452883.3085723	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.2	1.0	20.9	-20.9	-16.5	21.5									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452883.4130437	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.2	1.0	20.9	-20.9	-16.5	21.5									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452883.5174878	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.2	1.0	20.9	-20.9	-16.5	21.5									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452883.6216252	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.2	1.0	20.9	-20.9	-16.5	21.5									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452883.7259765	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.2	1.2	20.7	-20.7	-16.4	21.2									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452883.8306	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.2	1.2	20.7	-20.7	-16.4	21.2									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452883.93524	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.3	1.0	20.6	-20.6	-16.6	21.1									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452884.0396316	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.3	1.0	20.6	-20.6	-16.6	21.1									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452884.144097	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.1	20.9	-20.9	-16.5	21.3									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452884.2484963	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.1	20.9	-20.9	-16.5	21.3									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452884.3537354	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.1	20.9	-20.9	-16.5	21.3									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452884.4581394	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.1	20.9	-20.9	-16.5	21.3									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452884.563178	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.2	21.1	-21.1	-16.8	21.5									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452884.66812	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.2	21.1	-21.1	-16.8	21.5									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452884.7726665	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.2	21.1	-21.1	-16.8	21.5									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452884.8768554	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.1	1.2	21.1	-21.1	-16.8	21.5									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452884.9813783	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
1.9	1.1	21.3	-21.3	-17.5	21.9									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452885.0853949	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
1.9	1.1	21.3	-21.3	-17.5	21.9									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452885.1898386	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.2	1.2	20.9	-20.9	-17.0	21.4									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452885.294241	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.2	1.2	20.9	-20.9	-17.0	21.4									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452885.3987675	0.0	0.0	0.0	0.0	0.0	0.0	382	375	358	276	272	257			nan	742	666	591	754	676	605			nan
2.2	1.3	21.3	-21.3	-17.5	21.7									354.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596452885.50338	0.0	0.0	0.0	0.0	0.0	0.0	383	375	358	276	272	257			nan	742	666	591	754	676	605			nan
