aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
3.3	8.5	-8.7	8.7	17.1	-4.8			0.5	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.292605	25.0	29.93	25.0	25.0	25.0	28.07	25.0	25.0	142	151	134	35	29	27			190	283	378	191	284	379		
3.3	8.5	-8.7	8.7	17.1	-4.8			0.5	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.325661	25.0	29.92	25.0	25.0	25.0	28.06	25.0	25.0	142	151	134	35	29	27			190	283	378	191	284	379		
3.1	8.6	-8.5	8.5	17.2	-4.9			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.357533	25.0	29.79	25.0	25.0	25.0	28.05	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.1	8.6	-8.5	8.5	17.2	-4.9			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.387679	25.0	29.76	25.0	25.0	25.0	28.03	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.2	8.6	-8.2	8.2	16.8	-4.3			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.422176	25.0	29.6	25.0	25.0	25.0	28.01	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.2	8.6	-8.2	8.2	16.8	-4.3			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.452491	25.0	29.71	25.0	25.0	25.0	28.0	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.1	8.6	-8.6	8.6	17.1	-4.9			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.483146	25.0	29.7	25.0	25.0	25.0	27.98	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.1	8.6	-8.6	8.6	17.1	-4.9			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.51402	25.0	29.68	25.0	25.0	25.0	27.97	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.1	8.6	-8.6	8.6	17.1	-4.9			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.545262	25.0	29.67	25.0	25.0	25.0	27.95	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.3	8.6	-8.5	8.5	17.2	-4.9			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.576578	25.0	29.65	25.0	25.0	25.0	27.94	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.3	8.6	-8.5	8.5	17.2	-4.9			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.614573	25.0	29.63	25.0	25.0	25.0	27.92	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.0	8.6	-8.4	8.4	17.2	-4.8			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.649385	25.0	29.61	25.0	25.0	25.0	27.9	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.1	8.6	-8.6	8.6	17.2	-4.8			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.690547	25.0	29.44	25.0	25.0	25.0	27.88	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.3	8.5	-8.3	8.3	16.7	-4.3			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.721125	25.0	29.51	25.0	25.0	25.0	27.86	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.3	8.5	-8.3	8.3	16.7	-4.3			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.751763	25.0	29.54	25.0	25.0	25.0	27.85	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.3	8.5	-8.3	8.3	16.7	-4.3			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.784012	25.0	29.52	25.0	25.0	25.0	27.83	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
3.2	8.5	-8.6	8.6	16.9	-4.6			0.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.814511	25.0	29.47	25.0	25.0	25.0	27.82	25.0	25.0	142	151	134	35	29	27			190	283	378	191	284	379		
3.2	8.6	-8.5	8.5	17.2	-4.9			0.39999999999997726	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859597.849774	25.0	29.48	25.0	25.0	25.0	27.8	25.0	25.0	142	151	134	35	29	27			190	283	378	191	283	379		
