aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
				4.6	1.7				0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688552.7759275	25.0	25.0	25.0	25.0	25.0	29.73	25.1	671		678	601	618	611			295	452		339	448	392	334			334
				4.6	1.7				0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688552.8868704	25.0	25.0	25.0	25.0	25.0	29.54	25.03	671		678	601	618	611			295	452		339	448	392	334			334
				4.1	2.4				0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688552.9917858	25.0	25.0	25.0	25.0	25.0	29.58	25.0	671			601	619	611			295	452			448	392	334			334
				4.1	2.4				0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688553.099292	25.0	25.0	25.0	25.0	25.0	29.57	25.0	671			601	619	611			295	452			448	392	334			334
-5.8	4.2	8.7	-8.7	4.6	1.4			3.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688553.2066941	25.0	25.0	25.0	25.0	25.0	29.74	25.0	671	676	678	601	619	611				452	396	339	448	392	334			
-5.8	4.2	8.7	-8.7	4.6	1.4			3.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688553.3144045	25.0	25.0	25.0	25.0	25.0	29.45	25.0	671	676	678	601	619	611				452	396	339	448	392	334			
-5.8	4.2	9.0	-9.0	4.4	1.9			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688553.4200306	25.0	25.0	25.0	25.0	25.0	29.27	25.0	671	676	678	601	619	611			295	452	396	339	448	392	334			334
-5.8	4.2	9.0	-9.0	4.4	1.9			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688553.5258303	25.0	25.0	25.0	25.0	25.0	29.59	25.0	671	676	678	601	619	611			295	452	396	339	448	392	334			334
-5.7		9.1	-9.1	4.2	2.3			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688553.63326	25.0	25.0	25.0	25.0	25.0	29.32	25.0	671	676		601	619	611			295	452	396		448	392	334			334
-5.7		9.1	-9.1	4.2	2.3			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688553.7396295	25.0	25.0	25.0	25.0	25.0	29.15	25.0	671	676		601	619	611			295	452	396		448	392	334			334
-5.6	4.2	9.0	-9.0	4.3	2.2			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688553.8467646	25.0	25.0	25.0	25.0	25.0	29.35	25.0	671	676	678	601	619	611			295	452	396	339	448	392	334			334
-5.6	4.2	9.0	-9.0	4.3	2.2			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688553.9531996	25.0	25.0	25.0	25.0	25.0	29.38	25.0	671	676	678	601	619	611			295	452	396	339	448	392	334			334
-5.8		9.1	-9.1	4.2	2.0			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688554.0591323	25.0	25.0	25.0	25.0	25.0	29.25	25.0	671	676		601	619	611			295	452	396		448	392	334			334
-5.8		9.1	-9.1	4.2	2.0			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688554.1651309	25.0	25.0	25.0	25.0	25.0	29.35	25.0	671	676		601	619	611			295	452	396		448	392	334			334
-5.7	4.1	9.2	-9.2	4.0	2.4			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688554.2713642	25.0	25.0	25.0	25.0	25.0	28.99	25.0	671	676	678	601	619	611			295	452	396	339	448	392	334			334
-5.7	4.1	9.2	-9.2	4.0	2.4			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688554.3776622	25.0	25.0	25.0	25.0	25.0	29.27	25.0	671	676	678	601	619	611			295	452	396	339	448	392	334			334
				4.4	2.1				0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688554.4828196	25.0	25.0	25.0	25.0	25.0	29.07	25.0	671		678	601	619	611			295	452		339	448	392	334			334
				4.4	2.1				0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688554.5893621	25.0	25.0	25.0	25.0	25.0	29.01	25.0	671		678	601	619	611			295	452		339	448	392	334			334
-5.6	4.2	9.1	-9.1	4.3	2.3			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688554.695097	25.0	25.0	25.0	25.0	25.0	29.12	25.0	671	676	678	601	619	611			295	452	396	339	448	392	334			334
-5.6	4.2	9.1	-9.1	4.3	2.3			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688554.800675	25.0	25.0	25.0	25.0	25.0	28.99	25.0	671	676	678	601	619	611			295	452	396	339	448	392	334			334
-5.6	4.2	9.0	-9.0	4.3	2.1			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688554.9096324	25.0	25.0	25.0	25.0	25.0	29.05	25.0	671	676	678	601	619	611			295	452	396	339	448	392	334			334
-5.6	4.2	9.0	-9.0	4.3	2.1			3.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567688555.016227	25.0	25.0	25.0	25.0	25.0	28.72	25.0	671	676	678	601	619	611			295	452	396	339	448	392	334			334
