aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
3.3	6.0	9.5	-9.5	10.7	5.5			356.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568884721.321007	25.0	25.0	25.0	25.0	25.0	25.18	28.65	930	909	895	768	781	772			nan	597	493	387	608	501	395			nan
3.3	6.0	9.5	-9.5	10.7	5.5			356.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568884721.4305277	25.0	25.0	25.0	25.0	25.0	25.14	28.59	930	909	895	768	781	772			nan	597	493	387	608	501	395			nan
3.0	6.1	9.6	-9.6	10.8	5.5			356.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568884721.538276	25.0	25.0	25.0	25.0	25.0	25.1	28.43	930	909	895	768	781	772			nan	597	493	387	608	501	395			nan
3.0	6.1	9.6	-9.6	10.8	5.5			356.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568884721.6441958	25.0	25.0	25.0	25.0	25.0	25.05	28.45	930	909	895	768	781	772			nan	597	493	387	608	501	395			nan
3.0	6.1	9.6	-9.6	10.8	5.5			356.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568884721.749773	25.0	25.0	25.0	25.0	25.0	25.02	28.39	930	909	895	768	781	772			nan	597	493	387	608	501	395			nan
3.0	6.1	9.6	-9.6	10.8	5.5			356.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568884721.8619418	25.0	25.0	25.0	25.0	25.0	25.0	28.32	930	909	895	768	781	772			nan	597	493	387	608	501	395			nan
3.0	6.1	9.6	-9.6	10.8	5.5			356.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568884721.968929	25.0	25.0	25.0	25.0	25.0	25.0	28.25	930	909	895	768	781	772			nan	597	493	387	608	501	395			nan
3.0	6.1	9.6	-9.6	10.8	5.5			356.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568884722.0921166	25.0	25.0	25.0	25.0	25.0	25.0	28.18	930	909	895	768	781	772			nan	597	493	387	608	501	395			nan
3.3	6.0	9.5	-9.5	10.9	5.4			356.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568884722.2004225	25.0	25.0	25.0	25.0	25.0	25.0	28.11	930	909	895	768	781	772			nan	597	493	387	608	501	395			nan
3.3	6.0	9.5	-9.5	10.9	5.4			356.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568884722.3078563	25.0	25.0	25.0	25.0	25.0	25.0	28.05	930	909	895	768	781	772			nan	597	493	387	608	501	395			nan
