aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
5.8	4.1	7.0	-7.0	9.6	4.9									326.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590414931.0490336	0.0	0.0	0.0	0.0	0.0	0.0	887	826	757	755	715	654			nan	528	444	358	614	517	429			nan
5.8	4.1	7.0	-7.0	9.6	4.9									326.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590414931.1534314	0.0	0.0	0.0	0.0	0.0	0.0	887	826	757	755	715	654			nan	528	444	358	614	517	429			nan
5.7	3.9	7.0	-7.0	9.6	5.1									326.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590414931.2576227	0.0	0.0	0.0	0.0	0.0	0.0	887	826	757	755	715	654			nan	528	444	358	614	517	429			nan
5.7	3.9	7.0	-7.0	9.6	5.1									326.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590414931.362096	0.0	0.0	0.0	0.0	0.0	0.0	887	826	757	755	715	654			nan	528	444	358	614	517	429			nan
6.0	4.0	7.0	-7.0	9.7	5.2									326.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590414931.466369	0.0	0.0	0.0	0.0	0.0	0.0	887	826	757	755	715	654			nan	528	444	358	614	517	429			nan
6.0	4.0	7.0	-7.0	9.7	5.2									326.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590414931.5708055	0.0	0.0	0.0	0.0	0.0	0.0	887	826	757	755	715	654			nan	528	444	358	614	517	429			nan
6.1	3.8	6.8	-6.8	9.4	5.2									326.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590414931.6752977	0.0	0.0	0.0	0.0	0.0	0.0	887	826	757	755	715	654			nan	528	444	358	614	517	429			nan
6.1	3.8	6.8	-6.8	9.4	5.2									326.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590414931.7815201	0.0	0.0	0.0	0.0	0.0	0.0	887	826	757	755	715	654			nan	528	444	358	614	517	429			nan
6.1	3.8	6.8	-6.8	9.4	5.2									326.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590414931.9019785	0.0	0.0	0.0	0.0	0.0	0.0	887	826	757	755	715	654			nan	528	444	358	614	517	429			nan
6.1	3.8	6.8	-6.8	9.4	5.2									326.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590414932.0062559	0.0	0.0	0.0	0.0	0.0	0.0	887	826	757	755	715	654			nan	528	444	358	614	517	429			nan
