aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	vec	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
6.7	-7.9	-8.4	8.4	4.8	0.6									279.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590670123.4762113	0.0	0.0	0.0	0.0	0.0	0.0	[nan, nan, nan, nan]	901	831	754	887	815	741			nan	489	466	456	583	564	557			nan
6.7	-7.9	-8.4	8.4	4.8	0.6									279.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590670123.580139	0.0	0.0	0.0	0.0	0.0	0.0	[nan, nan, nan, nan]	901	831	754	887	815	741			nan	489	466	456	583	564	557			nan
6.7	-7.9	-8.4	8.4	4.8	0.6									279.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590670123.684498	0.0	0.0	0.0	0.0	0.0	0.0	[nan, nan, nan, nan]	901	831	754	887	815	741			nan	489	466	456	583	564	557			nan
6.7	-7.9	-8.4	8.4	4.8	0.6									279.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590670123.789131	0.0	0.0	0.0	0.0	0.0	0.0	[nan, nan, nan, nan]	901	831	754	887	815	741			nan	489	466	456	583	564	557			nan
6.9	-8.1	-8.6	8.6	4.9	0.4									279.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590670123.893747	0.0	0.0	0.0	0.0	0.0	0.0	[nan, nan, nan, nan]	901	831	754	887	815	741			nan	489	466	456	583	564	557			nan
6.9	-8.1	-8.6	8.6	4.9	0.4									279.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590670123.9979894	0.0	0.0	0.0	0.0	0.0	0.0	[nan, nan, nan, nan]	901	831	754	887	815	741			nan	489	466	456	583	564	557			nan
6.8	-8.0	-8.4	8.4	4.7	0.4									279.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590670124.1024745	0.0	0.0	0.0	0.0	0.0	0.0	[nan, nan, nan, nan]	901	831	754	887	815	741			nan	489	466	456	583	564	558			nan
6.8	-8.0	-8.4	8.4	4.7	0.4									279.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590670124.2070549	0.0	0.0	0.0	0.0	0.0	0.0	[nan, nan, nan, nan]	901	831	754	887	815	741			nan	489	466	456	583	564	558			nan
6.8	-7.8	-8.7	8.7	5.1	0.2									279.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590670124.3114734	0.0	0.0	0.0	0.0	0.0	0.0	[nan, nan, nan, nan]	901	831	754	887	815	741			nan	489	466	456	583	564	558			nan
6.8	-7.8	-8.7	8.7	5.1	0.2									279.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1590670124.4161835	0.0	0.0	0.0	0.0	0.0	0.0	[nan, nan, nan, nan]	901	831	754	887	815	741			nan	489	466	456	583	564	558			nan
