aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-3.1	3.0	2.9	-2.9	5.6	6.3			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909257.2203987	26.04	25.0	25.0	30.69	25.99	30.14	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-2.9	2.7	2.6	-2.6	5.7	6.1			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909257.3301005	25.95	25.0	25.0	30.64	25.74	30.08	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-2.9	2.7	2.6	-2.6	5.7	6.1			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909257.4400218	25.88	25.0	25.0	30.57	25.66	30.02	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-2.9	2.7	2.6	-2.6	5.7	6.1			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909257.553733	25.94	25.0	25.0	30.51	25.58	29.96	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-2.9	2.7	2.6	-2.6	5.7	6.1			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909257.660492	25.7	25.0	25.0	30.46	25.52	29.9	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-3.1	2.8	2.7	-2.7	5.3	6.1			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909257.7660244	25.79	25.0	25.0	30.4	25.44	29.84	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-3.1	2.8	2.7	-2.7	5.3	6.1			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909257.8729792	25.73	25.0	25.0	30.34	25.6	29.79	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-2.9	3.0	2.8	-2.8	5.4	6.1			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909257.978723	25.74	25.0	25.0	30.28	25.32	29.72	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-2.9	3.0	2.8	-2.8	5.4	6.1			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909258.0856206	25.46	25.0	25.0	30.23	25.41	29.71	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-2.6	2.7	2.5	-2.5	5.5	6.2			2.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909258.1937182	25.47	25.0	25.0	30.16	25.19	29.61	25.0	687	692	692	622	634	619			948	464	408	350	461	405	347			205
-2.6	2.7	2.5	-2.5	5.5	6.2			2.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909258.29992	25.26	25.0	25.0	30.25	25.13	29.51	25.0	687	692	692	622	634	619			948	464	408	350	461	405	347			205
-2.9	3.0	2.8	-2.8	5.5	6.4			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909258.408326	25.17	25.0	25.0	30.05	25.05	29.52	25.0	687	692	692	622	634	620			948	464	408	350	461	405	347			205
-2.7	2.9	2.8	-2.8	5.4	6.2			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909258.5151901	25.09	25.0	25.0	30.0	25.0	29.31	25.0	687	692	692	622	634	619			948	464	408	350	461	405	347			205
-2.7	2.9	2.8	-2.8	5.4	6.2			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909258.6224763	25.15	25.0	25.0	29.94	25.0	29.5	25.0	687	692	692	622	634	619			948	464	408	350	461	405	347			205
-3.3	2.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909258.733712	25.0	25.0	25.0	29.88	25.0	29.31	25.0	687	692	692	622		619			948	464	408	350	462		347			205
-3.3	2.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909258.8398862	25.03	25.0	25.0	29.82	25.0	29.26	25.0	687	692	692	622		619			948	464	408	350	462		347			205
-3.0	2.7	2.8	-2.8	5.5	6.3			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909258.9492533	25.0	25.0	25.0	29.77	25.0	29.24	25.0	687	692	692	622	634	620			948	464	408	350	461	405	347			205
-3.0	2.7	2.8	-2.8	5.5	6.3			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909259.055941	25.0	25.0	25.0	29.71	25.0	29.14	25.0	687	692	692	622	634	620			948	464	408	350	461	405	347			205
-2.7	2.6	2.5	-2.5	5.3	6.1			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909259.1716843	25.0	25.0	25.0	29.78	25.0	29.09	25.0	687	692	692	622	634	619				464	408	350	462	405	347			
-2.7	2.6	2.5	-2.5	5.3	6.1			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909259.2776477	25.0	25.0	25.0	29.59	25.0	29.04	25.0	687	692	692	622	634	619				464	408	350	462	405	347			
-2.5	2.7	2.7	-2.7	5.2	6.2			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909259.3849597	25.0	25.0	25.0	29.73	25.0	28.98	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-2.5	2.7	2.7	-2.7	5.2	6.2			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909259.4914346	25.0	25.0	25.0	29.48	25.0	28.91	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-2.8	2.6	2.6	-2.6	5.3	6.4			2.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909259.6000962	25.0	25.0	25.0	29.44	25.0	28.86	25.0	687	692	692	622	634	620			948	464	408	350	462	405	347			205
-2.8	2.6	2.6	-2.6	5.3	6.4			2.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909259.7070963	25.0	25.0	25.0	29.37	25.0	28.8	25.0	687	692	692	622	634	620			948	464	408	350	462	405	347			205
-2.5	2.6	2.6	-2.6	5.5	6.0			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909259.8174825	25.0	25.0	25.0	29.33	25.0	28.75	25.0	687	692	692	622	634	619			948	464	408	350	461	405	347			205
-2.5	2.6	2.6	-2.6	5.5	6.0			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909259.9240272	25.0	25.0	25.0	29.26	25.0	28.68	25.0	687	692	692	622	634	619			948	464	408	350	461	405	347			205
-2.7	2.8	2.7	-2.7	5.5	6.3			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909260.029546	25.0	25.0	25.0	29.2	25.0	28.65	25.0	687	692	692	622	634	620			948	464	408	350	461	405	347			205
-2.7	2.8	2.7	-2.7	5.5	6.3			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909260.1444173	25.0	25.0	25.0	29.16	25.0	28.57	25.0	687	692	692	622	634	620			948	464	408	350	461	405	347			205
-2.7	2.9	2.8	-2.8	5.6	6.4			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909260.250664	25.0	25.0	25.0	29.24	25.0	28.52	25.0	687	692	692	622	634	620			948	464	408	350	462	405	347			205
-2.7	2.9	2.8	-2.8	5.6	6.4			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909260.3616579	25.0	25.0	25.0	29.03	25.0	28.45	25.0	687	692	692	622	634	620			948	464	408	350	462	405	347			205
-3.4	2.8	2.8	-2.8	5.4	6.1			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909260.468209	25.0	25.0	25.0	29.13	25.0	28.4	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-3.4	2.8	2.8	-2.8	5.4	6.1			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909260.5787385	25.0	25.0	25.0	28.93	25.0	28.34	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-2.9	3.0	2.8	-2.8	5.2	6.5			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909260.6866674	25.0	25.0	25.0	28.87	25.0	28.28	25.0	687	692	692	622	634	620			948	464	408	350	462	405	347			205
-2.9	2.8	2.8	-2.8	5.7	6.2			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909260.7937984	25.0	25.0	25.0	28.86	25.0	28.23	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-2.9	2.8	2.8	-2.8	5.7	6.2			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909260.9034731	25.0	25.0	25.0	28.76	25.0	28.17	25.0	687	692	692	622	634	619			948	464	408	350	462	405	347			205
-3.1	2.8	2.8	-2.8	5.4	6.4			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909261.0098498	25.0	25.0	25.0	28.84	25.0	27.99	25.0	687	692	692	622	634	620			948	464	408	350	461	405	347			205
-3.1	2.8	2.8	-2.8	5.4	6.4			2.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1566909261.1169288	25.0	25.0	25.0	28.65	25.0	28.04	25.0	687	692	692	622	634	620			948	464	408	350	461	405	347			205
