aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-8.2	0.4	3.2	-3.2	6.1	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065012.8578718	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.2	0.4	3.2	-3.2	6.1	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065012.9656675	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.1	0.4	3.1	-3.1	6.2	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065013.0714653	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.1	0.4	3.1	-3.1	6.2	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065013.1798432	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.7	0.4	3.2	-3.2	6.1	8.8			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065013.2863824	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	594	603	583			948	486	430	373	489	431	374			205
-8.7	0.4	3.2	-3.2	6.1	8.8			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065013.3939698	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	594	603	583			948	486	430	373	489	431	374			205
-8.4	0.4	3.1	-3.1	6.2	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065013.5015497	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.4	0.4	3.1	-3.1	6.2	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065013.6081557	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.4	0.4	3.2	-3.2	5.9	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065013.7162018	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.4	0.4	3.2	-3.2	5.9	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065013.8226933	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.6	0.2	3.2	-3.2	6.2	8.9			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065013.9301193	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.6	0.2	3.2	-3.2	6.2	8.9			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065014.0368605	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.6	0.2	3.2	-3.2	6.2	8.9			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065014.1435616	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.6	0.2	3.2	-3.2	6.2	8.9			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065014.2503865	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.7	0.3	3.2	-3.2	5.8	9.1			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065014.3605976	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	604	583			948	486	430	373	489	431	374			205
-8.7	0.3	3.2	-3.2	5.8	9.1			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065014.4673316	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	604	583			948	486	430	373	489	431	374			205
-8.2	0.4	3.4	-3.4	5.9	9.1			358.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065014.5816278	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	655	595	603	583			948	486	430	373	489	431	374			205
-8.2	0.4	3.4	-3.4	5.9	9.1			358.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065014.6922154	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	655	595	603	583			948	486	430	373	489	431	374			205
-8.1	0.4	3.2	-3.2	6.2	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065014.8045537	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	655	595	603	583			948	486	430	373	489	431	374			205
-8.1	0.4	3.2	-3.2	6.2	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065014.9205992	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	655	595	603	583			948	486	430	373	489	431	374			205
-8.2	0.2	3.1	-3.1	6.1	8.9			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065015.0305347	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.2	0.2	3.1	-3.1	6.1	8.9			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065015.1405394	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.6	0.4	3.1	-3.1	6.3	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065015.2511039	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.6	0.4	3.1	-3.1	6.3	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065015.360242	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.2	0.3	3.3	-3.3	5.9	9.2			358.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065015.4678771	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.2		3.0	-3.0	6.1	8.9			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065015.5796442	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.2		3.0	-3.0	6.1	8.9			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065015.6874998	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.4	0.3	3.0	-3.0	6.0	8.9			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065015.794663	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	655	594	603	583			948	486	430	373	489	431	374			205
-8.4	0.3	3.0	-3.0	6.0	8.9			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065015.9014091	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	655	594	603	583			948	486	430	373	489	431	374			205
-8.6	0.2	3.1	-3.1	6.1	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065016.009673	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.6	0.2	3.1	-3.1	6.1	9.0			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065016.116989	25.0	25.0	25.0	25.0	25.0	25.0	25.0	660	662	656	595	603	583			948	486	430	373	489	431	374			205
-8.4	0.1	3.0	-3.0	6.2	8.8			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065016.2230327	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	656	594	603	583			948	486	430	373	488	431	374			205
-8.4	0.1	3.0	-3.0	6.2	8.8			358.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567065016.3303854	25.0	25.0	25.0	25.0	25.0	25.0	25.0	659	662	656	594	603	583			948	486	430	373	488	431	374			205
