aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
3.5		42.9	-42.9	8.5				30.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675903.8256557	25.0	30.32	25.0	26.77	25.0	30.54	30.89	568	583		479	535					664	610		596	580				
3.5		42.9	-42.9	8.5				30.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675903.932426	25.0	30.46	25.0	26.56	25.0	30.32	30.82	568	583		479	535					664	610		596	580				
3.7		42.5	-42.5	8.8				30.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675904.0384915	25.0	30.41	25.0	26.85	25.0	30.47	30.75	568	583		479	535					664	610		596	580				
3.7		42.5	-42.5	8.8				30.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675904.1451535	25.0	30.36	25.0	26.57	25.0	30.44	30.68	568	583		479	535					664	610		596	580				
3.2		42.7	-42.7	8.8				30.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675904.250036	25.0	30.34	25.0	26.55	25.0	30.42	30.62	568	583		479	535					664	610		596	580				
3.2		42.7	-42.7	8.8				30.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675904.355477	25.0	30.07	25.0	26.5	25.0	30.21	30.56	568	583		479	535					664	610		596	580				
4.1		42.3	-42.3	8.6				30.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675904.4616413	25.0	30.04	25.0	26.29	25.0	30.22	30.49	568	583		479	535					664	610		596	580				
4.1		42.3	-42.3	8.6				30.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675904.567523	25.0	30.15	25.0	26.21	25.0	30.33	30.56	568	583		479	535					664	610		596	580				
3.9		42.5	-42.5	8.7				30.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675904.6728098	25.0	30.1	25.0	26.26	25.0	30.11	30.37	568	583		479	535					664	610		596	580				
3.9		42.5	-42.5	8.7				30.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567675904.7804053	25.0	30.06	25.0	26.17	25.0	30.27	30.3	568	583		479	535					664	610		596	580				
