aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	ar0	ar1	ar2	ar3	ar4	ar5	eps	f0	f1	f2	f3	pr0	pr1	pr2	pr3	pr4	pr5	time	u0	u1	u2	u3	u4	u5	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-0.6	0.6	5.9	-5.9	-0.6	9.2									307.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596111917.8185554	0.0	0.0	0.0	0.0	0.0	0.0	862	805	742	803	746	681			1458	481	433	388	563	511	478			724
-0.6	0.6	5.9	-5.9	-0.6	9.2									307.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596111917.9232323	0.0	0.0	0.0	0.0	0.0	0.0	862	805	742	803	746	681			1458	481	433	388	563	511	478			724
-0.6	0.6	5.9	-5.9	-0.6	9.2									307.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596111918.0277002	0.0	0.0	0.0	0.0	0.0	0.0	862	805	742	803	746	681			1458	481	433	388	563	511	478			724
-0.6	0.6	5.9	-5.9	-0.5	9.2									307.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596111918.1319401	0.0	0.0	0.0	0.0	0.0	0.0	863	805	742	803	746	681			1458	482	433	388	563	511	478			724
-0.6	0.6	5.9	-5.9	-0.5	9.2									307.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596111918.2363873	0.0	0.0	0.0	0.0	0.0	0.0	863	805	742	803	746	681			1458	482	433	388	563	511	478			724
-1.0	0.9	6.1	-6.1	-0.3	9.3									307.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596111918.340903	0.0	0.0	0.0	0.0	0.0	0.0	863	805	742	803	746	681			1458	481	433	388	563	511	478			724
-1.0	0.9	6.1	-6.1	-0.3	9.3									307.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596111918.445474	0.0	0.0	0.0	0.0	0.0	0.0	863	805	742	803	746	681			1458	481	433	388	563	511	478			724
-1.0	0.9	6.1	-6.1	-0.3	9.3									307.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596111918.5499716	0.0	0.0	0.0	0.0	0.0	0.0	863	805	742	803	746	681			1458	481	433	388	563	511	478			724
-1.0	0.9	6.1	-6.1	-0.3	9.3									307.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596111918.6543274	0.0	0.0	0.0	0.0	0.0	0.0	863	805	742	803	746	681			1458	481	433	388	563	511	478			724
-0.7	0.4	5.7	-5.7	-0.4	9.3									307.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1596111918.758688	0.0	0.0	0.0	0.0	0.0	0.0	863	805	742	803	746	681			1458	482	433	388	563	511	478			724
