aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-3.1	-9.5	-5.4	5.4	6.7	7.1			4.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1557146863.3253298	25.0	25.0	25.0	25.0	25.0	29.85	26.02	28.34	289	296	303	226	234	229			198	252	309	201	257	316		
-3.0	-9.4	-5.8	5.8	7.0	6.7			4.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1557146863.3577938	25.0	25.0	25.0	25.0	25.0	29.85	25.81	28.31	289	296	303	226	234	229			198	252	309	201	257	316		
-3.0	-9.4	-5.8	5.8	7.0	6.7			4.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1557146863.3916118	25.0	25.0	25.0	25.0	25.0	29.83	25.82	28.3	289	296	303	226	234	229			198	252	309	201	257	316		
-2.8	-9.6	-5.5	5.5	6.7	7.1			4.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1557146863.4187632	25.0	25.0	25.0	25.0	25.0	29.81	25.75	28.27	289	296	303	226	234	229			198	252	309	201	257	316		
-3.1	-9.3	-5.6	5.6	6.9	6.8			4.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1557146863.4518232	25.0	25.0	25.0	25.0	25.0	29.8	25.91	28.25	289	296	303	226	234	229			198	252	309	201	257	316		
-3.1	-9.3	-5.6	5.6	6.9	6.8			4.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1557146863.4835408	25.0	25.0	25.0	25.0	25.0	29.57	25.84	28.23	289	296	303	226	234	229			198	252	309	201	257	316		
-3.1	-9.4	-5.7	5.7	7.0	6.8			4.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1557146863.5191581	25.0	25.0	25.0	25.0	25.0	29.53	25.69	28.24	289	296	303	226	234	229			198	252	309	201	257	316		
-3.1	-9.4	-5.7	5.7	7.0	6.8			4.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1557146863.5479841	25.0	25.0	25.0	25.0	25.0	29.41	25.66	28.32	289	296	303	226	234	229			198	252	309	201	257	316		
-3.1	-9.4	-5.7	5.7	7.0	6.8			4.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1557146863.5801387	25.0	25.0	25.0	25.0	25.0	29.53	25.8	28.28	289	296	303	226	234	229			198	252	309	201	257	316		
-3.2	-9.5	-5.7	5.7	7.0	6.8			4.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1557146863.6099682	25.0	25.0	25.0	25.0	25.0	29.5	25.8	28.2	289	296	303	226	234	229			198	252	309	201	257	316		
