aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
3.9	5.6	-6.2	6.2	12.0	-5.7			3.8000000000000114	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037143.76803	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	264	348	189	271	356		
3.9	5.6	-6.2	6.2	12.0	-5.7			3.8000000000000114	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037143.798999	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	264	348	189	271	356		
3.9	5.4	-6.2	6.2	11.9	-5.8			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037143.830575	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	264	348	189	271	356		
4.2	5.3	-6.3	6.3	12.0	-5.7			3.8000000000000114	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037143.862511	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
4.2	5.3	-6.3	6.3	12.0	-5.7			3.8000000000000114	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037143.894564	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
4.0	5.4	-6.4	6.4	11.9	-5.8			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037143.926674	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
4.0	5.4	-6.4	6.4	11.9	-5.8			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037143.96171	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
4.1	5.2	-6.4	6.4	12.0	-5.8			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037143.992592	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
4.1	5.2	-6.4	6.4	12.0	-5.8			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.023963	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
3.9	5.6	-6.3	6.3	11.9	-5.7			3.8000000000000114	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.054699	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
4.6	4.8	-6.5	6.5	12.0	-5.8			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.087429	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	34			182	265	348	189	271	356		
3.9	5.4	-6.3	6.3	11.9	-5.6			3.8000000000000114	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.124042	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
3.9	5.4	-6.3	6.3	11.9	-5.6			3.8000000000000114	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.163566	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
4.0	5.5	-6.5	6.5	12.0	-5.9			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.192486	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
4.0	5.5	-6.5	6.5	12.0	-5.9			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.225421	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
4.1	5.5	-6.2	6.2	11.8	-5.6			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.259187	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	264	348	189	271	356		
4.1	5.5	-6.2	6.2	11.8	-5.6			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.2865	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	264	348	189	271	356		
4.0	5.7	-6.5	6.5	12.0	-5.7			3.8000000000000114	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.324668	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
4.3	5.3	-6.4	6.4	12.0	-5.7			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.352979	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	34			182	264	348	189	271	356		
4.3	5.3	-6.4	6.4	12.0	-5.7			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.384602	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	34			182	264	348	189	271	356		
4.3	5.3	-6.4	6.4	12.0	-5.7			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.41569	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	34			182	264	348	189	271	356		
4.3	5.3	-6.4	6.4	12.0	-5.7			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.446727	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	34			182	264	348	189	271	356		
3.9	5.5	-6.3	6.3	11.8	-5.6			3.8000000000000114	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.4775	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
3.8	5.4	-6.0	6.0	11.6	-5.3			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.510634	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
3.8	5.4	-6.0	6.0	11.6	-5.3			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.55181	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
3.8	5.4	-6.0	6.0	11.6	-5.3			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.583063	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
4.3	5.3	-6.5	6.5	11.9	-5.7			3.8999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.614044	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
4.2	5.4	-6.5	6.5	12.0	-5.7			3.8000000000000114	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549037144.650111	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	135	137	33	38	35			182	265	348	189	271	356		
