aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
7.3	8.7	1.7	-1.7	6.3	6.8			359.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905121.9058228	25.98	30.08	31.3	33.19	26.15	36.85	25.0	25.0	171	159	156	60	64	50			197	279	364	194	279	362		
7.3	8.7	1.7	-1.7	6.3	6.8			359.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905121.9379513	25.95	30.05	31.26	33.16	26.18	36.84	25.0	25.0	171	159	156	60	64	50			197	279	364	194	279	362		
7.3	8.7	1.7	-1.7	6.3	6.8			359.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905121.9683921	25.91	30.01	31.23	33.14	26.09	36.83	25.0	25.0	171	159	156	60	64	50			197	279	364	194	279	362		
7.4	8.6	1.7	-1.7	6.3	6.8			359.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905122.0008752	25.87	29.96	31.3	33.11	26.14	36.82	25.0	25.0	171	159	156	60	64	50			197	279	364	194	279	362		
7.4	8.6	1.7	-1.7	6.3	6.8			359.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905122.0336223	25.83	29.93	31.28	33.09	26.12	36.81	25.0	25.0	171	159	156	60	64	50			197	279	364	194	279	362		
7.4	8.6	1.7	-1.7	6.3	6.8			359.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905122.0720177	25.79	29.88	31.23	33.06	26.08	36.8	25.0	25.0	171	159	156	60	64	50			197	279	364	194	279	362		
7.4	8.6	1.7	-1.7	6.3	6.8			359.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905122.1023762	25.75	29.84	31.2	33.04	25.96	36.79	25.0	25.0	171	159	156	60	64	50			197	279	364	194	279	362		
7.4	8.6	1.7	-1.7	6.3	6.8			359.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905122.134606	25.71	29.79	31.16	33.0	25.99	36.78	25.0	25.0	171	159	156	60	64	50			197	279	364	194	279	362		
7.3	8.7	1.7	-1.7	6.3	6.8			359.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905122.1649027	25.68	29.76	31.13	32.98	25.99	36.77	25.0	25.0	171	159	156	60	64	50			197	279	364	194	279	362		
7.2	8.7	1.8	-1.8	6.2	6.8			359.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905122.195304	25.64	29.72	31.1	32.96	25.96	36.76	25.0	25.0	171	159	156	60	64	50			197	279	364	194	279	362		
7.2	8.7	1.8	-1.8	6.2	6.8			359.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905122.2256372	25.6	29.67	31.06	32.93	25.93	36.75	25.0	25.0	171	159	156	60	64	50			197	279	364	194	279	362		
7.2	8.7	1.8	-1.8	6.3	6.7			359.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905122.2636096	25.55	29.62	31.01	32.9	25.89	36.73	25.0	25.0	171	159	156	60	64	50			197	279	364	194	279	362		
7.2	8.7	1.8	-1.8	6.3	6.7			359.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905122.2977912	25.52	29.59	30.98	32.88	25.86	36.73	25.0	25.0	171	159	156	60	64	50			197	279	364	194	279	362		
