aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
3.3	5.2	16.2	-16.2	15.6	-6.1			4.600000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513097.6929011	35.01	39.46	39.03	39.0	33.55	38.33	25.0	25.0	292	289	285	200	226	238			210	265	323	219	270	327		
3.3	5.2	16.2	-16.2	15.6	-6.1			4.600000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513097.72264	34.96	39.42	38.89	38.97	33.58	38.29	25.0	25.0	292	289	285	200	226	238			210	265	323	219	270	327		
3.3	5.3	16.3	-16.3	15.7	-6.5			4.600000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513097.7580247	34.92	39.39	38.8	38.93	33.55	38.26	25.0	25.0	292	289	285	200	226	238			210	265	323	219	270	327		
3.2	5.3	16.3	-16.3	15.6	-6.1			4.600000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513097.793357	34.89	39.36	38.89	38.91	33.35	38.24	25.0	25.0	292	289	285	200	226	238			210	265	323	219	270	327		
3.2	5.3	16.3	-16.3	15.6	-6.1			4.600000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513097.817115	34.99	39.34	38.87	38.89	33.29	38.22	25.0	25.0	292	289	285	200	226	238			210	265	323	219	270	327		
3.3	5.3	16.3	-16.3	15.7	-6.1			4.600000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513097.84764	34.84	39.32	38.84	38.87	33.28	38.2	25.0	25.0	292	289	285	200	226	238			210	265	323	219	270	326		
3.3	5.3	16.3	-16.3	15.6	-6.0			4.600000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513097.8810716	34.92	39.28	38.54	38.84	33.38	38.17	25.0	25.0	292	289	285	200	226	238			210	265	323	219	270	326		
3.3	5.3	16.3	-16.3	15.6	-6.0			4.600000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513097.9129007	34.8	39.26	38.62	38.82	33.41	38.14	25.0	25.0	292	289	285	200	226	238			210	265	323	219	270	326		
3.3	5.3	16.3	-16.3	15.6	-6.0			4.600000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513097.9489794	34.71	39.22	38.44	38.79	33.39	38.11	25.0	25.0	292	289	285	200	226	238			210	265	323	219	270	326		
3.3	5.2	16.2	-16.2	15.6	-6.4			4.600000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513097.992579	34.83	39.18	38.54	38.74	33.35	38.07	25.0	25.0	292	289	285	200	226	238			210	265	323	219	270	327		
