aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-2.0	4.4	15.2	-15.2	-6.6	15.0			2.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858259.068937	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	137	158	139	67	65	67			192	256	326	193	261	329		
-2.3	4.6	15.4	-15.4	-6.6	14.9			2.6999999999999886	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858259.105523	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	137	157	139	67	65	67			192	256	326	193	261	329		
-2.3	4.6	15.4	-15.4	-6.6	14.9			2.6999999999999886	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858259.138177	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	137	157	139	67	65	67			192	256	326	193	261	329		
-2.3	4.6	15.4	-15.4	-6.6	14.9			2.6999999999999886	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858259.168015	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	137	157	139	67	65	67			192	256	326	193	261	329		
-2.3	4.6	15.4	-15.4	-6.6	14.9			2.6999999999999886	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858259.198654	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	137	157	139	67	65	67			192	256	326	193	261	329		
-2.3	4.6	15.4	-15.4	-6.6	14.9			2.6999999999999886	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858259.229571	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	137	157	139	67	65	67			192	256	326	193	261	329		
-2.0	4.1	15.0	-15.0	-6.2	14.8			2.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858259.260829	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	137	158	139	67	65	67			192	256	326	193	261	329		
-2.0	4.1	15.0	-15.0	-6.2	14.8			2.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858259.292987	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	137	158	139	67	65	67			192	256	326	193	261	329		
-2.0	4.3	15.0	-15.0	-6.4	14.8			2.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858259.325216	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	137	158	139	67	65	67			192	256	326	193	261	329		
-2.0	4.3	15.0	-15.0	-6.4	14.8			2.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858259.358619	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	137	158	139	67	65	67			192	256	326	193	261	329		
